   # density  PDF      
  ---------------------
  0.10363947719833E+01  0.36577872207953E-02
  0.10367774563072E+01  0.78947849263206E-02
  0.10371601406312E+01  0.16363913022374E-01
  0.10375428249551E+01  0.22662218629438E-01
  0.10379255092790E+01  0.33338674076962E-01
  0.10383081936029E+01  0.56986523993441E-01
  0.10386908779268E+01  0.12072644754624E+00
  0.10390735622508E+01  0.20297920369290E+00
  0.10394562465747E+01  0.36294594475085E+00
  0.10398389308986E+01  0.71772453493550E+00
  0.10402216152225E+01  0.11945461813733E+01
  0.10406042995465E+01  0.15460636705095E+01
  0.10409869838704E+01  0.19497660773938E+01
  0.10413696681943E+01  0.22653652155042E+01
  0.10417523525182E+01  0.23566906468067E+01
  0.10421350368422E+01  0.25483144046099E+01
  0.10425177211661E+01  0.29646182900233E+01
  0.10429004054900E+01  0.36441855090341E+01
  0.10432830898139E+01  0.43720048552749E+01
  0.10436657741379E+01  0.51894606745139E+01
  0.10440484584618E+01  0.62309078962911E+01
  0.10444311427857E+01  0.74845019095593E+01
  0.10448138271096E+01  0.90955296333435E+01
  0.10451965114336E+01  0.10933605433484E+02
  0.10455791957575E+01  0.13137267696762E+02
  0.10459618800814E+01  0.15988557858036E+02
  0.10463445644053E+01  0.19381490133230E+02
  0.10467272487292E+01  0.23320586257976E+02
  0.10471099330532E+01  0.26938111049110E+02
  0.10474926173771E+01  0.30966322844151E+02
  0.10478753017010E+01  0.35260662387664E+02
  0.10482579860249E+01  0.40262412625633E+02
  0.10486406703489E+01  0.46262957804054E+02
  0.10490233546728E+01  0.52678368576307E+02
  0.10494060389967E+01  0.59069143433698E+02
  0.10497887233206E+01  0.65675131491030E+02
  0.10501714076446E+01  0.72256656423182E+02
  0.10505540919685E+01  0.78523042178492E+02
  0.10509367762924E+01  0.83983974913347E+02
  0.10513194606163E+01  0.88357452131408E+02
  0.10517021449403E+01  0.92262679044743E+02
  0.10520848292642E+01  0.95966197123600E+02
  0.10524675135881E+01  0.97237775865785E+02
  0.10528501979120E+01  0.98289247322800E+02
  0.10532328822360E+01  0.10086732292496E+03
  0.10536155665599E+01  0.10319684421945E+03
  0.10539982508838E+01  0.10459086757138E+03
  0.10543809352077E+01  0.10243797140353E+03
  0.10547636195316E+01  0.98639399530079E+02
  0.10551463038556E+01  0.94437938091352E+02
  0.10555289881795E+01  0.88970373639813E+02
  0.10559116725034E+01  0.82719599797358E+02
  0.10562943568273E+01  0.77228304751548E+02
  0.10566770411513E+01  0.71671181704050E+02
  0.10570597254752E+01  0.66409811317760E+02
  0.10574424097991E+01  0.59822151135052E+02
  0.10578250941230E+01  0.53108084348196E+02
  0.10582077784470E+01  0.46701833862770E+02
  0.10585904627709E+01  0.40929947841970E+02
  0.10589731470948E+01  0.35981832981618E+02
  0.10593558314187E+01  0.31496108178736E+02
  0.10597385157427E+01  0.27185304942243E+02
  0.10601212000666E+01  0.23072260714107E+02
  0.10605038843905E+01  0.19552184436543E+02
  0.10608865687144E+01  0.16414954121097E+02
  0.10612692530384E+01  0.13554622922215E+02
  0.10616519373623E+01  0.11007744375530E+02
  0.10620346216862E+01  0.88099228902491E+01
  0.10624173060101E+01  0.69603821296311E+01
  0.10627999903340E+01  0.55697829338067E+01
  0.10631826746580E+01  0.44814293973964E+01
  0.10635653589819E+01  0.35359583264021E+01
  0.10639480433058E+01  0.27437955095488E+01
  0.10643307276297E+01  0.21292896901126E+01
  0.10647134119537E+01  0.16902481426873E+01
  0.10650960962776E+01  0.13443061628810E+01
  0.10654787806015E+01  0.10986576422605E+01
  0.10658614649254E+01  0.90714096538723E+00
  0.10662441492494E+01  0.77160327830289E+00
  0.10666268335733E+01  0.65904418532285E+00
  0.10670095178972E+01  0.57096281946640E+00
  0.10673922022211E+01  0.49143089240347E+00
  0.10677748865451E+01  0.42948214076984E+00
  0.10681575708690E+01  0.37494630987776E+00
  0.10685402551929E+01  0.32166137894009E+00
  0.10689229395168E+01  0.27056673975140E+00
  0.10693056238408E+01  0.22413742198804E+00
  0.10696883081647E+01  0.18301347757221E+00
  0.10700709924886E+01  0.13807599185565E+00
  0.10704536768125E+01  0.92549561024367E-01
  0.10708363611364E+01  0.65020027397197E-01
  0.10712190454604E+01  0.41070403950859E-01
  0.10716017297843E+01  0.27726659884578E-01
  0.10719844141082E+01  0.19413285868452E-01
  0.10723670984321E+01  0.12791303814039E-01
  0.10727497827561E+01  0.93160409056582E-02
  0.10731324670800E+01  0.54684283999514E-02
  0.10735151514039E+01  0.30177352985936E-02
  0.10738978357278E+01  0.14358579243308E-02
  0.10742805200518E+01  0.66925581218809E-03
