 # k         Erhorho   E11       E22       E33       Erhou1    
---------------------------------------------------------------
        55  0.14097370957650E-07  0.40808506980890E-05  0.39999500214040E-05  0.40158570251750E-05  0.21402681034550E-07
        56  0.13669827036270E-07  0.38326825491900E-05  0.38608395115310E-05  0.37604667344890E-05  0.20991037534390E-07
        57  0.12911202082320E-07  0.36577557764870E-05  0.35893344866580E-05  0.35697083417940E-05  0.17493309382080E-07
        58  0.12642232934300E-07  0.34681967620450E-05  0.34026583288100E-05  0.34231723336900E-05  0.17977573985340E-07
        59  0.12349857557570E-07  0.32823111727360E-05  0.32285762141550E-05  0.32508258906770E-05  0.14424953486210E-07
        60  0.11879637306710E-07  0.31497973156260E-05  0.30853316819780E-05  0.31511890174430E-05  0.15721485966570E-07
        61  0.11556521665210E-07  0.29492942181430E-05  0.29588636165290E-05  0.29151069120950E-05  0.15910116719710E-07
        62  0.11184490767670E-07  0.28224625197990E-05  0.27982355159330E-05  0.28235359473800E-05  0.12841348189850E-07
        63  0.10504587917500E-07  0.27065420282030E-05  0.26371246235870E-05  0.26615969838940E-05  0.12288334558410E-07
        64  0.10405067755170E-07  0.25373316316780E-05  0.25193023792650E-05  0.25163316410290E-05  0.12668597616500E-07
        65  0.99335493969190E-08  0.24206521858420E-05  0.23884023954170E-05  0.23767866911650E-05  0.12033742018220E-07
        66  0.96929883287540E-08  0.23204498513910E-05  0.22639985468380E-05  0.22831228557970E-05  0.11010813725250E-07
        67  0.93729409361460E-08  0.22005278864790E-05  0.21680537374970E-05  0.21572285685630E-05  0.10711836959120E-07
        68  0.91251443815930E-08  0.20894736313470E-05  0.20807395181100E-05  0.20817119301380E-05  0.10228459560360E-07
        69  0.86579197339340E-08  0.20037688936690E-05  0.19655929550540E-05  0.19490312194260E-05  0.10075596856660E-07
        70  0.84602042038380E-08  0.18891483075940E-05  0.18833787421010E-05  0.18881124353730E-05  0.94789747353040E-08
        71  0.81474894505200E-08  0.18153113017690E-05  0.17708482619530E-05  0.17807671445490E-05  0.89971696310820E-08
        72  0.79490584997410E-08  0.17337880453940E-05  0.16972065680780E-05  0.16955104185080E-05  0.88721641780080E-08
        73  0.76504725486950E-08  0.16445888763590E-05  0.16128258899440E-05  0.16217408158380E-05  0.81384439237330E-08
        74  0.74652603153080E-08  0.15575001346920E-05  0.15541213625930E-05  0.15489191442930E-05  0.73550386769180E-08
        75  0.71167451197080E-08  0.14795147214520E-05  0.14718458538190E-05  0.14743363537470E-05  0.72624721452820E-08
        76  0.69094370454720E-08  0.14304434215900E-05  0.13873708352450E-05  0.14039248843120E-05  0.76652614857400E-08
        77  0.65890497899390E-08  0.13635196103480E-05  0.13420811338360E-05  0.13409317908820E-05  0.73209704867740E-08
        78  0.64635145962340E-08  0.13029004973650E-05  0.12740118043580E-05  0.12915002449900E-05  0.64303490264500E-08
        79  0.62250642723730E-08  0.12357402281590E-05  0.12220784798840E-05  0.12196167952300E-05  0.59948556460920E-08
        80  0.60552647497570E-08  0.11876519060220E-05  0.11638379936790E-05  0.11538665966750E-05  0.67384826253120E-08
        81  0.58511808571170E-08  0.11353288970890E-05  0.11027854095600E-05  0.11084549934490E-05  0.63243086544360E-08
        82  0.56518547019160E-08  0.10693299049520E-05  0.10578552062590E-05  0.10541957462100E-05  0.54645511921450E-08
        83  0.54868119522850E-08  0.10275034184300E-05  0.10099262910150E-05  0.10037385879760E-05  0.52599510350450E-08
        84  0.53201323677460E-08  0.97281056249490E-06  0.96426011330690E-06  0.96053659528160E-06  0.53358498882350E-08
        85  0.51365190520490E-08  0.92892228147030E-06  0.91996923063150E-06  0.92082926753740E-06  0.50287056521770E-08
        86  0.49653832467020E-08  0.89404572035550E-06  0.88046152333730E-06  0.88175278938480E-06  0.50601885623680E-08
        87  0.48053072599610E-08  0.85684550544510E-06  0.83941464123210E-06  0.84124107716500E-06  0.50472208727440E-08
        88  0.46790222830000E-08  0.81814702020630E-06  0.80046694612040E-06  0.80235086899370E-06  0.47091222731620E-08
        89  0.45438843029660E-08  0.77701552556430E-06  0.76970210996370E-06  0.76277701411870E-06  0.44331490091210E-08
        90  0.43453593790170E-08  0.74743768373010E-06  0.72942620993380E-06  0.72542842949640E-06  0.43402939623020E-08
        91  0.42477044761610E-08  0.71421985141780E-06  0.70062124478610E-06  0.70034246087390E-06  0.44351225371940E-08
        92  0.40902026506810E-08  0.68671453258760E-06  0.66629032759780E-06  0.66237040670840E-06  0.42612451245160E-08
        93  0.39422334787880E-08  0.64969577830270E-06  0.63759857456820E-06  0.63658444471810E-06  0.37468044027920E-08
        94  0.38329276221870E-08  0.62135151995700E-06  0.60563696488910E-06  0.60928526071040E-06  0.35347009226870E-08
        95  0.37446834625080E-08  0.60011394530750E-06  0.58678649061800E-06  0.58730243553410E-06  0.34824341614310E-08
        96  0.35849638015730E-08  0.57185031988210E-06  0.56247299065650E-06  0.56148861729410E-06  0.33092931613330E-08
        97  0.34837666076120E-08  0.54707347684930E-06  0.53324733925160E-06  0.52927317661710E-06  0.32131464112220E-08
        98  0.33731264573010E-08  0.52155045412600E-06  0.51490020364890E-06  0.51203840903060E-06  0.30163342282660E-08
        99  0.32943661067840E-08  0.50093895645360E-06  0.48876379241950E-06  0.48658221078670E-06  0.30923499128490E-08
       100  0.31544276853860E-08  0.47999709084200E-06  0.46709325579000E-06  0.47068071820730E-06  0.28368475461860E-08
       101  0.30540079768200E-08  0.45805357208270E-06  0.44935494144780E-06  0.44947685184910E-06  0.28768050521370E-08
       102  0.29880267658900E-08  0.44128418233630E-06  0.43001605260060E-06  0.42950166875680E-06  0.27827921955660E-08
       103  0.28811006568700E-08  0.42265807803440E-06  0.41109559751810E-06  0.41179067268300E-06  0.25979259611970E-08
       104  0.28020388764300E-08  0.40488702656810E-06  0.39511642629970E-06  0.39844730004560E-06  0.26963124351540E-08
       105  0.26983072422230E-08  0.38397999031070E-06  0.37459555678130E-06  0.37761076590190E-06  0.24559533797610E-08
       106  0.26310364449570E-08  0.37163145405470E-06  0.35848413490250E-06  0.36200272119850E-06  0.25264399979030E-08
       107  0.25495453033680E-08  0.35723996207640E-06  0.34328479769050E-06  0.34630423395760E-06  0.23178507370500E-08
       108  0.24605924572180E-08  0.33798352228940E-06  0.33119709850220E-06  0.33062396302530E-06  0.20978952747780E-08
       109  0.23841778017100E-08  0.32510964230780E-06  0.31704069442280E-06  0.31655794714240E-06  0.22223985676900E-08
       110  0.23328118642770E-08  0.31267904300370E-06  0.30301213364900E-06  0.30501761118350E-06  0.20353929288370E-08
       111  0.22502248811160E-08  0.29951744288890E-06  0.29134427906370E-06  0.29222496807910E-06  0.20679768263100E-08
       112  0.21934170067380E-08  0.28879451853380E-06  0.28108157925220E-06  0.28020575400860E-06  0.18873723047690E-08
       113  0.21102250346020E-08  0.27528020705110E-06  0.26909723711940E-06  0.26744987176330E-06  0.18306044366410E-08
       114  0.20653664058770E-08  0.26373486345640E-06  0.25703793692960E-06  0.25584704647080E-06  0.17676338681370E-08
       115  0.19974703861290E-08  0.25399598624870E-06  0.24776774279530E-06  0.24612141751340E-06  0.17563427583310E-08
       116  0.19175405309640E-08  0.24500252756350E-06  0.23667481375600E-06  0.23677293859430E-06  0.16262361806700E-08
       117  0.18672674420000E-08  0.23387467966580E-06  0.22918355003560E-06  0.22720367753370E-06  0.16069148285630E-08
       118  0.18151252454340E-08  0.22453539283000E-06  0.21799561220510E-06  0.21825239756310E-06  0.15858709175640E-08
       119  0.17625422171250E-08  0.21473399341310E-06  0.21066279078690E-06  0.20935312987890E-06  0.14737435218210E-08
       120  0.16989081103030E-08  0.20683884920210E-06  0.20201210476150E-06  0.20031110571150E-06  0.14698139807110E-08
       121  0.16492876963570E-08  0.20025222162030E-06  0.19418150011690E-06  0.19281639507870E-06  0.14233116059970E-08
       122  0.15987167802300E-08  0.19057269195410E-06  0.18526122453540E-06  0.18468831205990E-06  0.14403798412410E-08
       123  0.15547958441880E-08  0.18354479176120E-06  0.17810710279520E-06  0.17864223082490E-06  0.14071298586260E-08
       124  0.15046492003200E-08  0.17556714967570E-06  0.17101374140490E-06  0.16940045637370E-06  0.12835001485920E-08
       125  0.14603622767960E-08  0.16886894609630E-06  0.16411431881620E-06  0.16416367950400E-06  0.11930438346290E-08
       126  0.14206047644820E-08  0.16114993273760E-06  0.15723172770610E-06  0.15678466744020E-06  0.11737123137480E-08
       127  0.13832337484650E-08  0.15698423500100E-06  0.15246560714400E-06  0.15084169977300E-06  0.11367182776830E-08
       128  0.13389281527700E-08  0.15043734392220E-06  0.14506585086610E-06  0.14355012922270E-06  0.11017101013940E-08
       129  0.12975015349570E-08  0.14350614421780E-06  0.13914035920270E-06  0.13878158541040E-06  0.10545326328000E-08
       130  0.12586492663010E-08  0.13812319039560E-06  0.13439116710850E-06  0.13453035592750E-06  0.10692246098660E-08
       131  0.12219796168730E-08  0.13390230415530E-06  0.12979652044910E-06  0.12929562406950E-06  0.10302508695950E-08
       132  0.11811413661680E-08  0.12771684102930E-06  0.12371943708570E-06  0.12231295515490E-06  0.98083838830530E-09
       133  0.11516188233640E-08  0.12267511697100E-06  0.11858774593630E-06  0.11900320793040E-06  0.98412609148910E-09
       134  0.11198097493590E-08  0.11766095881370E-06  0.11475069423590E-06  0.11381200197280E-06  0.91608232183610E-09
       135  0.10835916221220E-08  0.11364722836490E-06  0.11000171851330E-06  0.10980287996500E-06  0.90503341292990E-09
       136  0.10516706635220E-08  0.10926834223790E-06  0.10600233718260E-06  0.10582709129060E-06  0.85584753685740E-09
       137  0.10195606615840E-08  0.10464055405850E-06  0.10165878782270E-06  0.10134284281350E-06  0.82854729583950E-09
       138  0.99432467634480E-09  0.10186983656710E-06  0.97957790001570E-07  0.97603735201750E-07  0.81337710741760E-09
       139  0.96839660943000E-09  0.96852095329740E-07  0.93937674569450E-07  0.94007307003430E-07  0.78705791513060E-09
       140  0.93805733499470E-09  0.93425014672970E-07  0.90062147044440E-07  0.90211273655120E-07  0.76992432532920E-09
       141  0.90632351266270E-09  0.89878114349480E-07  0.87163357553360E-07  0.86792573707820E-07  0.74524624406690E-09
       142  0.88552019762800E-09  0.86549702526580E-07  0.83523683657520E-07  0.83146123869060E-07  0.69668420257500E-09
       143  0.85490766760490E-09  0.82952411585200E-07  0.80519464592190E-07  0.79995039673730E-07  0.69252634282030E-09
       144  0.82867356047830E-09  0.79789896148810E-07  0.77548314841380E-07  0.76943178169540E-07  0.66771730165270E-09
       145  0.80178753534520E-09  0.76601510972300E-07  0.74702949234280E-07  0.74413196758360E-07  0.65009522704060E-09
       146  0.77653216833780E-09  0.73976882226360E-07  0.71911774134360E-07  0.71443046990760E-07  0.60552206257400E-09
       147  0.76060696336100E-09  0.71443106069950E-07  0.68957946373570E-07  0.68782708946650E-07  0.59655147508390E-09
       148  0.73763653361660E-09  0.68802774077270E-07  0.66477958989470E-07  0.65952507698960E-07  0.60714806722870E-09
       149  0.71440575715540E-09  0.66156052804040E-07  0.63866401687980E-07  0.63453367502760E-07  0.59232632241670E-09
       150  0.69239001841840E-09  0.64038892987600E-07  0.61581804732280E-07  0.61311847215260E-07  0.56407314852700E-09
       151  0.67516162974390E-09  0.61347669725990E-07  0.59353036247260E-07  0.58652495920100E-07  0.54173081543520E-09
       152  0.65407490219770E-09  0.58862785129240E-07  0.57052382453230E-07  0.56698102131230E-07  0.51540614624050E-09
       153  0.63561591478040E-09  0.56966034041210E-07  0.55009981211710E-07  0.54990870357490E-07  0.51302796873260E-09
       154  0.61675246458480E-09  0.54872929639370E-07  0.53077038876940E-07  0.52553750715160E-07  0.47633015366620E-09
       155  0.59693856300840E-09  0.52651925833820E-07  0.51258743150770E-07  0.50758140472840E-07  0.46492345744720E-09
       156  0.58096171169120E-09  0.50826715763870E-07  0.49086716176460E-07  0.48951950690690E-07  0.44962884046680E-09
       157  0.56576106368230E-09  0.49155894104360E-07  0.47288875751270E-07  0.46999571196430E-07  0.45102265460260E-09
       158  0.54658424046960E-09  0.47382903045440E-07  0.45545612601300E-07  0.45348607689700E-07  0.43115487343300E-09
       159  0.53453449085050E-09  0.45594566516830E-07  0.43647002232710E-07  0.43787809053450E-07  0.41416175433110E-09
       160  0.51652191738810E-09  0.43623407839750E-07  0.42448400709200E-07  0.41990767937150E-07  0.41175258977490E-09
       161  0.50192638840980E-09  0.42225516234220E-07  0.40590141610380E-07  0.40450274846820E-07  0.40159007469280E-09
       162  0.48582203966090E-09  0.40791485030440E-07  0.39081955367980E-07  0.39104244856220E-07  0.37741403052690E-09
       163  0.47220824347680E-09  0.39458840319360E-07  0.37843671421850E-07  0.37497712531190E-07  0.36716813968460E-09
       164  0.45991324236900E-09  0.37773193480380E-07  0.36368884571980E-07  0.36393311900790E-07  0.36043156616870E-09
       165  0.44461650817450E-09  0.36598293614910E-07  0.35135844333480E-07  0.35046540866710E-07  0.35707782932960E-09
       166  0.43251055002940E-09  0.35285612206490E-07  0.33851123163410E-07  0.33716475132950E-07  0.32843053739620E-09
       167  0.42013158856990E-09  0.33916573994190E-07  0.32730608846180E-07  0.32412763277290E-07  0.31937125050690E-09
       168  0.40884139295060E-09  0.32620443343840E-07  0.31434535514300E-07  0.31347202736390E-07  0.32249147517340E-09
       169  0.39856024496210E-09  0.31487914878750E-07  0.30314322707910E-07  0.30153471164980E-07  0.30478007382490E-09
       170  0.38549333876670E-09  0.30387620327590E-07  0.29221334634990E-07  0.29166893794060E-07  0.29719877567060E-09
       171  0.37374545614870E-09  0.29308492314030E-07  0.28216341507010E-07  0.28113469915610E-07  0.28787348990640E-09
       172  0.36285442512720E-09  0.28265519370960E-07  0.27206122416020E-07  0.27073747301800E-07  0.27703323185580E-09
       173  0.35373638437450E-09  0.27241486888980E-07  0.26246326062290E-07  0.26070003591930E-07  0.28510527894040E-09
       174  0.34309149020630E-09  0.26255325263940E-07  0.25270798382710E-07  0.25055682991990E-07  0.25873061345580E-09
       175  0.33313920152950E-09  0.25357835992430E-07  0.24404810504400E-07  0.24293939457390E-07  0.26602448958980E-09
       176  0.32340653168310E-09  0.24542640358950E-07  0.23579458009340E-07  0.23446839374870E-07  0.25269904143440E-09
       177  0.31556786206290E-09  0.23647994952020E-07  0.22771928770860E-07  0.22655685339420E-07  0.24434895253760E-09
       178  0.30540434758020E-09  0.22765594087550E-07  0.21910069860160E-07  0.21744178580070E-07  0.22999692825540E-09
