   # density  PDF      
  ---------------------
  0.10005263157900E+01  0.32534918715307E+01
  0.10015789473700E+01  0.21977314703541E+01
  0.10026315789500E+01  0.16556004977062E+01
  0.10036842105300E+01  0.15269188660760E+01
  0.10047368421100E+01  0.15012423492857E+01
  0.10057894736900E+01  0.15155426677062E+01
  0.10068421052700E+01  0.15552903509978E+01
  0.10078947368500E+01  0.16115962511576E+01
  0.10089473684300E+01  0.16773938184594E+01
  0.10100000000100E+01  0.17577332426912E+01
  0.10110526315900E+01  0.18463247902855E+01
  0.10121052631700E+01  0.19559195711276E+01
  0.10131578947500E+01  0.20827175562863E+01
  0.10142105263300E+01  0.22366404045359E+01
  0.10152631579100E+01  0.24101552995035E+01
  0.10163157894900E+01  0.26117806762416E+01
  0.10173684210700E+01  0.28268906259580E+01
  0.10184210526500E+01  0.30741393535390E+01
  0.10194736842300E+01  0.33562616411562E+01
  0.10205263158100E+01  0.36883735526722E+01
  0.10215789473900E+01  0.40548237465752E+01
  0.10226315789700E+01  0.44615073550581E+01
  0.10236842105500E+01  0.49225849050231E+01
  0.10247368421300E+01  0.53989492768449E+01
  0.10257894737100E+01  0.59168193430145E+01
  0.10268421052900E+01  0.64586141082133E+01
  0.10278947368700E+01  0.70524458237248E+01
  0.10289473684500E+01  0.77036451471301E+01
  0.10300000000300E+01  0.83922599358381E+01
  0.10310526316100E+01  0.91572415923397E+01
  0.10321052631900E+01  0.99592405737437E+01
  0.10331578947700E+01  0.10766967468373E+02
  0.10342105263500E+01  0.11634019052152E+02
  0.10352631579300E+01  0.12527857522060E+02
  0.10363157895100E+01  0.13431927315497E+02
  0.10373684210900E+01  0.14380847182645E+02
  0.10384210526700E+01  0.15366903816815E+02
  0.10394736842500E+01  0.16357577110116E+02
  0.10405263158300E+01  0.17365650908420E+02
  0.10415789474100E+01  0.18363120015974E+02
  0.10426315789900E+01  0.19355693766118E+02
  0.10436842105700E+01  0.20284233268555E+02
  0.10447368421500E+01  0.21155606887568E+02
  0.10457894737300E+01  0.21915426874970E+02
  0.10468421053100E+01  0.22552894778349E+02
  0.10478947368900E+01  0.23104438674815E+02
  0.10489473684700E+01  0.23524714796562E+02
  0.10500000000500E+01  0.23771270759847E+02
  0.10510526316300E+01  0.23886923468068E+02
  0.10521052632100E+01  0.23871550824836E+02
  0.10531578947900E+01  0.23656661179474E+02
  0.10542105263700E+01  0.23308913852062E+02
  0.10552631579500E+01  0.22904800461052E+02
  0.10563157895300E+01  0.22468773905071E+02
  0.10573684211100E+01  0.21972897999367E+02
  0.10584210526900E+01  0.21395121074307E+02
  0.10594736842700E+01  0.20717838246147E+02
  0.10605263158500E+01  0.19966280999185E+02
  0.10615789474300E+01  0.19194023105680E+02
  0.10626315790100E+01  0.18383067734783E+02
  0.10636842105900E+01  0.17550035036314E+02
  0.10647368421700E+01  0.16671421455312E+02
  0.10657894737500E+01  0.15788726492829E+02
  0.10668421053300E+01  0.14884300142543E+02
  0.10678947369100E+01  0.13959993314939E+02
  0.10689473684900E+01  0.13068268528178E+02
  0.10700000000700E+01  0.12203495192245E+02
  0.10710526316500E+01  0.11402314610553E+02
  0.10721052632300E+01  0.10620834015865E+02
  0.10731578948100E+01  0.98813572334032E+01
  0.10742105263900E+01  0.92020863575110E+01
  0.10752631579700E+01  0.85669887166482E+01
  0.10763157895500E+01  0.79769349111568E+01
  0.10773684211300E+01  0.74102669880197E+01
  0.10784210527100E+01  0.68845535559652E+01
  0.10794736842900E+01  0.63965112838259E+01
  0.10805263158700E+01  0.59375403389564E+01
  0.10815789474500E+01  0.55106568560777E+01
  0.10826315790300E+01  0.51202704613117E+01
  0.10836842106100E+01  0.47359119122055E+01
  0.10847368421900E+01  0.43702447277563E+01
  0.10857894737700E+01  0.40408313233975E+01
  0.10868421053500E+01  0.37323415242065E+01
  0.10878947369300E+01  0.34594215883738E+01
  0.10889473685100E+01  0.32087391210297E+01
  0.10900000000900E+01  0.29958649508499E+01
  0.10910526316700E+01  0.28098422540193E+01
  0.10921052632500E+01  0.26549045901274E+01
  0.10931578948300E+01  0.25273616400419E+01
  0.10942105264100E+01  0.24242193879532E+01
  0.10952631579900E+01  0.23404311830988E+01
  0.10963157895700E+01  0.22646172880832E+01
  0.10973684211500E+01  0.22181569576434E+01
  0.10984210527300E+01  0.21956239805021E+01
  0.10994736843100E+01  0.21869321331864E+01
  0.11005263158900E+01  0.22273557704020E+01
  0.11015789474700E+01  0.23499299282923E+01
  0.11026315790500E+01  0.27098125751040E+01
  0.11036842106300E+01  0.39304933471416E+01
  0.11047368422100E+01  0.61492935227205E+01
