 # k         Erhorho   E11       E22       E33       Erhou1    
---------------------------------------------------------------
         1  0.39108144835200E-05  0.19646271447030E-03  0.61667335963730E-04  0.41480829514420E-04  0.20783381854470E-04
         2  0.43397604723710E-04  0.23602368425150E-02  0.57282417218740E-03  0.66802045518960E-03  0.26755450424510E-03
         3  0.37166359199260E-04  0.31854941338430E-02  0.73198857286510E-03  0.11486871702390E-02  0.26740157949260E-03
         4  0.32049406269060E-04  0.24839408687450E-02  0.11226226392730E-02  0.93691898832290E-03  0.17063121290630E-03
         5  0.29958247589890E-04  0.14935927414880E-02  0.89086817266560E-03  0.81005781578990E-03  0.11845825606380E-03
         6  0.27539698611810E-04  0.10799350425010E-02  0.71118571815550E-03  0.64930274279940E-03  0.87463697651460E-04
         7  0.28418213421350E-04  0.86584383678610E-03  0.58127326527480E-03  0.65189024277950E-03  0.78087429745770E-04
         8  0.22697598254270E-04  0.70872357606200E-03  0.53132523960190E-03  0.53084290882260E-03  0.49573156347510E-04
         9  0.19743134474090E-04  0.59426521376280E-03  0.44289231600650E-03  0.45556971330400E-03  0.39896388698890E-04
        10  0.20024543864040E-04  0.53285125046610E-03  0.43745898105870E-03  0.40197155661100E-03  0.37834112223420E-04
        11  0.17533676616350E-04  0.40038755892630E-03  0.34127481125890E-03  0.33693636248330E-03  0.28838826269150E-04
        12  0.17422185024040E-04  0.37019572679250E-03  0.31050467476170E-03  0.31808299127050E-03  0.27717533827020E-04
        13  0.15928354795110E-04  0.28339984766630E-03  0.27262147424500E-03  0.27379472432390E-03  0.21536773808110E-04
        14  0.14968905292700E-04  0.28460047739190E-03  0.22672039936060E-03  0.22492913201240E-03  0.21885599153100E-04
        15  0.13407401699400E-04  0.24900783040170E-03  0.22834012987920E-03  0.21107414563280E-03  0.17099332823540E-04
        16  0.12435869209090E-04  0.21261287415760E-03  0.19002433421660E-03  0.19579470355250E-03  0.16114707079510E-04
        17  0.12152141336540E-04  0.19006065829150E-03  0.18546439238440E-03  0.17526252322710E-03  0.14351022725930E-04
        18  0.10509736670430E-04  0.17884411891670E-03  0.16078452945770E-03  0.15857888784500E-03  0.11823265142470E-04
        19  0.11008825162950E-04  0.15714841611700E-03  0.15134616773170E-03  0.14458078920680E-03  0.11776497497310E-04
        20  0.97771861281160E-05  0.14660508948140E-03  0.13432279537990E-03  0.13562821444050E-03  0.10719665636120E-04
        21  0.92351711937380E-05  0.13075477201490E-03  0.12288243424590E-03  0.12190957125910E-03  0.10137945848920E-04
        22  0.86611942736620E-05  0.12082809876380E-03  0.11034382224840E-03  0.11326258363510E-03  0.92006656446920E-05
        23  0.86690217392830E-05  0.10810622590470E-03  0.10325967655810E-03  0.10575275755660E-03  0.92717813290110E-05
        24  0.80382762881320E-05  0.10367870866190E-03  0.95764192513070E-04  0.97598699187940E-04  0.77464755942570E-05
        25  0.75708263448160E-05  0.95837827060790E-04  0.88585829002030E-04  0.91850581416630E-04  0.70111194666660E-05
        26  0.72199520239330E-05  0.92279267869990E-04  0.83578049764840E-04  0.82492318133600E-04  0.67976057713520E-05
        27  0.66995322985450E-05  0.82485648428950E-04  0.79453258537590E-04  0.77932071230360E-04  0.64271289943830E-05
        28  0.63698341870860E-05  0.75976025772910E-04  0.72680783185480E-04  0.71611977684330E-04  0.63135949646760E-05
        29  0.59424236310500E-05  0.71018902267960E-04  0.67570368374640E-04  0.67235343244260E-04  0.56394965577560E-05
        30  0.58520445383610E-05  0.67399317344850E-04  0.62567012147490E-04  0.62095711899120E-04  0.54431416561450E-05
        31  0.55060961502770E-05  0.62737180751810E-04  0.59190426910500E-04  0.59873579927380E-04  0.50656897871880E-05
        32  0.52474833540970E-05  0.60446491944610E-04  0.55545261558310E-04  0.55315497123450E-04  0.47702987421020E-05
        33  0.50720556483020E-05  0.56727361287400E-04  0.51234367451750E-04  0.51404591520800E-04  0.44200861320500E-05
        34  0.48947385320240E-05  0.51646447229170E-04  0.49066953377650E-04  0.48815332224120E-04  0.44106385587490E-05
        35  0.46267172974050E-05  0.49601683924900E-04  0.45788541904710E-04  0.45325070817750E-04  0.40682205495770E-05
        36  0.44920283437570E-05  0.46639541262210E-04  0.42335451264830E-04  0.42958364847770E-04  0.41084932966690E-05
        37  0.42516114178960E-05  0.42909833338840E-04  0.40695573026940E-04  0.40403688587390E-04  0.37285575447690E-05
