   # density  PDF      
  ---------------------
  0.10406905821129E+01  0.12069823468346E-01
  0.10409491494362E+01  0.51531770922598E-01
  0.10412077167596E+01  0.12261802456965E+00
  0.10414662840829E+01  0.19437422365541E+00
  0.10417248514063E+01  0.25756880818306E+00
  0.10419834187296E+01  0.40039325162989E+00
  0.10422419860530E+01  0.52910922043466E+00
  0.10425005533763E+01  0.59051008007802E+00
  0.10427591206997E+01  0.66134780557846E+00
  0.10430176880230E+01  0.74759787802639E+00
  0.10432762553464E+01  0.89037189547246E+00
  0.10435348226697E+01  0.10358148891018E+01
  0.10437933899931E+01  0.11831848763317E+01
  0.10440519573164E+01  0.12269294319936E+01
  0.10443105246398E+01  0.12484829454626E+01
  0.10445690919631E+01  0.13565026428113E+01
  0.10448276592865E+01  0.14827045152923E+01
  0.10450862266098E+01  0.15880984587442E+01
  0.10453447939332E+01  0.17771239244616E+01
  0.10456033612565E+01  0.20116912725823E+01
  0.10458619285799E+01  0.22884075536265E+01
  0.10461204959032E+01  0.28226674298534E+01
  0.10463790632266E+01  0.37607531276192E+01
  0.10466376305499E+01  0.49618068175070E+01
  0.10468961978733E+01  0.67011256488251E+01
  0.10471547651966E+01  0.85702950339651E+01
  0.10474133325200E+01  0.11253185191561E+02
  0.10476718998433E+01  0.14039419835863E+02
  0.10479304671667E+01  0.17217194366804E+02
  0.10481890344901E+01  0.20468003756135E+02
  0.10484476018134E+01  0.22579120694794E+02
  0.10487061691368E+01  0.24848506840561E+02
  0.10489647364601E+01  0.28101149575206E+02
  0.10492233037835E+01  0.31837669407601E+02
  0.10494818711068E+01  0.37190501046168E+02
  0.10497404384302E+01  0.45627401298829E+02
  0.10499990057535E+01  0.55887143849358E+02
  0.10502575730769E+01  0.66084329344083E+02
  0.10505161404002E+01  0.76672204687148E+02
  0.10507747077236E+01  0.87276756629037E+02
  0.10510332750469E+01  0.99819096937532E+02
  0.10512918423703E+01  0.11271240221134E+03
  0.10515504096936E+01  0.12437903738687E+03
  0.10518089770170E+01  0.13455818838261E+03
  0.10520675443403E+01  0.14365181525806E+03
  0.10523261116637E+01  0.15152035325055E+03
  0.10525846789870E+01  0.15527492919308E+03
  0.10528432463104E+01  0.15604674956076E+03
  0.10531018136337E+01  0.15905347909711E+03
  0.10533603809571E+01  0.16052659546854E+03
  0.10536189482804E+01  0.15711105874215E+03
  0.10538775156038E+01  0.15229267427638E+03
  0.10541360829271E+01  0.14769621103812E+03
  0.10543946502505E+01  0.14424916526496E+03
  0.10546532175738E+01  0.14025049146017E+03
  0.10549117848972E+01  0.13327437842175E+03
  0.10551703522205E+01  0.12571264302348E+03
  0.10554289195439E+01  0.11609247144991E+03
  0.10556874868672E+01  0.10470572939347E+03
  0.10559460541906E+01  0.95321349799476E+02
  0.10562046215140E+01  0.86536535354550E+02
  0.10564631888373E+01  0.76905803135682E+02
  0.10567217561607E+01  0.66794521935114E+02
  0.10569803234840E+01  0.57335454230272E+02
  0.10572388908074E+01  0.50367953232417E+02
  0.10574974581307E+01  0.44135267121394E+02
  0.10577560254541E+01  0.38791393301677E+02
  0.10580145927774E+01  0.33391643871258E+02
  0.10582731601008E+01  0.28008509808090E+02
  0.10585317274241E+01  0.22480336159299E+02
  0.10587902947475E+01  0.17142045218238E+02
  0.10590488620708E+01  0.12318625356111E+02
  0.10593074293942E+01  0.91611004663334E+01
  0.10595659967175E+01  0.67963767624092E+01
  0.10598245640409E+01  0.50372297072197E+01
  0.10600831313642E+01  0.36979763585265E+01
  0.10603416986876E+01  0.26779015853772E+01
  0.10606002660109E+01  0.18854930019585E+01
  0.10608588333343E+01  0.12788285923503E+01
  0.10611174006576E+01  0.87539897510304E+00
  0.10613759679810E+01  0.55141552205790E+00
  0.10616345353043E+01  0.38517180311385E+00
  0.10618931026277E+01  0.26282031597680E+00
  0.10621516699510E+01  0.19542596595704E+00
  0.10624102372744E+01  0.15731471495180E+00
  0.10626688045977E+01  0.12902572852375E+00
  0.10629273719211E+01  0.10504816516094E+00
  0.10631859392444E+01  0.80368239644645E-01
  0.10634445065678E+01  0.51949586357492E-01
  0.10637030738911E+01  0.35442274822001E-01
  0.10639616412145E+01  0.25490343385701E-01
  0.10642202085379E+01  0.19266334148667E-01
  0.10644787758612E+01  0.14227335929563E-01
  0.10647373431846E+01  0.10758747448508E-01
  0.10649959105079E+01  0.71785013943341E-02
  0.10652544778313E+01  0.54784247971812E-02
  0.10655130451546E+01  0.31048009041224E-02
  0.10657716124780E+01  0.16064283100216E-02
  0.10660301798013E+01  0.50786186482745E-03
  0.10662887471247E+01  0.23051886063090E-03
