   # density  PDF      
  ---------------------
  0.10005263157900E+01  0.92320816359363E+02
  0.10015789473700E+01  0.19288852186211E+02
  0.10026315789500E+01  0.11840685771113E+02
  0.10036842105300E+01  0.93619910440851E+01
  0.10047368421100E+01  0.81021067139697E+01
  0.10057894736900E+01  0.73393652607868E+01
  0.10068421052700E+01  0.68300923729932E+01
  0.10078947368500E+01  0.64520713343026E+01
  0.10089473684300E+01  0.61747019583080E+01
  0.10100000000100E+01  0.59656481664576E+01
  0.10110526315900E+01  0.58309413434370E+01
  0.10121052631700E+01  0.57220658695847E+01
  0.10131578947500E+01  0.56535653713434E+01
  0.10142105263300E+01  0.55981274172562E+01
  0.10152631579100E+01  0.55806163176967E+01
  0.10163157894900E+01  0.55827574282936E+01
  0.10173684210700E+01  0.56026485226901E+01
  0.10184210526500E+01  0.56471880468879E+01
  0.10194736842300E+01  0.57135810552771E+01
  0.10205263158100E+01  0.57868672011293E+01
  0.10215789473900E+01  0.58693096914309E+01
  0.10226315789700E+01  0.59775118656286E+01
  0.10236842105500E+01  0.60959533261643E+01
  0.10247368421300E+01  0.62212852698937E+01
  0.10257894737100E+01  0.63499359350482E+01
  0.10268421052900E+01  0.64940963806836E+01
  0.10278947368700E+01  0.66557351898900E+01
  0.10289473684500E+01  0.68103030255879E+01
  0.10300000000300E+01  0.69825951871485E+01
  0.10310526316100E+01  0.71577698852070E+01
  0.10321052631900E+01  0.73477846031174E+01
  0.10331578947700E+01  0.75504991150393E+01
  0.10342105263500E+01  0.77561996799631E+01
  0.10352631579300E+01  0.79392035878034E+01
  0.10363157895100E+01  0.81177881372008E+01
  0.10373684210900E+01  0.83124469416911E+01
  0.10384210526700E+01  0.85118223827896E+01
  0.10394736842500E+01  0.87149783881776E+01
  0.10405263158300E+01  0.89342360761081E+01
  0.10415789474100E+01  0.91273598281663E+01
  0.10426315789900E+01  0.92991114035390E+01
  0.10436842105700E+01  0.94584870057590E+01
  0.10447368421500E+01  0.95794500221630E+01
  0.10457894737300E+01  0.96997671663621E+01
  0.10468421053100E+01  0.97841685074329E+01
  0.10478947368900E+01  0.98409070534943E+01
  0.10489473684700E+01  0.98582120048020E+01
  0.10500000000500E+01  0.98137936922372E+01
  0.10510526316300E+01  0.97366181570528E+01
  0.10521052632100E+01  0.96570325453122E+01
  0.10531578947900E+01  0.95722905730101E+01
  0.10542105263700E+01  0.94658543726766E+01
  0.10552631579500E+01  0.93602905421978E+01
  0.10563157895300E+01  0.92435009219450E+01
  0.10573684211100E+01  0.91210506299570E+01
  0.10584210526900E+01  0.89823455925614E+01
  0.10594736842700E+01  0.88342948728374E+01
  0.10605263158500E+01  0.86849037470991E+01
  0.10615789474300E+01  0.85131194357379E+01
  0.10626315790100E+01  0.83376660393993E+01
  0.10636842105900E+01  0.81676565494668E+01
  0.10647368421700E+01  0.79961712857840E+01
  0.10657894737500E+01  0.78383696652796E+01
  0.10668421053300E+01  0.76829153036238E+01
  0.10678947369100E+01  0.75274954474693E+01
  0.10689473684900E+01  0.73862387724864E+01
  0.10700000000700E+01  0.72340827828575E+01
  0.10710526316500E+01  0.70887880794597E+01
  0.10721052632300E+01  0.69488125318091E+01
  0.10731578948100E+01  0.68068091223866E+01
  0.10742105263900E+01  0.66856735784759E+01
  0.10752631579700E+01  0.65671347947312E+01
  0.10763157895500E+01  0.64588910369806E+01
  0.10773684211300E+01  0.63525335799707E+01
  0.10784210527100E+01  0.62567038398999E+01
  0.10794736842900E+01  0.61378898969008E+01
  0.10805263158700E+01  0.60359234861275E+01
  0.10815789474500E+01  0.59479689631736E+01
  0.10826315790300E+01  0.58761745166876E+01
  0.10836842106100E+01  0.58056364243536E+01
  0.10847368421900E+01  0.57601254375792E+01
  0.10857894737700E+01  0.57084397355752E+01
  0.10868421053500E+01  0.56759249362215E+01
  0.10878947369300E+01  0.56485134120425E+01
  0.10889473685100E+01  0.56424705255231E+01
  0.10900000000900E+01  0.56524231507729E+01
  0.10910526316700E+01  0.56738192158824E+01
  0.10921052632500E+01  0.57342551591274E+01
  0.10931578948300E+01  0.58280552679134E+01
  0.10942105264100E+01  0.59421764627282E+01
  0.10952631579900E+01  0.60985492015739E+01
  0.10963157895700E+01  0.63164691377596E+01
  0.10973684211500E+01  0.65952063472182E+01
  0.10984210527300E+01  0.69738343288301E+01
  0.10994736843100E+01  0.75047651696408E+01
  0.11005263158900E+01  0.83130724644977E+01
  0.11015789474700E+01  0.97004546221199E+01
  0.11026315790500E+01  0.12544194549816E+02
  0.11036842106300E+01  0.21733697016410E+02
  0.11047368422100E+01  0.10460608074225E+03
