 # k         Erhorho   E11       E22       E33       Erhou1    
---------------------------------------------------------------
         1  0.65005512805220E-06  0.69375991346590E-03  0.14475113815940E-03  0.86190575899580E-04  0.18636210669240E-04
         2  0.53749195371010E-06  0.93676711597000E-03  0.20177254927810E-03  0.15374028382900E-03  0.18198440155230E-04
         3  0.26654532121280E-06  0.35846407040760E-03  0.15162934173690E-03  0.16601684747850E-03  0.52626873259860E-05
         4  0.16525298122330E-06  0.27040595712870E-03  0.14098332909330E-03  0.13453219978940E-03  0.34882768372220E-05
         5  0.12602912885410E-06  0.13129915328300E-03  0.10109728217360E-03  0.10381672957900E-03  0.18125070285780E-05
         6  0.94555365065790E-07  0.10990055395690E-03  0.86773748712380E-04  0.79129425048380E-04  0.11005929220160E-05
         7  0.80325020355060E-07  0.87342371825430E-04  0.77766461764640E-04  0.69279636771640E-04  0.10184269681010E-05
         8  0.69329539898450E-07  0.75517811208490E-04  0.62732747065010E-04  0.51832180989960E-04  0.76741661089800E-06
         9  0.58935312641140E-07  0.65216962192300E-04  0.54580249894460E-04  0.50162692927990E-04  0.58156710667050E-06
        10  0.49496183686910E-07  0.48333044633720E-04  0.45789281764580E-04  0.46280335404330E-04  0.46253271778770E-06
        11  0.46453482455440E-07  0.48641041842570E-04  0.39580914444800E-04  0.41621949313440E-04  0.39076990837920E-06
        12  0.41233134641580E-07  0.40672029784330E-04  0.37092229224510E-04  0.39180126144460E-04  0.37214267016980E-06
        13  0.39454016560940E-07  0.39407766380910E-04  0.35329669733730E-04  0.35157953104040E-04  0.34242475337010E-06
        14  0.36178496320500E-07  0.35286412402320E-04  0.31933923732570E-04  0.33118535963340E-04  0.27130549555730E-06
        15  0.34253657900130E-07  0.30131366743620E-04  0.30362595190920E-04  0.30938507556260E-04  0.23906818982040E-06
        16  0.31993026533560E-07  0.30841680399620E-04  0.28325660874020E-04  0.27214621423030E-04  0.19153097700300E-06
        17  0.30927819368220E-07  0.26676790696960E-04  0.24107590729530E-04  0.24117661281100E-04  0.19112995344230E-06
        18  0.27447420074400E-07  0.24676058031930E-04  0.24606498024410E-04  0.23407160430600E-04  0.15016787812110E-06
        19  0.26217176263200E-07  0.22104434382770E-04  0.22115493628420E-04  0.21162599197570E-04  0.13142396511540E-06
        20  0.25345945704000E-07  0.20362204599500E-04  0.20172114858700E-04  0.20230974142300E-04  0.13121771339040E-06
        21  0.23575930810760E-07  0.18737758292920E-04  0.18771876650380E-04  0.19360284418260E-04  0.11822706399590E-06
        22  0.22626147457840E-07  0.17658451815310E-04  0.17678956934100E-04  0.17022374083690E-04  0.10095033466370E-06
        23  0.21061392649770E-07  0.16462515070300E-04  0.16419103016060E-04  0.16368905734010E-04  0.90244694842540E-07
        24  0.20060551972250E-07  0.16124838295370E-04  0.15603615046230E-04  0.15259314857340E-04  0.96770670672290E-07
        25  0.18217487674670E-07  0.14684598575490E-04  0.14258083188130E-04  0.14386596286770E-04  0.69963016186890E-07
        26  0.18077355607530E-07  0.12993135958850E-04  0.13504234573980E-04  0.13285482424540E-04  0.58357229983400E-07
        27  0.16950750780660E-07  0.12441021226320E-04  0.12512822172220E-04  0.12598106941980E-04  0.60872954126010E-07
        28  0.16593014148520E-07  0.11636144531660E-04  0.11379005184470E-04  0.11451749703740E-04  0.59545457947770E-07
        29  0.15410263827530E-07  0.10754601770600E-04  0.10908135250480E-04  0.10832902843640E-04  0.53568583315870E-07
        30  0.14828043666290E-07  0.99438569529880E-05  0.10126746728360E-04  0.10215287280490E-04  0.46124888231570E-07
        31  0.14024042532080E-07  0.95120640913170E-05  0.93691588382000E-05  0.95415896377710E-05  0.45296740910600E-07
        32  0.13318179109020E-07  0.89487764248970E-05  0.89169631959000E-05  0.88694643126940E-05  0.40281862640400E-07
        33  0.12407446114830E-07  0.80785232077250E-05  0.85059514969060E-05  0.83337740150420E-05  0.35992617224600E-07
        34  0.12220041577060E-07  0.76507134739010E-05  0.79436345317050E-05  0.78641515987860E-05  0.33072273956780E-07
        35  0.11956146323250E-07  0.71126890729590E-05  0.71737647449790E-05  0.71598398106990E-05  0.27222408183620E-07
        36  0.10921784884440E-07  0.70076689142310E-05  0.68790424440830E-05  0.66537012811440E-05  0.28479715956440E-07
        37  0.10696526203600E-07  0.63237811827790E-05  0.62618773947620E-05  0.63629595060420E-05  0.28568255970440E-07
        38  0.10096294310020E-07  0.59279381147240E-05  0.58585120190910E-05  0.60279861969110E-05  0.22823633860930E-07
        39  0.97707229534330E-08  0.55304973201120E-05  0.55871783205700E-05  0.55369572919550E-05  0.22464280293880E-07
        40  0.92718184183820E-08  0.52645619828940E-05  0.52731083043160E-05  0.51479902440960E-05  0.21596320390340E-07
        41  0.89928187047180E-08  0.48629672663570E-05  0.49335638091410E-05  0.48676468247620E-05  0.18504864696090E-07
        42  0.85559311976490E-08  0.46136968556230E-05  0.46347447974270E-05  0.45855486446680E-05  0.16180602478910E-07
        43  0.80891007579630E-08  0.42861224033490E-05  0.42587361030320E-05  0.43470559205280E-05  0.15407361690360E-07
        44  0.77760015646890E-08  0.40406305425620E-05  0.39613249430090E-05  0.40430423308830E-05  0.14653328894610E-07
        45  0.75375514175200E-08  0.38305319188630E-05  0.38710236878700E-05  0.38226352979380E-05  0.14063460077430E-07
        46  0.72146634071420E-08  0.35639796996840E-05  0.35426043692160E-05  0.36141462912260E-05  0.12923752498770E-07
        47  0.69153948626290E-08  0.33772960619670E-05  0.32919873240690E-05  0.33110889117100E-05  0.12221477677750E-07
        48  0.66618850643400E-08  0.31913464016190E-05  0.31798955128300E-05  0.32253208385630E-05  0.12776228716660E-07
        49  0.63909199847750E-08  0.29769661992950E-05  0.29863337155260E-05  0.28955999009050E-05  0.10770474346370E-07
        50  0.62091565079080E-08  0.27992236014250E-05  0.28563837205350E-05  0.28364226833970E-05  0.12089160598030E-07
        51  0.58304928468470E-08  0.26221149248440E-05  0.26274651215120E-05  0.26204823807310E-05  0.91041297922740E-08
        52  0.56593514591530E-08  0.24703889762930E-05  0.24946931600870E-05  0.24506204166920E-05  0.86892916405900E-08
        53  0.54024529283780E-08  0.23497429530770E-05  0.23365545465810E-05  0.23436784146910E-05  0.90308614136590E-08
        54  0.51827780160530E-08  0.22189117039470E-05  0.22012643172090E-05  0.21669769287240E-05  0.94402073310630E-08
        55  0.49610468134050E-08  0.20930043145390E-05  0.20702409953610E-05  0.20666497905920E-05  0.73418563229640E-08
        56  0.47201175626660E-08  0.19552722358690E-05  0.19659755108330E-05  0.19500744492150E-05  0.75712902656820E-08
        57  0.45859476753320E-08  0.18603053949840E-05  0.18386595092680E-05  0.18301662451020E-05  0.59192055576770E-08
        58  0.43856743547630E-08  0.17721695436520E-05  0.17361744926460E-05  0.17408556810150E-05  0.68517283958430E-08
        59  0.42485194577960E-08  0.16582417989790E-05  0.16646390118190E-05  0.16279768193460E-05  0.66505818436250E-08
        60  0.41136155478800E-08  0.15495660112320E-05  0.15310079406220E-05  0.15578497179360E-05  0.55708037872220E-08
        61  0.39228292392610E-08  0.14759335467270E-05  0.14601557956830E-05  0.14453687571220E-05  0.56651488085740E-08
        62  0.37221544542070E-08  0.13883059224010E-05  0.13865409042670E-05  0.13876983203290E-05  0.49517707912310E-08
        63  0.35702532659440E-08  0.13269472905380E-05  0.12965904028350E-05  0.12996511245530E-05  0.51355859530170E-08
        64  0.34753664056810E-08  0.12551365779640E-05  0.12275194229360E-05  0.12287496651370E-05  0.53642298471040E-08
        65  0.33351851279080E-08  0.11716336160060E-05  0.11644841671000E-05  0.11565126880390E-05  0.44271759474210E-08
        66  0.32163173202610E-08  0.11198401160190E-05  0.11127517317390E-05  0.11080857146310E-05  0.40702087338840E-08
        67  0.30811589281930E-08  0.10514686728020E-05  0.10438631815400E-05  0.10453085140790E-05  0.41248301391460E-08
        68  0.29872886230060E-08  0.99205418222040E-06  0.98211718864780E-06  0.98584893895440E-06  0.40209494331770E-08
        69  0.28611057843070E-08  0.94364933867040E-06  0.93115024638550E-06  0.92651681430500E-06  0.37795034553830E-08
        70  0.27621560797490E-08  0.89139807900290E-06  0.88126842577730E-06  0.87251422032210E-06  0.38873157913160E-08
        71  0.26619136537860E-08  0.84527846106310E-06  0.83515409895410E-06  0.83743679180850E-06  0.36404067826620E-08
        72  0.25560774327130E-08  0.80269356002630E-06  0.79262121722530E-06  0.78914107428290E-06  0.36758042879100E-08
        73  0.23968530350790E-08  0.75126032418570E-06  0.74373404735450E-06  0.74446769862950E-06  0.32901180951070E-08
        74  0.23553490683550E-08  0.71623459398030E-06  0.70944415579910E-06  0.70607189167690E-06  0.29622944243970E-08
        75  0.22557708809700E-08  0.68269035462270E-06  0.67933908014570E-06  0.67226833382890E-06  0.30260109329080E-08
        76  0.21659952405480E-08  0.64423986065060E-06  0.63645064259410E-06  0.63492621763750E-06  0.26616349568430E-08
        77  0.20829392255150E-08  0.61535510551600E-06  0.60643553901710E-06  0.60355941118710E-06  0.28570055934580E-08
        78  0.20287904760600E-08  0.58655764516300E-06  0.57235533742280E-06  0.57083896605280E-06  0.27073230331120E-08
        79  0.19590371876770E-08  0.55221134113180E-06  0.54487622182630E-06  0.54142793733670E-06  0.23035432680430E-08
        80  0.18701907828500E-08  0.52191586714540E-06  0.51977881282630E-06  0.51224050460350E-06  0.24057241842090E-08
        81  0.18111448813990E-08  0.49976635462260E-06  0.49007654459270E-06  0.48970394180210E-06  0.24720750068840E-08
        82  0.17538427293880E-08  0.47210500747120E-06  0.46468237785820E-06  0.46310881517970E-06  0.24509759871670E-08
        83  0.16728435122220E-08  0.44896245669690E-06  0.44096174496500E-06  0.44152262099260E-06  0.21646229358830E-08
