 # k         Erhorho   E11       E22       E33       Erhou1    
---------------------------------------------------------------
        84  0.16187702651310E-08  0.42512747751010E-06  0.42092276843180E-06  0.42049925698860E-06  0.20739081992790E-08
        85  0.15588989892590E-08  0.40319109068500E-06  0.39781846629370E-06  0.39652399223470E-06  0.19602239769510E-08
        86  0.14920410071930E-08  0.38476059758350E-06  0.37898860058870E-06  0.37640662889000E-06  0.18608137574380E-08
        87  0.14498625814190E-08  0.36472262716920E-06  0.36049275487560E-06  0.35709745246150E-06  0.17661081234920E-08
        88  0.13856508893370E-08  0.34705760187520E-06  0.34468531127450E-06  0.33725236067370E-06  0.17316837785510E-08
        89  0.13454817954300E-08  0.33052081643880E-06  0.32546840673110E-06  0.32432483119470E-06  0.17595087638300E-08
        90  0.12893424936910E-08  0.31469342504680E-06  0.30947841845830E-06  0.30628907056150E-06  0.16418025071660E-08
        91  0.12611497894020E-08  0.29893264300980E-06  0.29326370474360E-06  0.29375709245780E-06  0.16865671036020E-08
        92  0.12019989690730E-08  0.28390325610860E-06  0.28148058683800E-06  0.28005915362520E-06  0.14904620845430E-08
        93  0.11614106829020E-08  0.27348995934700E-06  0.26564473664980E-06  0.26567319583160E-06  0.13760890227200E-08
        94  0.11209623662450E-08  0.25655857827120E-06  0.25283220122590E-06  0.25332807801370E-06  0.13875003905230E-08
        95  0.10780345750700E-08  0.24432102600720E-06  0.24013556245790E-06  0.23841154508060E-06  0.12921559551730E-08
        96  0.10437581380060E-08  0.23394103876730E-06  0.22905282940970E-06  0.22628163551180E-06  0.11945209572030E-08
        97  0.10036008350470E-08  0.22206664127620E-06  0.21836231235060E-06  0.21773994424620E-06  0.12666615326060E-08
        98  0.97592141241580E-09  0.21145323625070E-06  0.20735241451090E-06  0.20673714553250E-06  0.12589004944860E-08
        99  0.93470929282120E-09  0.20205138370620E-06  0.19715060084090E-06  0.19710380461210E-06  0.11478972048760E-08
       100  0.90525689550390E-09  0.19269863167670E-06  0.18669781958350E-06  0.18617674035100E-06  0.10460841248660E-08
       101  0.86957232422100E-09  0.18317723695150E-06  0.17882834320870E-06  0.17815585595020E-06  0.10023187519900E-08
       102  0.84465615356810E-09  0.17338915216300E-06  0.16940488124720E-06  0.17007150100970E-06  0.10027059599210E-08
       103  0.81084297329210E-09  0.16707932296380E-06  0.16297275690930E-06  0.16065199091210E-06  0.98846394245870E-09
       104  0.77742234125140E-09  0.15989135491980E-06  0.15448445784890E-06  0.15469469110330E-06  0.96373176752470E-09
       105  0.75269739769510E-09  0.15088525718520E-06  0.14768759732970E-06  0.14663877839720E-06  0.89822265292840E-09
       106  0.73000450140890E-09  0.14508259952620E-06  0.14084456429060E-06  0.13984521666480E-06  0.89156732988400E-09
       107  0.70655573818950E-09  0.13749739850970E-06  0.13426050693160E-06  0.13275067400880E-06  0.81003353146440E-09
       108  0.67376095035790E-09  0.13105756265250E-06  0.12816596459130E-06  0.12788601323560E-06  0.80656372608930E-09
       109  0.65692536114970E-09  0.12498891205620E-06  0.12187231038020E-06  0.12179344071320E-06  0.74869873892010E-09
       110  0.63184396846640E-09  0.11954416624500E-06  0.11698129952250E-06  0.11606312428730E-06  0.72725996577090E-09
       111  0.60974636915820E-09  0.11501915291180E-06  0.11094629153220E-06  0.11074038779290E-06  0.72072099500850E-09
       112  0.58828357289480E-09  0.10911677394720E-06  0.10567709625460E-06  0.10578412063110E-06  0.70093904013000E-09
       113  0.57017335985160E-09  0.10329154347780E-06  0.10152568344200E-06  0.10047506044920E-06  0.69588509829200E-09
       114  0.54621213919720E-09  0.10004792196800E-06  0.96574843434600E-07  0.96045566857860E-07  0.66275292095430E-09
       115  0.53171273809080E-09  0.95232041489520E-07  0.92813475421640E-07  0.91838098584120E-07  0.62085546992950E-09
       116  0.51145475857220E-09  0.90562960068060E-07  0.87548280724560E-07  0.87570071624330E-07  0.61353663698760E-09
       117  0.48986411220600E-09  0.86659140604590E-07  0.84024618351990E-07  0.83693666809200E-07  0.57035552577110E-09
       118  0.47421214569460E-09  0.83170663461380E-07  0.80687942383840E-07  0.80340828245240E-07  0.57594183414310E-09
       119  0.46188596682140E-09  0.79186914245320E-07  0.76380094828060E-07  0.76251698747520E-07  0.55399603267060E-09
       120  0.44592164712260E-09  0.75773101959990E-07  0.73269815203840E-07  0.72596672611850E-07  0.50077089441660E-09
       121  0.42766805882170E-09  0.72183811584020E-07  0.70239425507550E-07  0.69950076565810E-07  0.48819393928270E-09
       122  0.41208044037800E-09  0.69413817329970E-07  0.66982457890890E-07  0.66995756343500E-07  0.48216159038600E-09
       123  0.40157805005950E-09  0.66146159507710E-07  0.63988220621990E-07  0.63588683997250E-07  0.47157001397480E-09
       124  0.38752992847180E-09  0.63364317814550E-07  0.61295130907470E-07  0.60874054934770E-07  0.44954868504570E-09
       125  0.37215070852850E-09  0.60620679503680E-07  0.58499116128720E-07  0.58176176200510E-07  0.41021869606210E-09
       126  0.35839898022820E-09  0.57917652464900E-07  0.56120892023970E-07  0.55738711539470E-07  0.38501083648670E-09
       127  0.34599145358180E-09  0.55045990339620E-07  0.53485533460260E-07  0.53549390377290E-07  0.38724204732540E-09
       128  0.33430187480280E-09  0.53043300968590E-07  0.51214624401800E-07  0.51208771476930E-07  0.38674396499970E-09
       129  0.32418859211450E-09  0.50705600304110E-07  0.49196718957760E-07  0.48624062279870E-07  0.37370027356420E-09
       130  0.31187459958480E-09  0.48273895258540E-07  0.46891755452560E-07  0.46679726453650E-07  0.35330255516240E-09
       131  0.30152812127060E-09  0.46502613810800E-07  0.44868903579700E-07  0.44549122590230E-07  0.34604379267890E-09
       132  0.29067133111940E-09  0.44288600787510E-07  0.42700760064130E-07  0.42546111638450E-07  0.33303674651580E-09
       133  0.28194320748220E-09  0.42296232203520E-07  0.41106177116520E-07  0.40658479143400E-07  0.31381445762930E-09
       134  0.27264472213190E-09  0.40616476270030E-07  0.39439419777150E-07  0.38916227115050E-07  0.30916092110880E-09
       135  0.26238485119040E-09  0.38734285522210E-07  0.37739453315650E-07  0.37522652845280E-07  0.28114077641170E-09
       136  0.25475380855020E-09  0.37225247523600E-07  0.36143342685940E-07  0.35827767785790E-07  0.28166196512740E-09
       137  0.24678319702600E-09  0.35628297213570E-07  0.34581697994890E-07  0.34354493818830E-07  0.26816513741500E-09
       138  0.23685297401260E-09  0.34093424803820E-07  0.33281983469030E-07  0.32753897116940E-07  0.26358261733010E-09
       139  0.22960677789720E-09  0.32693688877460E-07  0.31708121093450E-07  0.31537097058470E-07  0.25467989073810E-09
       140  0.22332465812920E-09  0.31260822071740E-07  0.30375976590250E-07  0.30112580341790E-07  0.24367452306500E-09
       141  0.21501330038080E-09  0.29947897452590E-07  0.29020250821100E-07  0.28921357548070E-07  0.23725412127130E-09
       142  0.20650948131280E-09  0.28795283621730E-07  0.27948062802750E-07  0.27667244760720E-07  0.23224720432570E-09
       143  0.19999609632100E-09  0.27468332762000E-07  0.26779623484440E-07  0.26443452846240E-07  0.22885771639900E-09
       144  0.19264874776660E-09  0.26390214626490E-07  0.25492867866330E-07  0.25271997287920E-07  0.21597970432150E-09
       145  0.18643765931060E-09  0.25263348437360E-07  0.24432391347030E-07  0.24364437124040E-07  0.20257845198040E-09
       146  0.17997100454520E-09  0.24261423928030E-07  0.23445693105550E-07  0.23352789971620E-07  0.19787985031870E-09
       147  0.17398924922890E-09  0.23288599154160E-07  0.22388290936180E-07  0.22259160390810E-07  0.19225813997230E-09
       148  0.16772011376620E-09  0.22369279438370E-07  0.21427937191970E-07  0.21399673216720E-07  0.18152683471800E-09
       149  0.16255763840800E-09  0.21385787827330E-07  0.20696703802880E-07  0.20594131540850E-07  0.18303556903880E-09
       150  0.15732797420510E-09  0.20399492040350E-07  0.19751140879380E-07  0.19706577788790E-07  0.16531971450750E-09
       151  0.15218321393810E-09  0.19686217912680E-07  0.19075288508210E-07  0.18957815718410E-07  0.16578184340210E-09
       152  0.14703809231830E-09  0.18857132799380E-07  0.18293840154530E-07  0.18157445440540E-07  0.15910263583200E-09
       153  0.14214095544750E-09  0.17926118683890E-07  0.17579395861890E-07  0.17372807189670E-07  0.14959255128070E-09
       154  0.13733673836930E-09  0.17351449894560E-07  0.16833159021550E-07  0.16634289165830E-07  0.14879096917550E-09
       155  0.13327499549090E-09  0.16681170452160E-07  0.16056905963900E-07  0.15950149626730E-07  0.14821300482400E-09
       156  0.12845267594490E-09  0.15949049739490E-07  0.15418751582110E-07  0.15317199086830E-07  0.13691633255220E-09
       157  0.12446920754550E-09  0.15327686774570E-07  0.14825127862930E-07  0.14702640405450E-07  0.13597925861560E-09
       158  0.12016683004960E-09  0.14618518631990E-07  0.14250251642480E-07  0.14080878752360E-07  0.13173341667450E-09
       159  0.11535170203700E-09  0.14122884354340E-07  0.13615495778720E-07  0.13514129733550E-07  0.12496225244030E-09
       160  0.11195128428690E-09  0.13484096375740E-07  0.13042865297720E-07  0.12948934009980E-07  0.11989290048050E-09
       161  0.10842288676560E-09  0.13013170961070E-07  0.12524578168920E-07  0.12534161997890E-07  0.11725387371610E-09
       162  0.10477507388940E-09  0.12445678003480E-07  0.12004209091890E-07  0.11954698217850E-07  0.11157809543400E-09
       163  0.10115577972440E-09  0.11992414681760E-07  0.11524572168590E-07  0.11457834627290E-07  0.11056299286540E-09
       164  0.98013601724750E-10  0.11503138570830E-07  0.11141173172600E-07  0.11022810449610E-07  0.10819140596530E-09
       165  0.94405509217120E-10  0.11033561428350E-07  0.10636877758700E-07  0.10587683864080E-07  0.98664450738980E-10
       166  0.91681747740720E-10  0.10589428754390E-07  0.10174056824010E-07  0.10190944099110E-07  0.98301788696560E-10
       167  0.88242010650790E-10  0.10141748754920E-07  0.98050108236390E-08  0.97873435323440E-08  0.96071255343570E-10
       168  0.85524677857900E-10  0.97840255861440E-08  0.94554950674960E-08  0.93584090800200E-08  0.94668795206790E-10
       169  0.82367479822980E-10  0.93904779597360E-08  0.90578593548730E-08  0.90277327133070E-08  0.88367706511520E-10
       170  0.80284260404820E-10  0.90636783542410E-08  0.87088866520330E-08  0.86199531167360E-08  0.85877983353200E-10
       171  0.77157049144640E-10  0.86623045100950E-08  0.83662356690940E-08  0.83488308788250E-08  0.81078490325450E-10
       172  0.74907718483070E-10  0.83275458050550E-08  0.80168274310160E-08  0.79441011203740E-08  0.79614639715570E-10
       173  0.72622221307630E-10  0.80043824976790E-08  0.76879999994300E-08  0.76428176892690E-08  0.77809472909190E-10
       174  0.70099323792880E-10  0.76993329047430E-08  0.74097388555870E-08  0.73381918179130E-08  0.72896106601450E-10
       175  0.67662016145210E-10  0.73632510586290E-08  0.71058226061200E-08  0.70921868863780E-08  0.74154673314700E-10
       176  0.65353823690470E-10  0.71263272767040E-08  0.68512087615100E-08  0.68185294128730E-08  0.69875750018080E-10
       177  0.63409831654810E-10  0.68230754433930E-08  0.65690062019410E-08  0.65357799760120E-08  0.66893760699340E-10
       178  0.61470740399730E-10  0.65738863278510E-08  0.63166994460500E-08  0.62884022304730E-08  0.65926580930100E-10
       179  0.59253178578910E-10  0.63003889960960E-08  0.60296238355650E-08  0.60067798611500E-08  0.62196920436100E-10
       180  0.57183189990220E-10  0.60501460264160E-08  0.58478366998690E-08  0.58079439028520E-08  0.59567669939510E-10
       181  0.55322453283890E-10  0.58483621550650E-08  0.56010290674480E-08  0.55730772200570E-08  0.58007528290590E-10
       182  0.53634826712780E-10  0.56203439831050E-08  0.53679715817340E-08  0.53721547700200E-08  0.56229551138680E-10
       183  0.52001018968310E-10  0.53859611220230E-08  0.51877818028640E-08  0.51537576829330E-08  0.53167167338310E-10
       184  0.50069573947560E-10  0.51545711115820E-08  0.49684582325550E-08  0.49565985366060E-08  0.51028217148500E-10
       185  0.48626352774640E-10  0.49839350465350E-08  0.47836777763360E-08  0.47537568914390E-08  0.50906268108750E-10
       186  0.46935011405280E-10  0.47765743485130E-08  0.46156131266270E-08  0.45988495302530E-08  0.48944486291620E-10
       187  0.45284789457370E-10  0.46047928355400E-08  0.44204060658010E-08  0.44030226118770E-08  0.47148570684340E-10
       188  0.43967055974670E-10  0.44424142247650E-08  0.42729610367670E-08  0.42425787737220E-08  0.47164533279360E-10
       189  0.42545829932950E-10  0.42555152815750E-08  0.40882893119210E-08  0.40864063392210E-08  0.44633371290290E-10
       190  0.41157194493900E-10  0.41194327209580E-08  0.39318424315010E-08  0.39417007859810E-08  0.42741637877270E-10
       191  0.39698724047810E-10  0.39458269305270E-08  0.37885138278840E-08  0.37816574527150E-08  0.41916079445230E-10
       192  0.38417235830510E-10  0.38015881676080E-08  0.36329884494450E-08  0.36228667016410E-08  0.39485895808170E-10
       193  0.37377924112560E-10  0.36548097527990E-08  0.34996233640660E-08  0.34933544268740E-08  0.38077887406060E-10
       194  0.35946726467740E-10  0.35095974377740E-08  0.33572353741180E-08  0.33760624841190E-08  0.37434584161740E-10
       195  0.34929625449470E-10  0.33866407924390E-08  0.32333114939750E-08  0.32347462337520E-08  0.34957181262040E-10
       196  0.33697870434530E-10  0.32731014631730E-08  0.31230108490660E-08  0.31219487319260E-08  0.34204272383140E-10
       197  0.32736895532600E-10  0.31449268281170E-08  0.30015856649040E-08  0.29948732714850E-08  0.33789704463410E-10
       198  0.31630591041870E-10  0.30174395970240E-08  0.28891532537920E-08  0.28813211083210E-08  0.32351634647280E-10
       199  0.30542093205830E-10  0.29045787341690E-08  0.27874910565440E-08  0.27606697523610E-08  0.30801952779980E-10
       200  0.29573713920070E-10  0.27967218118720E-08  0.26822560318010E-08  0.26708926828440E-08  0.30214183328000E-10
       201  0.28553719698100E-10  0.26954874842740E-08  0.25814019606980E-08  0.25630387481670E-08  0.29106597758990E-10
       202  0.27758465587710E-10  0.25954069153120E-08  0.24810191346400E-08  0.24735534566500E-08  0.28638376633540E-10
       203  0.26831855547570E-10  0.24911012006550E-08  0.23939539309080E-08  0.23898916428430E-08  0.27298613204080E-10
       204  0.25838561946160E-10  0.24001035970340E-08  0.23013750185900E-08  0.22851854290110E-08  0.25901598895040E-10
       205  0.25033322036480E-10  0.23102801970760E-08  0.22113897706110E-08  0.22023338946260E-08  0.25239340589630E-10
       206  0.24277966149230E-10  0.22260600742470E-08  0.21257205622540E-08  0.21213962132910E-08  0.24932153745540E-10
       207  0.23525819718160E-10  0.21415925471700E-08  0.20561981772720E-08  0.20472756886670E-08  0.23883406333650E-10
       208  0.22752870598360E-10  0.20690577585630E-08  0.19771268351530E-08  0.19720308870380E-08  0.23281498890020E-10
       209  0.21952235994370E-10  0.19928764828360E-08  0.19024401020810E-08  0.18975766783630E-08  0.22381755426550E-10
       210  0.21298750344600E-10  0.19177128646710E-08  0.18283988816260E-08  0.18175283323980E-08  0.21500777128050E-10
       211  0.20540439148730E-10  0.18434416477460E-08  0.17592697918090E-08  0.17547043383020E-08  0.20866698505610E-10
       212  0.19962518444490E-10  0.17823386921060E-08  0.17002889950190E-08  0.17002965603880E-08  0.20309769229160E-10
       213  0.19319873743550E-10  0.17193387077420E-08  0.16346177281930E-08  0.16239650222160E-08  0.19563082951280E-10
       214  0.18717283250220E-10  0.16501877217700E-08  0.15744756035650E-08  0.15733255083220E-08  0.18916334301730E-10
       215  0.18043506432000E-10  0.15960307547950E-08  0.15199410806230E-08  0.15109689782170E-08  0.18179990385020E-10
       216  0.17509958063460E-10  0.15306476585490E-08  0.14645661658890E-08  0.14509107965750E-08  0.17343708647500E-10
       217  0.16967073063300E-10  0.14755476534540E-08  0.14084804730820E-08  0.14048089947080E-08  0.16883252277190E-10
       218  0.16416946318720E-10  0.14241183178140E-08  0.13604790480320E-08  0.13514701238130E-08  0.16232046747100E-10
       219  0.15876488254130E-10  0.13706855233630E-08  0.13089008543190E-08  0.12982185029730E-08  0.15635405778010E-10
       220  0.15345370719260E-10  0.13250660666760E-08  0.12661932590470E-08  0.12523599929100E-08  0.15065951792500E-10
       221  0.14878729205040E-10  0.12746441957110E-08  0.12158059302210E-08  0.12104757440950E-08  0.15041600525040E-10
       222  0.14389235182650E-10  0.12249564533230E-08  0.11687119417930E-08  0.11603704993440E-08  0.13968158128940E-10
       223  0.13917269826320E-10  0.11813871617160E-08  0.11292156580060E-08  0.11202314111120E-08  0.14097618250710E-10
       224  0.13466304916580E-10  0.11369039764430E-08  0.10849354124470E-08  0.10806207305280E-08  0.13605146840920E-10
       225  0.13034664400810E-10  0.10967393322300E-08  0.10453971165770E-08  0.10407080913940E-08  0.13311195982580E-10
       226  0.12638511956860E-10  0.10612706461220E-08  0.10114388676750E-08  0.10039825944140E-08  0.12690425078720E-10
       227  0.12206328207520E-10  0.10230662644870E-08  0.97393948142400E-09  0.96836293808440E-09  0.12176425915380E-10
       228  0.11881214272520E-10  0.98624153516770E-09  0.93892796690670E-09  0.93484895165130E-09  0.11934544122700E-10
       229  0.11463541474600E-10  0.94811971606550E-09  0.90141732803260E-09  0.89755279160560E-09  0.11689875991080E-10
       230  0.11079972677600E-10  0.91313634483910E-09  0.87023086752020E-09  0.86280497026700E-09  0.11038121090040E-10
       231  0.10762589608550E-10  0.88083933351380E-09  0.83837537308870E-09  0.83596590553610E-09  0.10844992704130E-10
       232  0.10370822338300E-10  0.85075198728200E-09  0.80847101213970E-09  0.80528517550180E-09  0.10502642944630E-10
       233  0.10073574486090E-10  0.82038521429400E-09  0.77922386688740E-09  0.77612747783880E-09  0.10162697512870E-10
       234  0.97030129727500E-11  0.78940490340590E-09  0.75462895288090E-09  0.74950427909140E-09  0.95949076197950E-11
       235  0.94428052901190E-11  0.76484574047460E-09  0.72626413913850E-09  0.72440225519730E-09  0.93897402926450E-11
       236  0.91168798906760E-11  0.73770023749070E-09  0.69937437725710E-09  0.69774516223810E-09  0.92333171266600E-11
       237  0.88317004301920E-11  0.71013099893870E-09  0.67533646692700E-09  0.67193452908560E-09  0.87907623589140E-11
       238  0.85620308604070E-11  0.68449521666690E-09  0.65204397207990E-09  0.64932695563140E-09  0.84631367343730E-11
       239  0.82767213982730E-11  0.65783439447250E-09  0.62809400797620E-09  0.62272273378720E-09  0.80705797888200E-11
       240  0.80186901179190E-11  0.63627446799460E-09  0.60709140677500E-09  0.60284017439750E-09  0.78383480877480E-11
