 # k         Erhorho   E11       E22       E33       Erhou1    
---------------------------------------------------------------
         1  0.31388157721690E-05  0.40398029344760E-03  0.99851192562720E-04  0.64774503107680E-04  0.24633267747910E-04
         2  0.53707732654370E-05  0.19290778654770E-02  0.28935082570540E-03  0.34042141499480E-03  0.88907767988010E-04
         3  0.31906376197300E-05  0.10839889801260E-02  0.31791877202350E-03  0.29388614400110E-03  0.33111384893590E-04
         4  0.22427851568840E-05  0.63974753351070E-03  0.28686290306040E-03  0.36619312824640E-03  0.22423721954070E-04
         5  0.16716266200010E-05  0.38815157906590E-03  0.29921573335130E-03  0.22623634337890E-03  0.11907121649940E-04
         6  0.12237584189850E-05  0.29528666903980E-03  0.25000294441090E-03  0.20827537819750E-03  0.73518948433770E-05
         7  0.96697161206390E-06  0.27788052382130E-03  0.17387511014910E-03  0.17917561598860E-03  0.60485506131300E-05
         8  0.82684393677020E-06  0.19595927992190E-03  0.17690641681130E-03  0.15748311487400E-03  0.41249039307960E-05
         9  0.69635926251440E-06  0.17302495041540E-03  0.14348480309620E-03  0.13685895156890E-03  0.35911914429400E-05
        10  0.58510608698970E-06  0.15595661579800E-03  0.12416012467720E-03  0.12432053929560E-03  0.33690998332150E-05
        11  0.50997362266350E-06  0.13636130832570E-03  0.10871441211420E-03  0.10823779046680E-03  0.23745059724560E-05
        12  0.47739480902130E-06  0.11092742595590E-03  0.10232277113440E-03  0.10119439556140E-03  0.19753248722120E-05
        13  0.42626313630600E-06  0.98524421820630E-04  0.97256048406390E-04  0.96174683248900E-04  0.18746052344490E-05
        14  0.38710889180890E-06  0.94762345566160E-04  0.84109080289510E-04  0.86118937833720E-04  0.15618444468530E-05
        15  0.33973189824580E-06  0.85579690456530E-04  0.79814167038310E-04  0.78914631647810E-04  0.12832686439410E-05
        16  0.34426667017570E-06  0.79258824049900E-04  0.76327406722000E-04  0.75145081012640E-04  0.12004762387020E-05
        17  0.32448385285860E-06  0.70439495347020E-04  0.68090148317240E-04  0.69577279535670E-04  0.10813164094260E-05
        18  0.29883755612370E-06  0.67742130926470E-04  0.67036530016430E-04  0.63612392111860E-04  0.10955281171240E-05
