 # k         Erhorho   E11       E22       E33       Erhou1    
---------------------------------------------------------------
         1  0.23219447713600E-05  0.29240523700300E-04  0.11533493738780E-04  0.90945977692600E-05  0.59780631203130E-05
         2  0.40557268624990E-04  0.52014320628560E-03  0.19739854047810E-03  0.17717046508790E-03  0.12013983662820E-03
         3  0.21272197790940E-03  0.35866652991430E-02  0.61090504705890E-03  0.80676405094040E-03  0.69734914644990E-03
         4  0.17155131337000E-03  0.35770732235230E-02  0.64954250535320E-03  0.74143558716310E-03  0.61296339216290E-03
         5  0.17753180965850E-03  0.37915074931460E-02  0.71559314510400E-03  0.53276695062430E-03  0.65824268680790E-03
         6  0.73166771775930E-04  0.77271994488100E-03  0.34001069206090E-03  0.30145803784080E-03  0.13054700228230E-03
         7  0.62004398246530E-04  0.60898961915240E-03  0.24559450068840E-03  0.25390518228270E-03  0.11861340445080E-03
         8  0.56857243249870E-04  0.49968228066010E-03  0.24094196584380E-03  0.21702293277340E-03  0.98405052844730E-04
         9  0.41700695715700E-04  0.32564498976200E-03  0.15228054923970E-03  0.15306138830660E-03  0.66457247684510E-04
        10  0.33866164417780E-04  0.27003573030390E-03  0.12647122761160E-03  0.13212656025870E-03  0.50268680575530E-04
        11  0.30620618466740E-04  0.19182616939620E-03  0.95954894791910E-04  0.10118159044670E-03  0.41428683331220E-04
        12  0.29287644361510E-04  0.17340022527490E-03  0.88831710416920E-04  0.84362571142040E-04  0.38994250227020E-04
        13  0.23113594172210E-04  0.13400865187230E-03  0.70048108966450E-04  0.71340069959720E-04  0.29509074482210E-04
        14  0.19585595375220E-04  0.11655893590600E-03  0.58165958962660E-04  0.62743724256420E-04  0.26309192924960E-04
        15  0.17490847227210E-04  0.99276765462420E-04  0.53945366233710E-04  0.49947379565950E-04  0.23798288965790E-04
        16  0.14779177485900E-04  0.92182271809540E-04  0.41776523100660E-04  0.43494115084000E-04  0.22054523070970E-04
        17  0.13558901967630E-04  0.79737376530770E-04  0.35624219902360E-04  0.37975998727070E-04  0.19500232462830E-04
        18  0.11193798614130E-04  0.65257937743170E-04  0.32324056326430E-04  0.32799900997650E-04  0.16287563434880E-04
        19  0.11031362507340E-04  0.59656780597620E-04  0.27616367017640E-04  0.28490298332720E-04  0.15695708166590E-04
        20  0.91458484056660E-05  0.51812261723080E-04  0.23867447098100E-04  0.24689672483230E-04  0.13745718809860E-04
        21  0.84710424411700E-05  0.46516880769510E-04  0.21383431508000E-04  0.22144500651780E-04  0.12816058723910E-04
        22  0.74706525056260E-05  0.41729062941610E-04  0.17770800207440E-04  0.19269284853110E-04  0.11465362587370E-04
        23  0.71179324184490E-05  0.37399940390970E-04  0.16447671320410E-04  0.17025201073130E-04  0.10743293094860E-04
        24  0.64540484747450E-05  0.33734586075330E-04  0.14262463324270E-04  0.15064224042840E-04  0.97376202208410E-05
        25  0.59710937773400E-05  0.30833803120440E-04  0.12526007436860E-04  0.13912822897940E-04  0.90340305052980E-05
        26  0.54486499479600E-05  0.26668637912490E-04  0.11352807728710E-04  0.12170378187640E-04  0.78752389436640E-05
        27  0.51620469312620E-05  0.24060508795430E-04  0.10051593072610E-04  0.11122885900300E-04  0.75174230250870E-05
        28  0.47896484005880E-05  0.22641836387580E-04  0.91069018251530E-05  0.10080138532250E-04  0.70358320563480E-05
        29  0.44451536096420E-05  0.20909560087490E-04  0.81592311769900E-05  0.89632312650590E-05  0.66431917398020E-05
        30  0.41679361507150E-05  0.18944407857940E-04  0.72154423942040E-05  0.81505675820300E-05  0.61674131679950E-05
        31  0.37710087940070E-05  0.17078114024340E-04  0.66982618541710E-05  0.73190049467790E-05  0.55430762619690E-05
        32  0.36322034050610E-05  0.15611370626920E-04  0.62490453600320E-05  0.68548492152740E-05  0.52171275233470E-05
        33  0.32300924198760E-05  0.14308174379620E-04  0.53972221215220E-05  0.60224959378880E-05  0.47124947619130E-05
        34  0.29934379811460E-05  0.12980682935860E-04  0.51124418485090E-05  0.55996221559120E-05  0.43246665146240E-05
        35  0.28452243554680E-05  0.11945879530890E-04  0.45867941983700E-05  0.49720791086610E-05  0.40746196647660E-05
        36  0.26524616758400E-05  0.10975094700440E-04  0.42507557390260E-05  0.45973539962530E-05  0.37811797965200E-05
        37  0.23954148482940E-05  0.99908844264140E-05  0.38639073060230E-05  0.41311110316340E-05  0.34325575333220E-05
        38  0.23180151678550E-05  0.93257415677230E-05  0.35257647981580E-05  0.39032299359650E-05  0.32773293003720E-05
        39  0.21582096543380E-05  0.86854068016600E-05  0.32198413627230E-05  0.35682169973790E-05  0.30498681930270E-05
        40  0.20012718067220E-05  0.79140873703240E-05  0.30182882532820E-05  0.32498248337630E-05  0.27987770473610E-05
        41  0.18855954261910E-05  0.73732764320340E-05  0.27303254035030E-05  0.30630809670820E-05  0.26443821468850E-05
        42  0.17765190906700E-05  0.67937755641780E-05  0.25609671714310E-05  0.28078513641430E-05  0.24692160702730E-05
        43  0.16702388138110E-05  0.62774893931570E-05  0.23848324318710E-05  0.26501575894020E-05  0.22939944727140E-05
        44  0.15528215874950E-05  0.58163508352720E-05  0.21563943750990E-05  0.24039206416380E-05  0.21325614682870E-05
        45  0.14825802917060E-05  0.53980653563610E-05  0.20351476620920E-05  0.22201805372340E-05  0.20236324266490E-05
        46  0.13904747141190E-05  0.50056246570530E-05  0.19048035229630E-05  0.21056394825110E-05  0.18766338322870E-05
        47  0.13286689099940E-05  0.47998206871230E-05  0.17694477614640E-05  0.19684175179760E-05  0.18147711851370E-05
        48  0.12516034855740E-05  0.44581323705390E-05  0.16375638032100E-05  0.17760819469410E-05  0.17014091900830E-05
        49  0.11720057734180E-05  0.40593689329420E-05  0.15430007090930E-05  0.16719079941120E-05  0.15676113685700E-05
        50  0.11193027402000E-05  0.38331734833770E-05  0.14168015762050E-05  0.15781082239970E-05  0.14970674999860E-05
        51  0.10498209977070E-05  0.35223873726640E-05  0.13145858519730E-05  0.14652203979620E-05  0.13866167538990E-05
        52  0.99011259594460E-06  0.33671172815190E-05  0.12220302326810E-05  0.13562581498740E-05  0.13170300933880E-05
        53  0.94142641400750E-06  0.31190054549650E-05  0.11653596576750E-05  0.12751991740590E-05  0.12393811692660E-05
        54  0.89434923805680E-06  0.29193838423090E-05  0.10806485889110E-05  0.11856218335160E-05  0.11692250387500E-05
        55  0.83423085077070E-06  0.27053961775440E-05  0.10090656226510E-05  0.10989665910850E-05  0.10906432701730E-05
        56  0.79514129193330E-06  0.25366773300290E-05  0.94884254869880E-06  0.10184463348570E-05  0.10284771573340E-05
        57  0.76101123050750E-06  0.23645174953540E-05  0.87752161911840E-06  0.95128345343450E-06  0.97540857044240E-06
        58  0.70402619444250E-06  0.21903513827390E-05  0.82626652244140E-06  0.89654012420740E-06  0.89905955293270E-06
        59  0.67648917729570E-06  0.20984522204100E-05  0.77847662803370E-06  0.84032030964920E-06  0.86377774675780E-06
        60  0.64623284388480E-06  0.19656096595090E-05  0.72631661196460E-06  0.79426319080890E-06  0.81589493959200E-06
        61  0.60521669606220E-06  0.18162890682100E-05  0.68070182891830E-06  0.74709777514520E-06  0.75817075769360E-06
        62  0.57416537446590E-06  0.17295348198560E-05  0.64214245174370E-06  0.70491599782260E-06  0.72234382139300E-06
        63  0.54509043523450E-06  0.16305942508730E-05  0.61065913183120E-06  0.65965738614250E-06  0.68270323031090E-06
        64  0.52897978167020E-06  0.15525405300930E-05  0.57966564150540E-06  0.62173150658140E-06  0.66195040300220E-06
        65  0.49671833873110E-06  0.14593425908410E-05  0.53708601823400E-06  0.58371145033800E-06  0.61893979732410E-06
        66  0.47207969175860E-06  0.13750990755860E-05  0.50783336066250E-06  0.55012635294590E-06  0.58575343330380E-06
        67  0.44840604273080E-06  0.12787629320840E-05  0.49054333763280E-06  0.52288818541030E-06  0.55143149595350E-06
        68  0.42796823767070E-06  0.12221773407330E-05  0.45411271918020E-06  0.49145165027390E-06  0.52606232508510E-06
