   # density  PDF      
  ---------------------
  0.10005263157900E+01  0.33335191536887E+03
  0.10015789473700E+01  0.13798711062580E+02
  0.10026315789500E+01  0.88870458216012E+01
  0.10036842105300E+01  0.67637692603631E+01
  0.10047368421100E+01  0.55543956756927E+01
  0.10057894736900E+01  0.47661590807907E+01
  0.10068421052700E+01  0.42124519548164E+01
  0.10078947368500E+01  0.38058178926944E+01
  0.10089473684300E+01  0.34870914614347E+01
  0.10100000000100E+01  0.32319604386852E+01
  0.10110526315900E+01  0.30284124861921E+01
  0.10121052631700E+01  0.28600866877744E+01
  0.10131578947500E+01  0.27177621117624E+01
  0.10142105263300E+01  0.25990101017145E+01
  0.10152631579100E+01  0.24996032913365E+01
  0.10163157894900E+01  0.24128715017896E+01
  0.10173684210700E+01  0.23347280430543E+01
  0.10184210526500E+01  0.22713555931683E+01
  0.10194736842300E+01  0.22144710622935E+01
  0.10205263158100E+01  0.21660784237778E+01
  0.10215789473900E+01  0.21241241579123E+01
  0.10226315789700E+01  0.20853196249911E+01
  0.10236842105500E+01  0.20481793189429E+01
  0.10247368421300E+01  0.20196990089783E+01
  0.10257894737100E+01  0.19861056915181E+01
  0.10268421052900E+01  0.19628702177595E+01
  0.10278947368700E+01  0.19381713568409E+01
  0.10289473684500E+01  0.19167460947688E+01
  0.10300000000300E+01  0.18969921376213E+01
  0.10310526316100E+01  0.18794005252253E+01
  0.10321052631900E+01  0.18607011977603E+01
  0.10331578947700E+01  0.18465088196260E+01
  0.10342105263500E+01  0.18317829333554E+01
  0.10352631579300E+01  0.18156582471453E+01
  0.10363157895100E+01  0.18073725030379E+01
  0.10373684210900E+01  0.17958051972760E+01
  0.10384210526700E+01  0.17845953331178E+01
  0.10394736842500E+01  0.17745294590430E+01
  0.10405263158300E+01  0.17663808521846E+01
  0.10415789474100E+01  0.17595399153519E+01
  0.10426315789900E+01  0.17492351570369E+01
  0.10436842105700E+01  0.17423039750468E+01
  0.10447368421500E+01  0.17359160335139E+01
  0.10457894737300E+01  0.17313922738106E+01
  0.10468421053100E+01  0.17258713935938E+01
  0.10478947368900E+01  0.17212308460398E+01
  0.10489473684700E+01  0.17185022571634E+01
  0.10500000000500E+01  0.17156152968834E+01
  0.10510526316300E+01  0.17162523215238E+01
  0.10521052632100E+01  0.17119718698429E+01
  0.10531578947900E+01  0.17146668379743E+01
  0.10542105263700E+01  0.17160665226703E+01
  0.10552631579500E+01  0.17126389762024E+01
  0.10563157895300E+01  0.17169919779118E+01
  0.10573684211100E+01  0.17188287322916E+01
  0.10584210526900E+01  0.17202983127468E+01
  0.10594736842700E+01  0.17231543065512E+01
  0.10605263158500E+01  0.17240390629962E+01
  0.10615789474300E+01  0.17281664518122E+01
  0.10626315790100E+01  0.17346464080153E+01
  0.10636842105900E+01  0.17394612525890E+01
  0.10647368421700E+01  0.17456704733200E+01
  0.10657894737500E+01  0.17518053745097E+01
  0.10668421053300E+01  0.17597796843485E+01
  0.10678947369100E+01  0.17673054226696E+01
  0.10689473684900E+01  0.17773597949106E+01
  0.10700000000700E+01  0.17875123751170E+01
  0.10710526316500E+01  0.17994495090729E+01
  0.10721052632300E+01  0.18100648169000E+01
  0.10731578948100E+01  0.18217745684496E+01
  0.10742105263900E+01  0.18371932190166E+01
  0.10752631579700E+01  0.18551281169132E+01
  0.10763157895500E+01  0.18718703631219E+01
  0.10773684211300E+01  0.18927585780319E+01
  0.10784210527100E+01  0.19200179241024E+01
  0.10794736842900E+01  0.19454095493174E+01
  0.10805263158700E+01  0.19783339909052E+01
  0.10815789474500E+01  0.20108187085398E+01
  0.10826315790300E+01  0.20482094006620E+01
  0.10836842106100E+01  0.20922269185572E+01
  0.10847368421900E+01  0.21410442401665E+01
  0.10857894737700E+01  0.21959150653725E+01
  0.10868421053500E+01  0.22607871774328E+01
  0.10878947369300E+01  0.23332814662668E+01
  0.10889473685100E+01  0.24162238439597E+01
  0.10900000000900E+01  0.25057877388871E+01
  0.10910526316700E+01  0.26186525795499E+01
  0.10921052632500E+01  0.27395182727449E+01
  0.10931578948300E+01  0.28875937656494E+01
  0.10942105264100E+01  0.30680274560170E+01
  0.10952631579900E+01  0.32817704570258E+01
  0.10963157895700E+01  0.35416818188477E+01
  0.10973684211500E+01  0.38649629762862E+01
  0.10984210527300E+01  0.42898566419201E+01
  0.10994736843100E+01  0.48593097783461E+01
  0.11005263158900E+01  0.56644071768205E+01
  0.11015789474700E+01  0.69032351883014E+01
  0.11026315790500E+01  0.90859673826434E+01
  0.11036842106300E+01  0.14135216674602E+02
  0.11047368422100E+01  0.34591650797853E+03
