   # density  PDF      
  ---------------------
  0.10005367368424E+01  0.43703613688630E+03
  0.10015891578961E+01  0.36388922876140E+01
  0.10026415789498E+01  0.22455495555627E+01
  0.10036940000034E+01  0.16367100449650E+01
  0.10047464210571E+01  0.15061637801899E+01
  0.10057988421108E+01  0.13991939119016E+01
  0.10068512631645E+01  0.93467730974350E+00
  0.10079036842182E+01  0.92152631401527E+00
  0.10089561052719E+01  0.76254271341305E+00
  0.10100085263256E+01  0.88760150597832E+00
  0.10110609473793E+01  0.65807455193615E+00
  0.10121133684330E+01  0.69763992566664E+00
  0.10131657894866E+01  0.71909956138492E+00
  0.10142182105403E+01  0.56052480002814E+00
  0.10152706315940E+01  0.53739440999084E+00
  0.10163230526477E+01  0.57778896634682E+00
  0.10173754737014E+01  0.60357150187887E+00
  0.10184278947551E+01  0.64017146367979E+00
  0.10194803158088E+01  0.47960294730143E+00
  0.10205327368625E+01  0.44076852858550E+00
  0.10215851579162E+01  0.40107572444085E+00
  0.10226375789699E+01  0.41750185879972E+00
  0.10236900000235E+01  0.42869184204334E+00
  0.10247424210772E+01  0.44394986427240E+00
  0.10257948421309E+01  0.49642287703740E+00
  0.10268472631846E+01  0.43127319286356E+00
  0.10278996842383E+01  0.40156951729572E+00
  0.10289521052920E+01  0.35595031395910E+00
  0.10300045263457E+01  0.39550772328870E+00
  0.10310569473994E+01  0.41219491300993E+00
  0.10321093684531E+01  0.36802434570096E+00
  0.10331617895067E+01  0.32566789192695E+00
  0.10342142105604E+01  0.33794191862437E+00
  0.10352666316141E+01  0.38939283327578E+00
  0.10363190526678E+01  0.39285026819336E+00
  0.10373714737215E+01  0.32749527946337E+00
  0.10384238947752E+01  0.34542314585581E+00
  0.10394763158289E+01  0.39074501155939E+00
  0.10405287368826E+01  0.34239844338632E+00
  0.10415811579363E+01  0.35222828394544E+00
  0.10426335789900E+01  0.39382811963537E+00
  0.10436860000436E+01  0.34851687313297E+00
  0.10447384210973E+01  0.37124550339228E+00
  0.10457908421510E+01  0.34687355175034E+00
  0.10468432632047E+01  0.37222512470116E+00
  0.10478956842584E+01  0.34537004984991E+00
  0.10489481053121E+01  0.35958119582929E+00
  0.10500005263658E+01  0.36510141057612E+00
  0.10510529474195E+01  0.32476172009290E+00
  0.10521053684732E+01  0.18483162120822E+00
  0.10531577895268E+01  0.17497523264615E+00
  0.10542102105805E+01  0.32364670396898E+00
  0.10552626316342E+01  0.36534122753610E+00
  0.10563150526879E+01  0.35864847599229E+00
  0.10573674737416E+01  0.34674789120304E+00
  0.10584198947953E+01  0.37103754403584E+00
  0.10594723158490E+01  0.34800626654289E+00
  0.10605247369027E+01  0.37197468853999E+00
  0.10615771579564E+01  0.34784343879146E+00
  0.10626295790100E+01  0.39389183484245E+00
  0.10636820000637E+01  0.35273181106807E+00
  0.10647344211174E+01  0.34193562320155E+00
  0.10657868421711E+01  0.39139101296452E+00
  0.10668392632248E+01  0.34509660541952E+00
  0.10678916842785E+01  0.32969610890796E+00
  0.10689441053322E+01  0.39205913770544E+00
  0.10699965263859E+01  0.38950433488818E+00
  0.10710489474396E+01  0.34036840609404E+00
  0.10721013684933E+01  0.32469888981925E+00
  0.10731537895469E+01  0.36801195663292E+00
  0.10742062106006E+01  0.41318869325371E+00
  0.10752586316543E+01  0.39755103458246E+00
  0.10763110527080E+01  0.35582642327866E+00
  0.10773634737617E+01  0.40131111673367E+00
  0.10784158948154E+01  0.43136522594045E+00
  0.10794683158691E+01  0.49432027520373E+00
  0.10805207369228E+01  0.44633829960451E+00
  0.10815731579765E+01  0.42941925732418E+00
  0.10826255790301E+01  0.41950269328876E+00
  0.10836780000838E+01  0.40362875739125E+00
  0.10847304211375E+01  0.44010925317890E+00
  0.10857828421912E+01  0.47598976409987E+00
  0.10868352632449E+01  0.64103161897539E+00
  0.10878876842986E+01  0.60613338416358E+00
  0.10889401053523E+01  0.57965529095423E+00
  0.10899925264060E+01  0.54158368485642E+00
  0.10910449474597E+01  0.55803902201854E+00
  0.10920973685133E+01  0.72209417611774E+00
  0.10931497895670E+01  0.70275041623460E+00
  0.10942022106207E+01  0.65540559270620E+00
  0.10952546316744E+01  0.88981826422468E+00
  0.10963070527281E+01  0.76822929564503E+00
  0.10973594737818E+01  0.92223514569405E+00
  0.10984118948355E+01  0.93737901151042E+00
  0.10994643158892E+01  0.14008584716866E+01
  0.11005167369429E+01  0.15125432652989E+01
  0.11015691579966E+01  0.16432134207544E+01
  0.11026215790502E+01  0.22496662658869E+01
  0.11036740001039E+01  0.36550405528753E+01
  0.11047264211576E+01  0.45103405196078E+03
