 # k         Erhorho   E11       E22       E33       Erhou1    
---------------------------------------------------------------
         1  0.43172159358620E-05  0.26866640844910E-03  0.68657797921090E-04  0.56562574806410E-04  0.22177816341670E-04
         2  0.17248801979950E-04  0.22410480917390E-02  0.42781518505250E-03  0.55467019909740E-03  0.16129572910670E-03
         3  0.10904319405130E-04  0.19638332002580E-02  0.66491127179370E-03  0.54060034048760E-03  0.82234729926460E-04
         4  0.10139887415020E-04  0.11974743257760E-02  0.56898256677600E-03  0.53298106184760E-03  0.61498552551730E-04
         5  0.83395997752280E-05  0.87234104093310E-03  0.61837416076680E-03  0.49875886683730E-03  0.46781864859900E-04
         6  0.60167092332200E-05  0.64224432922470E-03  0.44868611793180E-03  0.40042778441490E-03  0.26379864248580E-04
         7  0.61410436092050E-05  0.53007107391790E-03  0.41939905189150E-03  0.34355667864690E-03  0.26546105921200E-04
         8  0.47313260004610E-05  0.41791710147130E-03  0.35543132980670E-03  0.32969488068570E-03  0.16062317955950E-04
         9  0.44211238349360E-05  0.35170848260250E-03  0.30537321721270E-03  0.28260867932370E-03  0.12795068165200E-04
        10  0.41135486575780E-05  0.30493121046660E-03  0.28546827572080E-03  0.25906789140990E-03  0.13220098772120E-04
        11  0.35824807143820E-05  0.27770676693130E-03  0.23221408737170E-03  0.24517089224450E-03  0.93690628976780E-05
        12  0.34147470274640E-05  0.25634616762840E-03  0.23474167959300E-03  0.22068446785770E-03  0.89089876384750E-05
        13  0.32814855175870E-05  0.21694877944190E-03  0.20260275342470E-03  0.19924221778540E-03  0.83251477650370E-05
        14  0.29389664537790E-05  0.20416731205120E-03  0.19005240760000E-03  0.18927465616170E-03  0.72631160559740E-05
        15  0.29494729173660E-05  0.18204823397220E-03  0.17669464316690E-03  0.16567973095330E-03  0.59853982939970E-05
        16  0.26572616226550E-05  0.16685829442540E-03  0.16041243443970E-03  0.16650340120300E-03  0.52808480756690E-05
        17  0.25096390300100E-05  0.16438340695730E-03  0.14973381602400E-03  0.14648014967710E-03  0.50402110361640E-05
        18  0.24019244962950E-05  0.15310209407450E-03  0.13670187348620E-03  0.13656177791350E-03  0.48455591630640E-05
        19  0.23236501011470E-05  0.13601269814650E-03  0.12665558628200E-03  0.13210563647830E-03  0.40663624311380E-05
        20  0.22635039310680E-05  0.12939715616560E-03  0.11956591915440E-03  0.12496942183540E-03  0.39658509543510E-05
        21  0.22056398992870E-05  0.11925299651910E-03  0.10987726894320E-03  0.11336447369230E-03  0.36320270414950E-05
        22  0.20501807563520E-05  0.10959741921990E-03  0.11065111622120E-03  0.11044828663450E-03  0.33992903030950E-05
        23  0.20094602821280E-05  0.11086110757220E-03  0.10315655492100E-03  0.10359133741450E-03  0.35274239394560E-05
        24  0.18678524670360E-05  0.10168159175930E-03  0.97041554510320E-04  0.10094539118030E-03  0.28031913840850E-05
        25  0.18594511950020E-05  0.94710483615490E-04  0.92184463511840E-04  0.93518759945000E-04  0.27171846600590E-05
        26  0.17499647412130E-05  0.90132655888770E-04  0.84178267490240E-04  0.85840011123780E-04  0.23110653396050E-05
        27  0.17046872601730E-05  0.88255819517950E-04  0.84006284942400E-04  0.84326501465180E-04  0.23788142404790E-05
        28  0.16498981515570E-05  0.81972854175600E-04  0.78981827962230E-04  0.80930250251280E-04  0.21991550907280E-05
        29  0.16069883061240E-05  0.80503177067310E-04  0.74658684670280E-04  0.76931211098160E-04  0.20204306114600E-05
        30  0.15643750779780E-05  0.74035381425350E-04  0.73420854008780E-04  0.73017654733250E-04  0.20532284959260E-05
        31  0.14744477221390E-05  0.69138359097940E-04  0.68308556579300E-04  0.69848570491590E-04  0.17840174083080E-05
        32  0.14535311429200E-05  0.67800100904560E-04  0.66901749157850E-04  0.65881485400180E-04  0.18392695375820E-05
        33  0.14280490856660E-05  0.64270412257900E-04  0.62607027303520E-04  0.62383305218710E-04  0.17137159037110E-05
        34  0.13450617403870E-05  0.62261709270450E-04  0.60522632903490E-04  0.60991094086570E-04  0.16235153140400E-05
        35  0.13340495853990E-05  0.58724587249870E-04  0.57839221018320E-04  0.58144794401960E-04  0.15057526365060E-05
