     kz              E+_uu           E+_vv           E+_ww           E+_pp
-------------------------------------------------------------------------------
  0.0000000e+00   2.6445006e-02   1.1969396e-02   3.1050907e-02   1.7507088e-01
  6.6666667e-01   7.6136621e-02   2.3692558e-02   7.1074385e-02   2.5449100e-01
  1.3333333e+00   9.5090844e-02   2.4800650e-02   7.8041656e-02   2.1794334e-01
  2.0000000e+00   1.9641484e-01   2.7425330e-02   8.5459270e-02   1.9723626e-01
  2.6666667e+00   2.0183530e-01   2.9486577e-02   7.8583428e-02   1.8244169e-01
  3.3333333e+00   1.6772039e-01   2.9230974e-02   7.4829122e-02   1.5497097e-01
  4.0000000e+00   2.5384703e-01   3.2796014e-02   6.6089191e-02   1.3508040e-01
  4.6666667e+00   1.9558148e-01   3.2161231e-02   5.8249818e-02   1.2573796e-01
  5.3333333e+00   1.6952691e-01   3.2615801e-02   5.2624748e-02   1.1304664e-01
  6.0000000e+00   1.1629303e-01   2.8977162e-02   4.7885822e-02   1.0243404e-01
  6.6666667e+00   1.0454404e-01   2.8603125e-02   4.2511666e-02   9.0805774e-02
  7.3333333e+00   8.0184078e-02   2.7604852e-02   3.8007067e-02   8.3066213e-02
  8.0000000e+00   7.3017887e-02   2.5224823e-02   3.5078546e-02   7.4860729e-02
  8.6666667e+00   5.8055027e-02   2.3116068e-02   3.0613860e-02   6.5533309e-02
  9.3333333e+00   5.6829053e-02   2.3066654e-02   2.8182097e-02   5.9407915e-02
  1.0000000e+01   4.6509867e-02   2.1512147e-02   2.5490242e-02   5.5684623e-02
  1.0666667e+01   4.1455888e-02   2.0285530e-02   2.3200841e-02   5.0431787e-02
  1.1333333e+01   3.6724079e-02   1.8478009e-02   2.1108672e-02   4.5546341e-02
  1.2000000e+01   3.4164388e-02   1.9386157e-02   1.9811744e-02   4.2721689e-02
  1.2666667e+01   2.8735850e-02   1.6977476e-02   1.8033371e-02   3.9221419e-02
  1.3333333e+01   2.7761048e-02   1.5984265e-02   1.6697104e-02   3.6177381e-02
  1.4000000e+01   2.4238536e-02   1.5277152e-02   1.5429356e-02   3.3748923e-02
  1.4666667e+01   2.2542770e-02   1.4353840e-02   1.4124635e-02   3.1095666e-02
  1.5333333e+01   2.0625780e-02   1.3940139e-02   1.3008566e-02   2.8755527e-02
  1.6000000e+01   1.9762776e-02   1.3500811e-02   1.2479907e-02   2.7070200e-02
  1.6666667e+01   1.7680386e-02   1.2467945e-02   1.1312767e-02   2.5547150e-02
