     kx              E+_uu           E+_vv           E+_ww           E+_pp
-------------------------------------------------------------------------------
  0.0000000e+00   4.9957370e-02   2.7827361e-03   2.3906735e-03   3.1997722e-03
  2.5000000e-01   1.1405501e-01   6.0924829e-03   7.5278689e-03   3.1645514e-02
  5.0000000e-01   4.9465695e-02   8.8863214e-03   9.2968719e-03   3.4969787e-02
  7.5000000e-01   3.9157135e-02   8.7192666e-03   7.7918668e-03   1.6066527e-02
  1.0000000e+00   3.0773533e-02   8.2443911e-03   1.0606579e-02   1.6821926e-02
  1.2500000e+00   3.6065764e-02   1.1392837e-02   1.1683239e-02   1.9073620e-02
  1.5000000e+00   2.5176534e-02   8.3968279e-03   1.0297398e-02   2.1383296e-02
  1.7500000e+00   2.3572607e-02   9.5490475e-03   9.4980141e-03   1.5155927e-02
  2.0000000e+00   2.5555991e-02   9.2754349e-03   9.4885026e-03   1.7630276e-02
  2.2500000e+00   2.0682535e-02   1.3621183e-02   8.6706738e-03   1.7261126e-02
  2.5000000e+00   1.6999132e-02   9.3780017e-03   9.7462426e-03   1.4447508e-02
  2.7500000e+00   1.5404691e-02   9.8042576e-03   7.0230610e-03   1.2389837e-02
  3.0000000e+00   1.5779779e-02   9.2925817e-03   8.0380781e-03   1.6862756e-02
  3.2500000e+00   1.2989782e-02   9.5841197e-03   8.5300083e-03   1.5580590e-02
  3.5000000e+00   1.3951223e-02   8.9954580e-03   9.1976008e-03   1.5987393e-02
  3.7500000e+00   1.1714153e-02   6.7899107e-03   7.4919710e-03   1.2682565e-02
  4.0000000e+00   1.1405882e-02   7.2395908e-03   8.0872971e-03   1.2563269e-02
  4.2500000e+00   9.5676982e-03   7.3374191e-03   7.3317792e-03   1.0551718e-02
  4.5000000e+00   8.7548691e-03   7.2804973e-03   6.9465459e-03   1.1842727e-02
  4.7500000e+00   8.8092525e-03   7.2986943e-03   5.5130534e-03   1.0105496e-02
  5.0000000e+00   7.5406034e-03   7.3416879e-03   5.7094408e-03   7.9475418e-03
  5.2500000e+00   7.8224025e-03   6.6372828e-03   5.9556577e-03   8.3240894e-03
  5.5000000e+00   7.0953154e-03   5.9194519e-03   5.3809090e-03   8.1934637e-03
  5.7500000e+00   6.2136476e-03   5.3661268e-03   5.5685394e-03   7.9591262e-03
  6.0000000e+00   6.5004827e-03   6.3704440e-03   5.6715040e-03   7.9587750e-03
  6.2500000e+00   6.4010576e-03   6.3135784e-03   5.2962839e-03   7.9065231e-03
  6.5000000e+00   5.6895971e-03   5.2245716e-03   4.7185046e-03   5.2177002e-03
  6.7500000e+00   4.7232267e-03   5.0663939e-03   4.4937471e-03   6.0794873e-03
  7.0000000e+00   5.2738382e-03   5.0685592e-03   4.4758132e-03   6.1437389e-03
  7.2500000e+00   5.1706510e-03   5.3792350e-03   4.8536449e-03   6.1861007e-03
  7.5000000e+00   4.6763885e-03   4.8147684e-03   4.7301058e-03   5.2246403e-03
  7.7500000e+00   4.7622759e-03   4.5020418e-03   4.1287084e-03   4.8897091e-03
  8.0000000e+00   4.1463204e-03   4.8510910e-03   4.4253922e-03   4.6643580e-03
  8.2500000e+00   3.7959336e-03   4.5416061e-03   3.6449336e-03   4.9850787e-03
  8.5000000e+00   3.6568530e-03   4.3289624e-03   4.0871818e-03   4.9143267e-03
  8.7500000e+00   3.7501195e-03   3.9487047e-03   4.0785685e-03   4.6844964e-03
  9.0000000e+00   3.3739497e-03   3.7928661e-03   3.2556179e-03   4.3449019e-03
  9.2500000e+00   3.3516091e-03   3.3202616e-03   3.5591822e-03   3.9792848e-03
  9.5000000e+00   3.4353515e-03   3.8911854e-03   3.5100688e-03   4.0816508e-03
  9.7500000e+00   3.1750150e-03   3.6021183e-03   3.1837076e-03   3.7404028e-03
  1.0000000e+01   2.7673325e-03   3.6859913e-03   3.3492371e-03   3.3978817e-03
  1.0250000e+01   2.8573797e-03   3.5613992e-03   3.0944783e-03   3.4420829e-03
  1.0500000e+01   2.6237593e-03   3.4285759e-03   2.9543140e-03   3.4450835e-03
  1.0750000e+01   2.4836649e-03   3.3857639e-03   3.1595008e-03   3.6094525e-03
  1.1000000e+01   2.5905992e-03   2.9952428e-03   2.8676773e-03   3.1977493e-03
  1.1250000e+01   2.5083094e-03   2.9525344e-03   2.6804110e-03   3.4338316e-03
  1.1500000e+01   2.2855777e-03   2.9888670e-03   2.7110528e-03   3.0264826e-03
  1.1750000e+01   2.3855405e-03   2.7390284e-03   2.7907351e-03   2.7197468e-03
  1.2000000e+01   2.1749246e-03   2.5728524e-03   2.7448253e-03   2.7714520e-03
  1.2250000e+01   2.1128993e-03   2.3328799e-03   2.6913191e-03   2.6766332e-03
  1.2500000e+01   2.0086392e-03   2.6187375e-03   2.3931695e-03   2.8721908e-03
  1.2750000e+01   1.8692784e-03   2.5264505e-03   2.2428668e-03   2.5842604e-03
  1.3000000e+01   1.8617659e-03   2.4696183e-03   2.3773740e-03   2.7828121e-03
  1.3250000e+01   1.8957395e-03   2.4407021e-03   2.2779511e-03   2.5347874e-03
  1.3500000e+01   1.7104207e-03   2.3069108e-03   2.3803059e-03   2.4817744e-03
  1.3750000e+01   1.6209663e-03   2.3673143e-03   2.1793268e-03   2.2891207e-03
  1.4000000e+01   1.6722170e-03   2.3479982e-03   2.1356036e-03   2.3282624e-03
  1.4250000e+01   1.5614459e-03   2.3839489e-03   2.0179970e-03   2.1740394e-03
