     kz              E+_uu           E+_vv           E+_ww           E+_pp
-------------------------------------------------------------------------------
  0.0000000e+00   3.0840285e-02   5.4735051e-03   2.5849749e-02   1.9624806e-01
  6.6666667e-01   6.2924669e-02   1.1118611e-02   6.0399569e-02   3.0441664e-01
  1.3333333e+00   8.2469845e-02   1.1163165e-02   6.6626487e-02   2.8664385e-01
  2.0000000e+00   1.2522056e-01   1.1382435e-02   7.1763583e-02   2.5813241e-01
  2.6666667e+00   1.4923450e-01   1.1973890e-02   7.5634155e-02   2.4443731e-01
  3.3333333e+00   1.2216323e-01   1.2159135e-02   6.8317384e-02   2.2975708e-01
  4.0000000e+00   2.1311900e-01   1.3251249e-02   7.1118124e-02   2.0580539e-01
  4.6666667e+00   1.8170333e-01   1.3902568e-02   6.8841486e-02   1.9060572e-01
  5.3333333e+00   1.6842058e-01   1.4679736e-02   6.4755160e-02   1.8682158e-01
  6.0000000e+00   1.0967922e-01   1.4169904e-02   5.5760545e-02   1.6951194e-01
  6.6666667e+00   1.4069406e-01   1.5546058e-02   5.5108412e-02   1.6320670e-01
  7.3333333e+00   1.2146821e-01   1.6095251e-02   5.2936971e-02   1.5492692e-01
  8.0000000e+00   9.5506813e-02   1.5712686e-02   4.8032663e-02   1.4438096e-01
  8.6666667e+00   9.6801187e-02   1.6048408e-02   4.5688445e-02   1.3762770e-01
  9.3333333e+00   1.2141675e-01   1.8083834e-02   4.5525664e-02   1.3285359e-01
  1.0000000e+01   8.7782519e-02   1.6719015e-02   4.0544269e-02   1.2447138e-01
  1.0666667e+01   8.8342987e-02   1.7222086e-02   3.9014581e-02   1.1785507e-01
  1.1333333e+01   8.1518132e-02   1.7496532e-02   3.7104132e-02   1.1288916e-01
  1.2000000e+01   7.5572939e-02   1.7350436e-02   3.5030528e-02   1.0902603e-01
  1.2666667e+01   7.4576287e-02   1.7706415e-02   3.3349311e-02   1.0618659e-01
  1.3333333e+01   6.6112078e-02   1.6702684e-02   3.1192778e-02   9.9283441e-02
  1.4000000e+01   6.5170883e-02   1.7142751e-02   3.0484892e-02   9.6805631e-02
  1.4666667e+01   6.0256761e-02   1.6842494e-02   2.8752568e-02   9.1527523e-02
  1.5333333e+01   5.5605248e-02   1.6827943e-02   2.7293040e-02   8.8128156e-02
  1.6000000e+01   5.2993731e-02   1.6628908e-02   2.5861938e-02   8.4576158e-02
  1.6666667e+01   5.1236570e-02   1.6666983e-02   2.4665689e-02   8.0618609e-02
  1.7333333e+01   4.8195570e-02   1.5998096e-02   2.3634230e-02   7.6648141e-02
  1.8000000e+01   4.6112042e-02   1.5986251e-02   2.2465583e-02   7.5187084e-02
  1.8666667e+01   4.3799082e-02   1.5859146e-02   2.1754311e-02   7.1607132e-02
  1.9333333e+01   4.0833430e-02   1.5665342e-02   2.0911301e-02   6.8674225e-02
  2.0000000e+01   4.0459365e-02   1.5457260e-02   2.0054332e-02   6.6042302e-02
  2.0666667e+01   3.7231508e-02   1.5057941e-02   1.9158393e-02   6.3384184e-02
  2.1333333e+01   3.6279905e-02   1.4954687e-02   1.8516548e-02   6.1725445e-02
  2.2000000e+01   3.3703400e-02   1.4702335e-02   1.7775368e-02   5.8792778e-02
  2.2666667e+01   3.2936800e-02   1.4568176e-02   1.7009283e-02   5.6451855e-02
  2.3333333e+01   3.0619014e-02   1.3863927e-02   1.6316960e-02   5.5285717e-02
  2.4000000e+01   2.9431915e-02   1.3647723e-02   1.5609252e-02   5.2975616e-02
  2.4666667e+01   2.8522139e-02   1.3466550e-02   1.5030575e-02   5.1052781e-02
  2.5333333e+01   2.7549897e-02   1.3274078e-02   1.4406069e-02   4.8623446e-02
