     kx              E+_uu           E+_vv           E+_ww           E+_pp
-------------------------------------------------------------------------------
  0.0000000e+00   2.5646791e-01   8.6401244e-03   1.3603240e-02   2.3980929e-02
  2.5000000e-01   4.5704385e-01   1.6950797e-02   3.7066387e-02   7.0548364e-02
  5.0000000e-01   3.0669869e-01   1.5617109e-02   3.7648664e-02   7.5967814e-02
  7.5000000e-01   2.1091829e-01   1.5365837e-02   3.4266129e-02   6.0747300e-02
  1.0000000e+00   1.6308422e-01   1.5480203e-02   2.9599110e-02   6.4279533e-02
  1.2500000e+00   1.3445529e-01   1.4273989e-02   3.1211213e-02   6.4434344e-02
  1.5000000e+00   1.0995880e-01   1.3216641e-02   3.0311166e-02   8.0123641e-02
  1.7500000e+00   9.7303834e-02   1.2943358e-02   2.9383945e-02   7.2585258e-02
  2.0000000e+00   9.1033607e-02   1.2851249e-02   2.4044546e-02   7.8933729e-02
  2.2500000e+00   8.1820595e-02   1.2374203e-02   2.6955044e-02   8.0830355e-02
  2.5000000e+00   7.2722650e-02   1.1654449e-02   2.4637776e-02   7.1422428e-02
  2.7500000e+00   6.9012052e-02   1.1121513e-02   2.4755267e-02   8.2436984e-02
  3.0000000e+00   6.2323415e-02   1.1431765e-02   2.5022672e-02   8.3116415e-02
  3.2500000e+00   5.9082456e-02   1.1075024e-02   2.2455754e-02   7.9631823e-02
  3.5000000e+00   5.5124533e-02   1.0796409e-02   2.5340844e-02   8.1103485e-02
  3.7500000e+00   5.1501575e-02   1.0351516e-02   2.2200515e-02   7.2627741e-02
  4.0000000e+00   4.8038541e-02   1.0302005e-02   2.2282470e-02   7.0388004e-02
  4.2500000e+00   4.3456417e-02   9.7967208e-03   2.0869016e-02   7.1043166e-02
  4.5000000e+00   4.3400974e-02   9.9017712e-03   2.1480257e-02   7.3896970e-02
  4.7500000e+00   4.0978977e-02   9.7397354e-03   2.0095770e-02   7.1005952e-02
  5.0000000e+00   4.0289807e-02   9.7288749e-03   1.9617260e-02   6.8913006e-02
  5.2500000e+00   3.6559564e-02   9.5917470e-03   1.9428633e-02   6.6048362e-02
  5.5000000e+00   3.5018917e-02   9.4029850e-03   1.9115666e-02   7.1335549e-02
  5.7500000e+00   3.3568145e-02   9.4331362e-03   1.8481058e-02   6.8397560e-02
  6.0000000e+00   3.3243605e-02   9.4244625e-03   1.8553795e-02   6.7386102e-02
  6.2500000e+00   3.1123470e-02   9.1470137e-03   1.7903881e-02   6.2399602e-02
  6.5000000e+00   3.0345205e-02   8.8867480e-03   1.7397350e-02   6.1531493e-02
  6.7500000e+00   2.8124020e-02   8.8306551e-03   1.7222193e-02   6.2787048e-02
  7.0000000e+00   2.7493293e-02   8.8551835e-03   1.6749478e-02   6.0766624e-02
  7.2500000e+00   2.6959983e-02   8.8531031e-03   1.6496831e-02   6.0323532e-02
  7.5000000e+00   2.5565393e-02   8.6677140e-03   1.6690751e-02   5.8299923e-02
  7.7500000e+00   2.4197553e-02   8.4768544e-03   1.5566910e-02   5.8033666e-02
  8.0000000e+00   2.3535411e-02   8.2618253e-03   1.5524749e-02   5.7736256e-02
  8.2500000e+00   2.2578256e-02   8.2449682e-03   1.5688069e-02   5.5341160e-02
  8.5000000e+00   2.1789308e-02   8.1080913e-03   1.5162664e-02   5.6978728e-02
  8.7500000e+00   2.1502462e-02   8.0297401e-03   1.4763047e-02   5.3567722e-02
  9.0000000e+00   2.0191887e-02   7.8247175e-03   1.3963325e-02   5.1908379e-02
  9.2500000e+00   1.9433313e-02   7.8455568e-03   1.3790377e-02   5.2362849e-02
  9.5000000e+00   1.9105038e-02   7.7924443e-03   1.3632226e-02   5.0802627e-02
  9.7500000e+00   1.8248619e-02   7.7927315e-03   1.3354235e-02   4.9807427e-02
  1.0000000e+01   1.7595209e-02   7.6320741e-03   1.3431509e-02   4.8455921e-02
  1.0250000e+01   1.7627299e-02   7.6418076e-03   1.3193975e-02   4.7537065e-02
  1.0500000e+01   1.6736474e-02   7.4998486e-03   1.2724992e-02   4.8144244e-02
  1.0750000e+01   1.6159519e-02   7.3042004e-03   1.2717940e-02   4.7311032e-02
  1.1000000e+01   1.5736286e-02   7.1239214e-03   1.1697505e-02   4.6956610e-02
  1.1250000e+01   1.5408272e-02   7.1870157e-03   1.2433607e-02   4.5459943e-02
  1.1500000e+01   1.4770084e-02   7.1247660e-03   1.2146022e-02   4.4489446e-02
  1.1750000e+01   1.4650289e-02   6.9925411e-03   1.1558207e-02   4.4442153e-02
  1.2000000e+01   1.3964575e-02   7.0440578e-03   1.1642119e-02   4.2689301e-02
  1.2250000e+01   1.3213748e-02   6.7668922e-03   1.0992424e-02   4.1552351e-02
  1.2500000e+01   1.3267831e-02   6.7839043e-03   1.1128736e-02   4.1581004e-02
  1.2750000e+01   1.2870388e-02   6.6301137e-03   1.0947793e-02   4.0578593e-02
  1.3000000e+01   1.2738460e-02   6.5656930e-03   1.1087537e-02   4.0900715e-02
  1.3250000e+01   1.2290579e-02   6.5982601e-03   1.0835703e-02   3.9430865e-02
  1.3500000e+01   1.1951031e-02   6.5916890e-03   1.0470213e-02   3.9120987e-02
  1.3750000e+01   1.1716717e-02   6.5280589e-03   1.0217655e-02   4.0128703e-02
  1.4000000e+01   1.1242245e-02   6.2875087e-03   1.0001971e-02   3.7827262e-02
  1.4250000e+01   1.1156380e-02   6.3220174e-03   9.9637584e-03   3.8589071e-02
  1.4500000e+01   1.0717319e-02   6.1283491e-03   9.6670774e-03   3.6671022e-02
  1.4750000e+01   1.0770004e-02   6.1572406e-03   9.7351803e-03   3.6110340e-02
  1.5000000e+01   1.0453293e-02   6.1040417e-03   9.5101200e-03   3.6571307e-02
  1.5250000e+01   1.0105316e-02   6.1326863e-03   9.5565148e-03   3.6024486e-02
  1.5500000e+01   9.7787469e-03   5.9668050e-03   9.1496692e-03   3.4536544e-02
  1.5750000e+01   9.6788335e-03   5.8800347e-03   9.0408341e-03   3.5640361e-02
  1.6000000e+01   9.2551915e-03   5.8523501e-03   8.8136062e-03   3.4080739e-02
  1.6250000e+01   9.0903708e-03   5.7866802e-03   9.0091630e-03   3.4193370e-02
  1.6500000e+01   9.0592691e-03   5.7002431e-03   8.7651684e-03   3.4288479e-02
  1.6750000e+01   8.9260442e-03   5.6709902e-03   8.5959273e-03   3.2536078e-02
  1.7000000e+01   8.5544238e-03   5.5542374e-03   8.3822018e-03   3.2651743e-02
  1.7250000e+01   8.4121469e-03   5.5747131e-03   8.4786967e-03   3.1464076e-02
  1.7500000e+01   8.1490489e-03   5.4218462e-03   8.0466906e-03   3.1512626e-02
  1.7750000e+01   8.0051646e-03   5.4873089e-03   8.1062781e-03   3.1390620e-02
  1.8000000e+01   7.8307284e-03   5.2924572e-03   8.0405327e-03   3.0651659e-02
  1.8250000e+01   7.8259863e-03   5.3226339e-03   8.0566034e-03   3.0363915e-02
  1.8500000e+01   7.4318501e-03   5.2133538e-03   7.5269779e-03   2.9362410e-02
  1.8750000e+01   7.4258767e-03   5.1504145e-03   7.7077298e-03   3.0128164e-02
  1.9000000e+01   7.3011336e-03   5.1424152e-03   7.5891696e-03   2.9468436e-02
  1.9250000e+01   7.0914338e-03   5.0231006e-03   7.4640647e-03   2.8160470e-02
  1.9500000e+01   6.8213010e-03   4.8953768e-03   7.2214500e-03   2.8423002e-02
  1.9750000e+01   6.7303872e-03   4.9964124e-03   7.3097843e-03   2.8149347e-02
  2.0000000e+01   6.6972107e-03   4.9112406e-03   7.1391968e-03   2.7938587e-02
  2.0250000e+01   6.5255588e-03   4.7732824e-03   7.1349747e-03   2.7465407e-02
  2.0500000e+01   6.4083088e-03   4.7859619e-03   7.0398414e-03   2.6536692e-02
  2.0750000e+01   6.3234751e-03   4.8008491e-03   6.9627828e-03   2.6342601e-02
  2.1000000e+01   6.1616977e-03   4.6471502e-03   6.7623908e-03   2.6367653e-02
  2.1250000e+01   5.9854647e-03   4.7035595e-03   6.8153636e-03   2.5947201e-02
  2.1500000e+01   5.9202721e-03   4.6938249e-03   6.7275274e-03   2.5847391e-02
  2.1750000e+01   5.7982275e-03   4.5548720e-03   6.5021321e-03   2.4841938e-02
  2.2000000e+01   5.7203627e-03   4.5616188e-03   6.5983187e-03   2.4737335e-02
  2.2250000e+01   5.6534629e-03   4.5072175e-03   6.3319880e-03   2.4271208e-02
  2.2500000e+01   5.5156440e-03   4.4489562e-03   6.2735554e-03   2.4380477e-02
  2.2750000e+01   5.3802558e-03   4.4118682e-03   6.1854226e-03   2.3677290e-02
  2.3000000e+01   5.2561342e-03   4.4102499e-03   6.0502636e-03   2.3905073e-02
  2.3250000e+01   5.1256308e-03   4.2662474e-03   5.9674900e-03   2.3493407e-02
  2.3500000e+01   5.0591436e-03   4.2053714e-03   6.1035876e-03   2.2991882e-02
  2.3750000e+01   4.9962161e-03   4.2888291e-03   5.8914806e-03   2.3216678e-02
  2.4000000e+01   4.9285040e-03   4.1317409e-03   5.8530804e-03   2.2203029e-02
  2.4250000e+01   4.8100290e-03   4.1005868e-03   5.6475979e-03   2.2549386e-02
  2.4500000e+01   4.6517983e-03   4.0865403e-03   5.6959656e-03   2.2139119e-02
  2.4750000e+01   4.6322434e-03   4.0293124e-03   5.6750393e-03   2.1594716e-02
  2.5000000e+01   4.5515245e-03   3.9846070e-03   5.4266017e-03   2.1286693e-02
  2.5250000e+01   4.4924331e-03   3.8647536e-03   5.4041787e-03   2.1206634e-02
  2.5500000e+01   4.3946151e-03   3.8978169e-03   5.4092878e-03   2.0929304e-02
  2.5750000e+01   4.3628506e-03   3.8484052e-03   5.3786249e-03   2.0817267e-02
  2.6000000e+01   4.2447039e-03   3.8132050e-03   5.2599623e-03   2.0467647e-02
  2.6250000e+01   4.1350853e-03   3.7906929e-03   5.1924932e-03   2.0380125e-02
  2.6500000e+01   4.0755274e-03   3.7378539e-03   5.0983989e-03   2.0289795e-02
  2.6750000e+01   4.0434129e-03   3.6708203e-03   5.0726865e-03   1.9785892e-02
  2.7000000e+01   3.9296186e-03   3.6470466e-03   5.0175304e-03   1.9551769e-02
  2.7250000e+01   3.8585479e-03   3.6406469e-03   4.9537645e-03   1.9289893e-02
  2.7500000e+01   3.8300604e-03   3.5357419e-03   4.9090851e-03   1.9096762e-02
  2.7750000e+01   3.7301259e-03   3.5396725e-03   4.8400910e-03   1.8624624e-02
  2.8000000e+01   3.6742848e-03   3.4790138e-03   4.7264671e-03   1.8432000e-02
  2.8250000e+01   3.6280988e-03   3.4542318e-03   4.7579007e-03   1.8308566e-02
  2.8500000e+01   3.5975199e-03   3.4264907e-03   4.6414714e-03   1.8345837e-02
  2.8750000e+01   3.4924790e-03   3.4009038e-03   4.6347017e-03   1.8018336e-02
  2.9000000e+01   3.4819732e-03   3.3704069e-03   4.5786964e-03   1.7523419e-02
  2.9250000e+01   3.3788436e-03   3.2971390e-03   4.4737459e-03   1.7365682e-02
  2.9500000e+01   3.2985963e-03   3.3140680e-03   4.4240269e-03   1.7226387e-02
  2.9750000e+01   3.2902753e-03   3.2341171e-03   4.4048514e-03   1.7203651e-02
  3.0000000e+01   3.2440651e-03   3.2169289e-03   4.3659604e-03   1.6748320e-02
  3.0250000e+01   3.1447385e-03   3.1908750e-03   4.2291411e-03   1.6594818e-02
  3.0500000e+01   3.1177991e-03   3.1742573e-03   4.2432127e-03   1.6360729e-02
  3.0750000e+01   3.0985294e-03   3.1189163e-03   4.1868202e-03   1.6145998e-02
  3.1000000e+01   3.0266894e-03   3.0969371e-03   4.0707369e-03   1.6083448e-02
  3.1250000e+01   2.9823471e-03   3.0667462e-03   4.0592631e-03   1.5806376e-02
  3.1500000e+01   2.9543964e-03   3.0574043e-03   4.0581126e-03   1.5787330e-02
  3.1750000e+01   2.9319453e-03   2.9815804e-03   4.0529606e-03   1.5580969e-02
  3.2000000e+01   2.8334277e-03   2.9797396e-03   3.9163692e-03   1.5181357e-02
