     kz              E+_uu           E+_vv           E+_ww           E+_pp
-------------------------------------------------------------------------------
  0.0000000e+00   2.7366095e-02   1.4018626e-02   1.5741321e-02   9.4104479e-02
  6.6666667e-01   4.9313360e-02   2.6441652e-02   3.0634740e-02   7.6998212e-02
  1.3333333e+00   5.0682471e-02   3.0051116e-02   2.8227549e-02   6.0202761e-02
  2.0000000e+00   1.0375299e-01   2.6343473e-02   3.2702459e-02   4.5663765e-02
  2.6666667e+00   5.3317784e-02   2.6459117e-02   2.9456674e-02   3.7232848e-02
  3.3333333e+00   5.3823028e-02   2.3308601e-02   2.8824098e-02   3.2479804e-02
  4.0000000e+00   3.7117112e-02   2.0504607e-02   2.3955400e-02   2.5152922e-02
  4.6666667e+00   3.6682096e-02   2.0362538e-02   2.1609974e-02   2.1543231e-02
  5.3333333e+00   3.3749078e-02   1.5668918e-02   1.8458953e-02   1.7265373e-02
  6.0000000e+00   2.5560850e-02   1.3438523e-02   1.5124934e-02   1.4347355e-02
  6.6666667e+00   2.3306466e-02   1.2891122e-02   1.3502688e-02   1.3040294e-02
  7.3333333e+00   2.0994556e-02   1.1696782e-02   1.1765681e-02   1.1425657e-02
  8.0000000e+00   1.8262362e-02   1.0599023e-02   1.0649226e-02   9.8180099e-03
  8.6666667e+00   1.4315263e-02   9.8616928e-03   9.0933628e-03   9.1057775e-03
  9.3333333e+00   1.3693213e-02   9.6510621e-03   8.8964238e-03   7.7744613e-03
  1.0000000e+01   1.2694073e-02   8.2683842e-03   7.9079198e-03   7.1831706e-03
  1.0666667e+01   1.1320095e-02   8.0620763e-03   6.8603384e-03   6.3803517e-03
  1.1333333e+01   9.9757079e-03   7.3874845e-03   6.2394667e-03   5.9858420e-03
  1.2000000e+01   8.7222096e-03   6.7553310e-03   5.6144481e-03   5.5021587e-03
  1.2666667e+01   8.2105374e-03   6.1132758e-03   5.2754094e-03   5.1110777e-03
  1.3333333e+01   7.4098684e-03   6.0075605e-03   5.0594011e-03   4.6175399e-03
  1.4000000e+01   7.0274492e-03   5.4155559e-03   4.4200269e-03   4.2523104e-03
  1.4666667e+01   6.6310183e-03   5.2939356e-03   4.0723023e-03   3.9142661e-03
  1.5333333e+01   5.8684910e-03   4.8609932e-03   3.8223088e-03   3.6589409e-03
  1.6000000e+01   5.2959357e-03   4.4951952e-03   3.5223431e-03   3.3973958e-03
  1.6666667e+01   4.9535996e-03   4.2846334e-03   3.2930240e-03   3.2723621e-03
  1.7333333e+01   4.8260903e-03   4.1067964e-03   2.9871062e-03   2.9572923e-03
  1.8000000e+01   4.3630314e-03   4.0089114e-03   2.7352596e-03   2.7238648e-03
  1.8666667e+01   4.3244868e-03   3.8173106e-03   2.5752225e-03   2.6345332e-03
  1.9333333e+01   4.1119488e-03   3.3750296e-03   2.3745191e-03   2.4673826e-03
  2.0000000e+01   3.6928483e-03   3.3430510e-03   2.2211428e-03   2.2785849e-03
  2.0666667e+01   3.5695823e-03   3.1867767e-03   2.0693500e-03   2.0709662e-03
  2.1333333e+01   3.2636909e-03   2.9926941e-03   1.9281988e-03   2.0332025e-03
  2.2000000e+01   3.0992497e-03   2.8278642e-03   1.8054936e-03   1.8958887e-03
  2.2666667e+01   2.8266632e-03   2.6999339e-03   1.6280300e-03   1.7599222e-03
  2.3333333e+01   2.7269039e-03   2.4555279e-03   1.5622888e-03   1.6946097e-03
  2.4000000e+01   2.6124637e-03   2.3844091e-03   1.4742170e-03   1.6049280e-03
  2.4666667e+01   2.5065121e-03   2.2719025e-03   1.3828433e-03   1.4649350e-03
  2.5333333e+01   2.2674311e-03   2.1080683e-03   1.2778007e-03   1.3788125e-03
  2.6000000e+01   2.1960312e-03   2.0525066e-03   1.2290527e-03   1.2923101e-03
  2.6666667e+01   2.0004706e-03   1.9856350e-03   1.1278177e-03   1.2161854e-03
  2.7333333e+01   1.8986077e-03   1.8749736e-03   1.0734742e-03   1.1463770e-03
