     kz              E+_uu           E+_vv           E+_ww           E+_pp
-------------------------------------------------------------------------------
  0.0000000e+00   2.0988358e-02   8.3999282e-05   4.8333442e-03   1.8690887e-01
  6.6666667e-01   4.1384257e-02   1.6848214e-04   1.1774710e-02   2.7433803e-01
  1.3333333e+00   5.7292880e-02   1.6924386e-04   1.2920277e-02   2.4883441e-01
  2.0000000e+00   8.0344876e-02   1.6913490e-04   1.4326204e-02   2.1764348e-01
  2.6666667e+00   9.0497354e-02   1.7085307e-04   1.6720559e-02   2.0336293e-01
  3.3333333e+00   7.5181453e-02   1.7145943e-04   1.5353562e-02   1.9083200e-01
  4.0000000e+00   1.1822699e-01   1.7292320e-04   1.7996624e-02   1.6953046e-01
  4.6666667e+00   1.0193574e-01   1.7469885e-04   1.8546855e-02   1.5614143e-01
  5.3333333e+00   9.4773286e-02   1.7620662e-04   1.6613676e-02   1.5229245e-01
  6.0000000e+00   6.3531881e-02   1.7777775e-04   1.5199905e-02   1.3898019e-01
  6.6666667e+00   8.7523385e-02   1.8120943e-04   1.6890039e-02   1.3228535e-01
  7.3333333e+00   7.3313712e-02   1.8209305e-04   1.6181407e-02   1.2530824e-01
  8.0000000e+00   6.0480569e-02   1.8349561e-04   1.4390119e-02   1.1706875e-01
  8.6666667e+00   6.0464480e-02   1.8678806e-04   1.4906800e-02   1.1186361e-01
  9.3333333e+00   7.2920866e-02   1.9113758e-04   1.5614900e-02   1.0842886e-01
  1.0000000e+01   5.8906477e-02   1.9232559e-04   1.4402061e-02   1.0221657e-01
  1.0666667e+01   6.1074433e-02   1.9611004e-04   1.4430032e-02   9.8169338e-02
  1.1333333e+01   5.7708807e-02   1.9926074e-04   1.4112174e-02   9.5473787e-02
  1.2000000e+01   5.5887001e-02   2.0196233e-04   1.4088111e-02   9.2061468e-02
  1.2666667e+01   5.4700087e-02   2.0634247e-04   1.3779774e-02   9.0045698e-02
  1.3333333e+01   5.3653634e-02   2.0786967e-04   1.3092980e-02   8.5803745e-02
  1.4000000e+01   5.5028368e-02   2.1254376e-04   1.3256072e-02   8.3680518e-02
  1.4666667e+01   5.5783017e-02   2.1609380e-04   1.3355249e-02   8.1018524e-02
  1.5333333e+01   5.1999293e-02   2.2120793e-04   1.3047545e-02   7.9358464e-02
  1.6000000e+01   5.2921343e-02   2.2534887e-04   1.2746108e-02   7.6687938e-02
  1.6666667e+01   5.5132079e-02   2.3212188e-04   1.3126312e-02   7.4270520e-02
  1.7333333e+01   5.4663859e-02   2.3370800e-04   1.2651756e-02   7.2016287e-02
  1.8000000e+01   5.2244685e-02   2.3712389e-04   1.2519832e-02   7.1441160e-02
  1.8666667e+01   5.2841658e-02   2.4360690e-04   1.2386497e-02   6.8361687e-02
  1.9333333e+01   5.4791821e-02   2.5019889e-04   1.2423822e-02   6.6803971e-02
  2.0000000e+01   5.3181655e-02   2.5496605e-04   1.2262611e-02   6.5701333e-02
  2.0666667e+01   5.3736543e-02   2.6288902e-04   1.2173123e-02   6.4290182e-02
  2.1333333e+01   5.3547890e-02   2.6782523e-04   1.2025967e-02   6.3605022e-02
  2.2000000e+01   5.3503404e-02   2.7393076e-04   1.1937293e-02   6.1542248e-02
  2.2666667e+01   5.3945387e-02   2.7821814e-04   1.1881806e-02   6.0394736e-02
  2.3333333e+01   5.2452821e-02   2.8140608e-04   1.1538227e-02   5.8459926e-02
  2.4000000e+01   5.5287298e-02   2.8912108e-04   1.1597912e-02   5.7616079e-02
  2.4666667e+01   5.4947092e-02   2.9419212e-04   1.1393560e-02   5.5744370e-02
  2.5333333e+01   5.3393686e-02   3.0245781e-04   1.1346853e-02   5.5154045e-02
  2.6000000e+01   5.2656713e-02   3.1032461e-04   1.1194334e-02   5.3468278e-02
  2.6666667e+01   5.4183565e-02   3.1765292e-04   1.1204698e-02   5.3496527e-02
  2.7333333e+01   5.2577353e-02   3.2507620e-04   1.0982414e-02   5.2208509e-02
  2.8000000e+01   5.5599501e-02   3.3850604e-04   1.1279291e-02   5.1336184e-02
  2.8666667e+01   5.3589047e-02   3.3783036e-04   1.0857320e-02   4.9888689e-02
  2.9333333e+01   5.3922403e-02   3.4724516e-04   1.0814248e-02   4.8995767e-02
  3.0000000e+01   5.4795846e-02   3.5767254e-04   1.0841310e-02   4.8040447e-02
  3.0666667e+01   5.5378835e-02   3.6547246e-04   1.0708869e-02   4.7614694e-02
  3.1333333e+01   5.4208595e-02   3.7303061e-04   1.0532048e-02   4.6355813e-02
  3.2000000e+01   5.4236573e-02   3.7495710e-04   1.0309753e-02   4.5321311e-02
  3.2666667e+01   5.5522545e-02   3.9106785e-04   1.0316606e-02   4.4876063e-02
  3.3333333e+01   5.4751076e-02   3.9779706e-04   1.0254022e-02   4.3688029e-02
  3.4000000e+01   5.4001545e-02   4.0281797e-04   1.0130310e-02   4.3253481e-02
  3.4666667e+01   5.4453263e-02   4.1207767e-04   1.0047958e-02   4.2150520e-02
  3.5333333e+01   5.4851911e-02   4.2414108e-04   9.9569383e-03   4.1683583e-02
  3.6000000e+01   5.5783104e-02   4.3396745e-04   9.9860115e-03   4.0738847e-02
  3.6666667e+01   5.4230569e-02   4.3564378e-04   9.6216525e-03   4.0045052e-02
  3.7333333e+01   5.2927073e-02   4.4381742e-04   9.5972120e-03   3.9478230e-02
  3.8000000e+01   5.4049949e-02   4.5250183e-04   9.4787214e-03   3.8690700e-02
  3.8666667e+01   5.4328160e-02   4.7139291e-04   9.5758653e-03   3.8193985e-02
  3.9333333e+01   5.4439452e-02   4.7320779e-04   9.3231959e-03   3.7176952e-02
  4.0000000e+01   5.3068090e-02   4.8775717e-04   9.2924916e-03   3.7022214e-02
  4.0666667e+01   5.5249322e-02   4.9888888e-04   9.2408882e-03   3.5986941e-02
  4.1333333e+01   5.3449867e-02   5.0440403e-04   9.0487268e-03   3.5261089e-02
  4.2000000e+01   5.2816752e-02   5.0657726e-04   8.9077838e-03   3.4644452e-02
  4.2666667e+01   5.2425526e-02   5.1625463e-04   8.7802255e-03   3.4070468e-02
  4.3333333e+01   4.9296282e-02   5.1658934e-04   8.4711512e-03   3.3482519e-02
  4.4000000e+01   5.1730679e-02   5.3033737e-04   8.4910901e-03   3.2449633e-02
  4.4666667e+01   4.9575521e-02   5.3013918e-04   8.2522256e-03   3.2263285e-02
  4.5333333e+01   5.0930755e-02   5.4489190e-04   8.3124769e-03   3.1584075e-02
  4.6000000e+01   5.0253205e-02   5.5740686e-04   8.2703742e-03   3.1134420e-02
  4.6666667e+01   4.9730138e-02   5.5954379e-04   8.0371772e-03   3.0621404e-02
  4.7333333e+01   4.9331944e-02   5.6706336e-04   7.9096981e-03   2.9890991e-02
  4.8000000e+01   4.9389959e-02   5.8587390e-04   7.9042329e-03   2.9455466e-02
  4.8666667e+01   4.8997674e-02   5.9375624e-04   7.7932162e-03   2.8957855e-02
  4.9333333e+01   4.8659230e-02   5.9546330e-04   7.6734291e-03   2.8201770e-02
  5.0000000e+01   4.8059593e-02   6.0780865e-04   7.6025238e-03   2.8229458e-02
  5.0666667e+01   4.7970971e-02   6.1767135e-04   7.4710431e-03   2.7517734e-02
