     y+              U+              uv+             uu+             vv+             ww+           tau_uv/tau_w    tau_nu/tau_w     tau/tau_w        P+              pp+             up+
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  8.7453694e+00	  7.6835052e+00	 -3.5135801e-01	  6.6553893e+00	  1.0394916e-01	  1.1333371e+00	  3.5135801e-01	  6.3981683e-01	  9.9117484e-01	 -1.0394915e-01	  7.1433407e+00	  2.5490916e-01
  9.5789844e+00	  8.1950126e+00	 -4.0247455e-01	  7.0881924e+00	  1.2755679e-01	  1.2189169e+00	  4.0247455e-01	  5.8785722e-01	  9.9033177e-01	 -1.2755679e-01	  7.2714751e+00	  2.6540405e-01
  1.0450155e+01	  8.6846804e+00	 -4.5252536e-01	  7.4398693e+00	  1.5395528e-01	  1.3019856e+00	  4.5252536e-01	  5.3692653e-01	  9.8945190e-01	 -1.5395528e-01	  7.4065666e+00	  2.8202859e-01
  1.1358849e+01	  9.1500088e+00	 -5.0055856e-01	  7.7103911e+00	  1.8304496e-01	  1.3821207e+00	  5.0055856e-01	  4.8797712e-01	  9.8853568e-01	 -1.8304496e-01	  7.5466162e+00	  3.0469480e-01
  1.2305032e+01	  9.5894633e+00	 -5.4585892e-01	  7.9034556e+00	  2.1466554e-01	  1.4589005e+00	  5.4585892e-01	  4.4172464e-01	  9.8758356e-01	 -2.1466554e-01	  7.6894201e+00	  3.3289135e-01
  1.3288667e+01	  1.0002365e+01	 -5.8794771e-01	  8.0253455e+00	  2.4860043e-01	  1.5319238e+00	  5.8794771e-01	  3.9864819e-01	  9.8659590e-01	 -2.4860043e-01	  7.8326631e+00	  3.6580027e-01
  1.4309718e+01	  1.0388748e+01	 -6.2655964e-01	  8.0838858e+00	  2.8458395e-01	  1.6008344e+00	  6.2655964e-01	  3.5901331e-01	  9.8557296e-01	 -2.8458395e-01	  7.9740205e+00	  4.0241931e-01
  1.5368145e+01	  1.0749206e+01	 -6.6160690e-01	  8.0875943e+00	  3.2231089e-01	  1.6653430e+00	  6.6160690e-01	  3.2290798e-01	  9.8451488e-01	 -3.2231088e-01	  8.1112576e+00	  4.4167046e-01
  1.6463908e+01	  1.1084749e+01	 -6.9313847e-01	  8.0450522e+00	  3.6144761e-01	  1.7252431e+00	  6.9313847e-01	  2.9028316e-01	  9.8342164e-01	 -3.6144760e-01	  8.2423130e+00	  4.8248640e-01
  1.7596967e+01	  1.1396666e+01	 -7.2130087e-01	  7.9644792e+00	  4.0164383e-01	  1.7804207e+00	  7.2130087e-01	  2.6099220e-01	  9.8229307e-01	 -4.0164381e-01	  8.3653612e+00	  5.2387374e-01
  1.8767277e+01	  1.1686421e+01	 -7.4630404e-01	  7.8534732e+00	  4.4254399e-01	  1.8308569e+00	  7.4630404e-01	  2.3482484e-01	  9.8112888e-01	 -4.4254397e-01	  8.4788536e+00	  5.6495317e-01
  1.9974796e+01	  1.1955566e+01	 -7.6839409e-01	  7.7188680e+00	  4.8379760e-01	  1.8766239e+00	  7.6839409e-01	  2.1153462e-01	  9.7992872e-01	 -4.8379757e-01	  8.5815391e+00	  6.0497966e-01
  2.1219475e+01	  1.2205671e+01	 -7.8783246e-01	  7.5666733e+00	  5.2506799e-01	  1.9178705e+00	  7.8783246e-01	  1.9085969e-01	  9.7869215e-01	 -5.2506796e-01	  8.6724705e+00	  6.4334811e-01
  2.2501270e+01	  1.2438277e+01	 -8.0488037e-01	  7.4020707e+00	  5.6603969e-01	  1.9548002e+00	  8.0488037e-01	  1.7253840e-01	  9.7741877e-01	 -5.6603965e-01	  8.7509981e+00	  6.7958644e-01
  2.3820130e+01	  1.2654868e+01	 -8.1978803e-01	  7.2294453e+00	  6.0642415e-01	  1.9876455e+00	  8.1978803e-01	  1.5632015e-01	  9.7610818e-01	 -6.0642411e-01	  8.8167521e+00	  7.1333831e-01
  2.5176006e+01	  1.2856849e+01	 -8.3278821e-01	  7.0524391e+00	  6.4596372e-01	  2.0166449e+00	  8.3278821e-01	  1.4197177e-01	  9.7475998e-01	 -6.4596366e-01	  8.8696129e+00	  7.4434219e-01
  2.6568847e+01	  1.3045535e+01	 -8.4409312e-01	  6.8740272e+00	  6.8443355e-01	  2.0420301e+00	  8.4409312e-01	  1.2928059e-01	  9.7337371e-01	 -6.8443348e-01	  8.9096728e+00	  7.7241219e-01
  2.7998599e+01	  1.3222150e+01	 -8.5389408e-01	  6.6966120e+00	  7.2164206e-01	  2.0640214e+00	  8.5389408e-01	  1.1805477e-01	  9.7194886e-01	 -7.2164197e-01	  8.9371983e+00	  7.9742670e-01
  2.9465208e+01	  1.3387828e+01	 -8.6236287e-01	  6.5221111e+00	  7.5743052e-01	  2.0828227e+00	  8.6236287e-01	  1.0812193e-01	  9.7048480e-01	 -7.5743041e-01	  8.9525986e+00	  8.1932884e-01
  3.0968620e+01	  1.3543609e+01	 -8.6965267e-01	  6.3520250e+00	  7.9167233e-01	  2.0986238e+00	  8.6965267e-01	  9.9328223e-02	  9.6898090e-01	 -7.9167220e-01	  8.9563895e+00	  8.3812206e-01
  3.2508776e+01	  1.3690446e+01	 -8.7589934e-01	  6.1874974e+00	  8.2427177e-01	  2.1116100e+00	  8.7589934e-01	  9.1537148e-02	  9.6743649e-01	 -8.2427162e-01	  8.9491540e+00	  8.5385511e-01
  3.4085618e+01	  1.3829208e+01	 -8.8122347e-01	  6.0293710e+00	  8.5516227e-01	  2.1219694e+00	  8.8122347e-01	  8.4627567e-02	  9.6585103e-01	 -8.5516208e-01	  8.9315175e+00	  8.6661034e-01
