     kx              E+_uu           E+_vv           E+_ww           E+_pp
  1.7000000e+01   1.9698712e-02   3.5237385e-03   9.2389697e-03   4.4282029e-02
  1.7250000e+01   1.9199790e-02   3.4833324e-03   9.1801093e-03   4.3372819e-02
  1.7500000e+01   1.9080126e-02   3.4443535e-03   9.0980690e-03   4.3586195e-02
  1.7750000e+01   1.8578687e-02   3.4256727e-03   9.0391007e-03   4.3647927e-02
  1.8000000e+01   1.8262433e-02   3.3846108e-03   8.9623945e-03   4.2512365e-02
  1.8250000e+01   1.7738649e-02   3.3378708e-03   8.8829761e-03   4.2114709e-02
  1.8500000e+01   1.7321384e-02   3.2701303e-03   8.6037645e-03   4.1695988e-02
  1.8750000e+01   1.7223900e-02   3.2491497e-03   8.5368992e-03   4.1730581e-02
  1.9000000e+01   1.6733529e-02   3.2237175e-03   8.4744148e-03   4.1037415e-02
  1.9250000e+01   1.6364501e-02   3.1555003e-03   8.3006541e-03   3.9911287e-02
  1.9500000e+01   1.6083250e-02   3.1573099e-03   8.2504630e-03   4.0077544e-02
  1.9750000e+01   1.5810025e-02   3.1154273e-03   8.1227069e-03   3.9760804e-02
  2.0000000e+01   1.5430585e-02   3.0738863e-03   8.0562533e-03   3.9196758e-02
  2.0250000e+01   1.5204201e-02   3.0475349e-03   7.8592746e-03   3.8899712e-02
  2.0500000e+01   1.4963311e-02   3.0142059e-03   7.8493266e-03   3.8452152e-02
  2.0750000e+01   1.4650157e-02   3.0061722e-03   7.6783786e-03   3.8071857e-02
  2.1000000e+01   1.4420654e-02   2.9680202e-03   7.5846710e-03   3.7777212e-02
  2.1250000e+01   1.4137502e-02   2.9330057e-03   7.5137751e-03   3.7622020e-02
  2.1500000e+01   1.3775452e-02   2.8745903e-03   7.4605719e-03   3.7098393e-02
  2.1750000e+01   1.3451380e-02   2.8465448e-03   7.2801927e-03   3.6572090e-02
  2.2000000e+01   1.3251230e-02   2.8298363e-03   7.1930250e-03   3.5545516e-02
  2.2250000e+01   1.2925634e-02   2.7952787e-03   7.0909963e-03   3.5615630e-02
  2.2500000e+01   1.2693153e-02   2.7604892e-03   6.9592991e-03   3.5261622e-02
  2.2750000e+01   1.2444281e-02   2.7415774e-03   6.9836017e-03   3.5301616e-02
  2.3000000e+01   1.2273877e-02   2.7041351e-03   6.9385867e-03   3.5107233e-02
  2.3250000e+01   1.2060928e-02   2.6600722e-03   6.7725142e-03   3.4623168e-02
  2.3500000e+01   1.1827143e-02   2.6303290e-03   6.6470640e-03   3.4331268e-02
  2.3750000e+01   1.1781253e-02   2.6445562e-03   6.7267732e-03   3.3811453e-02
  2.4000000e+01   1.1436500e-02   2.5868547e-03   6.6112749e-03   3.3633660e-02
  2.4250000e+01   1.1238687e-02   2.5788496e-03   6.4727253e-03   3.3642473e-02
  2.4500000e+01   1.1041376e-02   2.5489894e-03   6.4353803e-03   3.2946421e-02
  2.4750000e+01   1.0843221e-02   2.5319870e-03   6.2958313e-03   3.2428241e-02
  2.5000000e+01   1.0625080e-02   2.4736341e-03   6.2122241e-03   3.2422433e-02
  2.5250000e+01   1.0451457e-02   2.4662984e-03   6.2230144e-03   3.1779522e-02
  2.5500000e+01   1.0205607e-02   2.4438150e-03   6.0737556e-03   3.1575380e-02
  2.5750000e+01   1.0173905e-02   2.4324856e-03   6.0669849e-03   3.1699199e-02
  2.6000000e+01   9.9796605e-03   2.3882919e-03   6.0047549e-03   3.1314569e-02
  2.6250000e+01   9.7901514e-03   2.3766750e-03   5.8373890e-03   3.0866487e-02
  2.6500000e+01   9.6724358e-03   2.3802595e-03   5.8510207e-03   3.0694475e-02
  2.6750000e+01   9.3806994e-03   2.3220037e-03   5.7224941e-03   3.0316295e-02
  2.7000000e+01   9.3387889e-03   2.3132231e-03   5.7754506e-03   3.0024810e-02
  2.7250000e+01   9.0311959e-03   2.2881596e-03   5.5960230e-03   2.9633241e-02
  2.7500000e+01   8.9779998e-03   2.2512114e-03   5.5644158e-03   2.9190745e-02
  2.7750000e+01   8.8321011e-03   2.2508292e-03   5.4586982e-03   2.8977913e-02
  2.8000000e+01   8.6510176e-03   2.2068273e-03   5.3982958e-03   2.8497747e-02
  2.8250000e+01   8.4160825e-03   2.1828273e-03   5.3437572e-03   2.8329461e-02
  2.8500000e+01   8.4467850e-03   2.1827984e-03   5.3109572e-03   2.8314126e-02
  2.8750000e+01   8.2429416e-03   2.1679146e-03   5.1789543e-03   2.8325984e-02
  2.9000000e+01   8.1013611e-03   2.1207779e-03   5.1594007e-03   2.7754906e-02
  2.9250000e+01   7.9351254e-03   2.1164415e-03   5.1176467e-03   2.7285977e-02
  2.9500000e+01   7.8570114e-03   2.0888903e-03   5.0627445e-03   2.7474367e-02
  2.9750000e+01   7.7074648e-03   2.0838956e-03   4.9873822e-03   2.7169536e-02
  3.0000000e+01   7.6058408e-03   2.0509621e-03   4.9092137e-03   2.6609041e-02
  3.0250000e+01   7.4486219e-03   2.0339138e-03   4.8701809e-03   2.6508248e-02
  3.0500000e+01   7.3547206e-03   2.0212830e-03   4.7876246e-03   2.6233015e-02
  3.0750000e+01   7.2615926e-03   1.9987541e-03   4.7495465e-03   2.5829336e-02
  3.1000000e+01   7.0973016e-03   1.9718015e-03   4.6960617e-03   2.5603011e-02
  3.1250000e+01   6.9426420e-03   1.9510667e-03   4.6333904e-03   2.4902102e-02
  3.1500000e+01   6.8995420e-03   1.9509770e-03   4.6023562e-03   2.4997393e-02
  3.1750000e+01   6.7238566e-03   1.9274151e-03   4.5282801e-03   2.4752093e-02
  3.2000000e+01   6.6812386e-03   1.9043596e-03   4.4562559e-03   2.4629136e-02
  3.2250000e+01   6.5378355e-03   1.8827827e-03   4.4016057e-03   2.4365119e-02
  3.2500000e+01   6.4673870e-03   1.8701815e-03   4.4099963e-03   2.4146925e-02
  3.2750000e+01   6.3676812e-03   1.8461300e-03   4.2948385e-03   2.4019594e-02
  3.3000000e+01   6.2676627e-03   1.8311092e-03   4.2655011e-03   2.3618313e-02
  3.3250000e+01   6.1856298e-03   1.8254294e-03   4.1904035e-03   2.3746668e-02
  3.3500000e+01   6.0974356e-03   1.8020832e-03   4.1751096e-03   2.3541497e-02
  3.3750000e+01   5.9811868e-03   1.7791823e-03   4.1012333e-03   2.3092508e-02
  3.4000000e+01   5.9268925e-03   1.7728261e-03   4.0392490e-03   2.2796977e-02
  3.4250000e+01   5.8123556e-03   1.7584080e-03   4.0146877e-03   2.2467379e-02
  3.4500000e+01   5.6999339e-03   1.7467033e-03   3.9852107e-03   2.2419528e-02
  3.4750000e+01   5.6249515e-03   1.7291450e-03   3.9525237e-03   2.2183586e-02
  3.5000000e+01   5.5543599e-03   1.7080808e-03   3.8544843e-03   2.2030248e-02
  3.5250000e+01   5.4598332e-03   1.6874580e-03   3.8074521e-03   2.1795572e-02
  3.5500000e+01   5.3959463e-03   1.6847104e-03   3.7804123e-03   2.1267966e-02
  3.5750000e+01   5.3196101e-03   1.6537468e-03   3.7222369e-03   2.1433014e-02
