     kx              E+_uu           E+_vv           E+_ww           E+_pp
-------------------------------------------------------------------------------
  0.0000000e+00   2.4509774e-01   1.2386449e-02   6.1195643e-03   1.9162151e-02
  2.5000000e-01   3.6226019e-01   2.0974030e-02   1.7083500e-02   6.0360014e-02
  5.0000000e-01   2.5023136e-01   2.0790059e-02   2.3439141e-02   6.2550919e-02
  7.5000000e-01   1.6896738e-01   1.8321608e-02   2.4799842e-02   3.9530269e-02
  1.0000000e+00   1.2990163e-01   1.8125892e-02   2.2474597e-02   4.5738082e-02
  1.2500000e+00   1.0656751e-01   1.5481465e-02   2.8672993e-02   4.4384000e-02
  1.5000000e+00   8.9427149e-02   1.4911801e-02   2.8196514e-02   5.7576713e-02
  1.7500000e+00   7.9499712e-02   1.3850930e-02   2.5966981e-02   5.4952853e-02
  2.0000000e+00   6.4880998e-02   1.3584975e-02   2.5975476e-02   6.0106764e-02
  2.2500000e+00   6.6501038e-02   1.4934736e-02   3.4255773e-02   7.0329450e-02
  2.5000000e+00   4.8452269e-02   1.2765534e-02   2.3434129e-02   5.7537141e-02
  2.7500000e+00   4.8462207e-02   1.3734969e-02   2.4926971e-02   5.7979137e-02
  3.0000000e+00   4.7174846e-02   1.4181035e-02   2.8317776e-02   6.9274492e-02
  3.2500000e+00   4.0281089e-02   1.2964828e-02   2.4229940e-02   6.1153055e-02
  3.5000000e+00   3.6942750e-02   1.4199253e-02   2.2933741e-02   6.2451647e-02
  3.7500000e+00   3.4688481e-02   1.2552738e-02   2.2354747e-02   5.5538928e-02
  4.0000000e+00   3.1466031e-02   1.2906035e-02   2.1579436e-02   5.2787301e-02
  4.2500000e+00   2.8668292e-02   1.2615157e-02   2.1571663e-02   4.9862591e-02
  4.5000000e+00   2.5777104e-02   1.2081786e-02   1.9771179e-02   5.0068644e-02
  4.7500000e+00   2.5186081e-02   1.1932031e-02   1.8041035e-02   5.5342948e-02
  5.0000000e+00   2.2774536e-02   1.1050240e-02   1.7473750e-02   4.7178640e-02
  5.2500000e+00   2.3258734e-02   1.1756554e-02   1.7894823e-02   4.8438913e-02
  5.5000000e+00   2.0188851e-02   1.1369983e-02   1.6639022e-02   4.9601203e-02
  5.7500000e+00   1.8643076e-02   1.0405632e-02   1.5822078e-02   4.6332406e-02
  6.0000000e+00   1.8335945e-02   1.0523545e-02   1.4897156e-02   4.2701256e-02
  6.2500000e+00   1.6771663e-02   1.0738048e-02   1.5730239e-02   4.2506878e-02
  6.5000000e+00   1.5914935e-02   9.7818884e-03   1.3910471e-02   3.9422317e-02
  6.7500000e+00   1.5115843e-02   9.9430177e-03   1.3969237e-02   3.9612904e-02
  7.0000000e+00   1.3793474e-02   9.6075499e-03   1.3408905e-02   3.8560773e-02
  7.2500000e+00   1.3862141e-02   9.1517141e-03   1.3479912e-02   3.6827166e-02
  7.5000000e+00   1.3112563e-02   8.9190335e-03   1.3025311e-02   3.5703567e-02
  7.7500000e+00   1.2003889e-02   8.9356629e-03   1.2460987e-02   3.3615743e-02
  8.0000000e+00   1.1970690e-02   9.1218871e-03   1.2160004e-02   3.2703393e-02
  8.2500000e+00   1.0892454e-02   7.9438153e-03   1.1909206e-02   3.0702507e-02
  8.5000000e+00   1.0509795e-02   8.1070132e-03   1.0827401e-02   3.0072584e-02
  8.7500000e+00   1.0281224e-02   8.3773988e-03   1.0551075e-02   3.1555204e-02
  9.0000000e+00   9.5998588e-03   7.9599095e-03   1.0252524e-02   2.8261572e-02
  9.2500000e+00   9.2677506e-03   7.7110308e-03   9.8073505e-03   2.7891484e-02
  9.5000000e+00   9.0810639e-03   7.8039524e-03   9.8151439e-03   2.8043402e-02
  9.7500000e+00   8.7126709e-03   7.8739319e-03   9.8361151e-03   2.6198733e-02
  1.0000000e+01   8.3329946e-03   7.1625873e-03   9.3598103e-03   2.5168162e-02
  1.0250000e+01   7.7285819e-03   7.0504308e-03   8.8329247e-03   2.3387514e-02
  1.0500000e+01   7.8893695e-03   6.8846202e-03   8.6414248e-03   2.4469108e-02
  1.0750000e+01   7.2759647e-03   6.8223414e-03   8.8953080e-03   2.2614332e-02
  1.1000000e+01   7.1380585e-03   6.4237987e-03   8.4635400e-03   2.3227229e-02
  1.1250000e+01   6.8109115e-03   6.4663048e-03   8.2501604e-03   2.1941473e-02
  1.1500000e+01   6.5479260e-03   6.2664785e-03   7.9296535e-03   2.0628663e-02
