Time	Kin Energy	Mag Energy	Kin Dissip	Mag Dissip	Cross-Hel	Mag-Hel
0.1575	0.077334613	0.085898965	0.011181233	0.022258907	0.0016738017	-0.000725274
0.16	0.077332999	0.085895714	0.011181161	0.022258331	0.0016730233	-0.00072525072
0.1625	0.077331391	0.085892462	0.011181091	0.022257754	0.0016722412	-0.00072522787
0.165	0.077329788	0.085889205	0.011181021	0.022257177	0.0016714563	-0.00072520542
0.1675	0.077328183	0.085885938	0.011180952	0.022256598	0.0016706644	-0.00072518259
0.17	0.0773266	0.085882672	0.011180884	0.022256018	0.0016698734	-0.00072515879
0.1725	0.077325021	0.085879393	0.011180818	0.022255435	0.0016690858	-0.00072513575
0.175	0.077323458	0.085876117	0.011180754	0.022254848	0.0016682935	-0.00072511328
0.1775	0.077321889	0.085872835	0.011180692	0.022254259	0.0016675003	-0.00072509044
0.18	0.077320325	0.085869547	0.01118063	0.022253669	0.0016666998	-0.00072506684
0.1825	0.077318775	0.085866252	0.011180569	0.02225308	0.0016659096	-0.00072504334
0.185	0.077317236	0.085862954	0.011180507	0.022252492	0.001665112	-0.00072502035
0.1875	0.077315695	0.085859651	0.011180445	0.022251903	0.0016643119	-0.00072499796
0.19	0.077314164	0.085856344	0.011180382	0.022251314	0.001663508	-0.00072497483
0.1925	0.077312659	0.085853029	0.011180319	0.022250727	0.0016627111	-0.00072495149
0.195	0.077311138	0.085849717	0.011180256	0.022250138	0.0016619102	-0.00072492781
0.1975	0.077309632	0.085846395	0.011180195	0.022249548	0.0016611087	-0.00072490375
0.2	0.077308136	0.08584307	0.011180136	0.022248957	0.0016603075	-0.00072487965
0.2025	0.077306638	0.085839738	0.011180077	0.022248365	0.0016595073	-0.0007248566
0.205	0.077305169	0.085836404	0.011180018	0.022247772	0.0016587105	-0.00072483387
0.2075	0.077303708	0.085833071	0.011179959	0.02224718	0.0016579131	-0.00072481097
0.21	0.077302251	0.085829728	0.011179901	0.022246586	0.0016571043	-0.0007247879
0.2125	0.077300801	0.085826382	0.011179843	0.022245993	0.0016562959	-0.00072476477
0.215	0.077299362	0.085823033	0.011179785	0.022245399	0.0016554951	-0.00072474217
0.2175	0.077297928	0.085819681	0.011179727	0.022244806	0.0016546898	-0.00072471952
0.22	0.077296493	0.085816325	0.011179671	0.022244213	0.0016538823	-0.00072469642
0.2225	0.077295075	0.085812964	0.011179615	0.022243621	0.0016530698	-0.00072467162
0.225	0.077293647	0.085809599	0.011179559	0.02224303	0.0016522505	-0.00072464695
0.2275	0.077292235	0.08580623	0.011179503	0.022242439	0.0016514285	-0.00072462273
0.23	0.077290821	0.085802862	0.011179448	0.022241848	0.0016506088	-0.00072459935
0.2325	0.077289428	0.085799491	0.011179392	0.02224126	0.0016497937	-0.00072457591
0.235	0.077288033	0.085796108	0.011179335	0.022240672	0.0016489759	-0.00072455147
0.2375	0.077286647	0.085792731	0.011179278	0.022240087	0.001648158	-0.00072452693
0.24	0.077285266	0.085789351	0.011179219	0.022239504	0.0016473383	-0.00072450276
0.2425	0.077283891	0.085785966	0.011179158	0.022238924	0.0016465146	-0.00072447886
0.245	0.077282521	0.085782578	0.011179096	0.022238347	0.0016456892	-0.00072445494
0.2475	0.077281163	0.085779188	0.011179034	0.022237772	0.0016448654	-0.00072443064
0.25	0.077279803	0.085775794	0.011178972	0.022237197	0.0016440393	-0.00072440598
0.2525	0.07727843	0.085772401	0.01117891	0.022236624	0.0016431979	-0.00072438117
0.255	0.077277072	0.085769002	0.011178848	0.022236052	0.0016423621	-0.00072435624
0.2575	0.077275729	0.085765604	0.011178785	0.022235485	0.0016415358	-0.00072433224
0.26	0.077274385	0.085762198	0.011178719	0.022234923	0.001640702	-0.00072430819
0.2625	0.077273049	0.085758793	0.011178651	0.022234368	0.0016398652	-0.00072428372
0.265	0.077271738	0.085755386	0.01117858	0.022233818	0.0016390386	-0.00072425975
0.2675	0.07727044	0.085751973	0.011178507	0.022233276	0.0016382133	-0.00072423527
0.27	0.07726914	0.085748568	0.011178433	0.022232738	0.0016373867	-0.00072421104
0.2725	0.077267842	0.085745155	0.011178358	0.022232205	0.0016365538	-0.00072418675
0.275	0.077266526	0.085741741	0.011178282	0.022231675	0.001635714	-0.00072416239
0.2775	0.077265212	0.085738321	0.011178206	0.022231149	0.0016348729	-0.00072413806
0.28	0.077263912	0.085734901	0.01117813	0.022230626	0.0016340336	-0.00072411338
0.2825	0.077262615	0.085731482	0.011178055	0.022230105	0.001633191	-0.00072408902
0.285	0.077261326	0.085728057	0.011177981	0.022229587	0.001632348	-0.00072406478
0.2875	0.077260043	0.085724631	0.011177906	0.022229073	0.0016315025	-0.00072404177
0.29	0.077258778	0.085721205	0.011177833	0.02222856	0.0016306735	-0.00072401867
0.2925	0.07725752	0.08571778	0.011177759	0.022228049	0.0016298438	-0.00072399506
0.295	0.077256235	0.08571435	0.011177687	0.022227539	0.0016290031	-0.00072397153
0.2975	0.07725497	0.085710916	0.011177616	0.02222703	0.0016281571	-0.00072394826
0.3	0.077253711	0.085707488	0.011177546	0.022226524	0.0016273149	-0.00072392506
0.3025	0.07725245	0.085704055	0.011177476	0.02222602	0.0016264638	-0.00072390115
0.305	0.077251189	0.085700621	0.011177407	0.022225517	0.0016256059	-0.00072387653
0.3075	0.07724993	0.08569718	0.011177339	0.022225015	0.0016247457	-0.00072385248
0.31	0.077248667	0.085693744	0.011177272	0.022224515	0.0016238876	-0.00072382847
0.3125	0.077247409	0.085690307	0.011177207	0.022224016	0.0016230317	-0.00072380462
0.315	0.077246159	0.085686863	0.011177144	0.022223517	0.0016221724	-0.00072378044
0.3175	0.077244916	0.085683417	0.011177082	0.022223019	0.0016213115	-0.00072375563
0.32	0.077243682	0.08567998	0.011177022	0.022222523	0.0016204534	-0.00072373197
0.3225	0.077242456	0.085676531	0.011176963	0.022222027	0.001619593	-0.00072370883
0.325	0.077241226	0.085673088	0.011176906	0.022221531	0.0016187379	-0.0007236845
0.3275	0.077240014	0.085669639	0.011176851	0.022221035	0.0016178847	-0.00072365948
0.33	0.077238791	0.08566619	0.0111768	0.022220536	0.0016170245	-0.00072363466
0.3325	0.07723758	0.08566274	0.011176753	0.022220034	0.0016161642	-0.00072361091
0.335	0.077236361	0.085659293	0.01117671	0.022219528	0.0016152997	-0.00072358637
0.3375	0.077235149	0.08565584	0.011176671	0.022219018	0.0016144305	-0.00072356211
0.34	0.077233944	0.085652392	0.011176635	0.022218504	0.0016135739	-0.00072353798
0.3425	0.077232756	0.085648937	0.011176602	0.022217987	0.0016127163	-0.00072351385
0.345	0.077231547	0.085645484	0.011176572	0.022217466	0.0016118527	-0.00072348951
0.3475	0.077230363	0.08564203	0.011176545	0.022216943	0.0016109822	-0.00072346564
0.35	0.077229164	0.085638577	0.011176519	0.022216418	0.0016101082	-0.00072344118
0.3525	0.077227982	0.085635127	0.011176494	0.02221589	0.0016092331	-0.00072341721
0.355	0.077226788	0.085631678	0.011176472	0.022215361	0.0016083516	-0.0007233924
0.3575	0.077225597	0.085628218	0.011176451	0.022214827	0.0016074667	-0.00072336728
0.36	0.077224399	0.085624761	0.011176431	0.02221429	0.0016065722	-0.00072334189
0.3625	0.077223222	0.085621303	0.011176412	0.022213751	0.001605673	-0.0007233164
0.365	0.077222043	0.085617846	0.011176393	0.022213208	0.0016047851	-0.00072329185
0.3675	0.077220878	0.085614392	0.011176374	0.022212661	0.001603898	-0.00072326682
0.37	0.077219718	0.085610931	0.011176356	0.022212109	0.0016030078	-0.00072324149
0.3725	0.07721856	0.085607477	0.011176338	0.022211551	0.0016021124	-0.00072321602
0.375	0.077217398	0.08560402	0.011176322	0.022210987	0.0016012144	-0.00072319044
0.3775	0.077216247	0.085600564	0.011176307	0.022210416	0.0016003293	-0.0007231655
0.38	0.077215106	0.085597105	0.011176295	0.022209836	0.0015994458	-0.00072314107
0.3825	0.077213961	0.085593651	0.011176283	0.022209249	0.00159856	-0.0007231162
0.385	0.077212816	0.085590195	0.011176274	0.022208655	0.0015976691	-0.00072309102
0.3875	0.077211664	0.085586739	0.011176264	0.022208053	0.0015967776	-0.00072306583
0.39	0.077210533	0.085583283	0.011176257	0.022207442	0.0015958981	-0.00072304093
0.3925	0.07720941	0.085579825	0.01117625	0.022206822	0.0015950169	-0.00072301623
0.395	0.077208282	0.085576375	0.011176245	0.022206192	0.001594132	-0.00072299194
0.3975	0.077207161	0.085572921	0.01117624	0.022205551	0.0015932447	-0.00072296779
0.4	0.077206036	0.085569464	0.011176238	0.022204899	0.0015923558	-0.00072294358
0.4025	0.077204921	0.085566015	0.011176237	0.022204236	0.001591462	-0.00072291896
0.405	0.077203799	0.085562559	0.011176239	0.022203562	0.001590568	-0.00072289409
0.4075	0.077202669	0.085559113	0.011176242	0.022202876	0.0015896577	-0.00072286956
0.41	0.077201516	0.08555566	0.011176247	0.02220218	0.0015887425	-0.00072284477
0.4125	0.077200382	0.085552216	0.011176253	0.022201472	0.0015878265	-0.0007228192
0.415	0.077199257	0.085548766	0.011176259	0.022200754	0.0015869174	-0.0007227949
0.4175	0.077198146	0.08554532	0.011176264	0.022200024	0.0015860133	-0.00072277091
0.42	0.077197028	0.085541878	0.011176269	0.022199285	0.0015851059	-0.00072274694
0.4225	0.077195912	0.085538434	0.011176272	0.022198534	0.0015842007	-0.00072272221
0.425	0.077194806	0.085534994	0.011176274	0.022197775	0.0015832998	-0.0007226968
0.4275	0.077193699	0.085531553	0.011176275	0.022197005	0.0015823992	-0.00072267217
0.43	0.077192582	0.085528118	0.011176275	0.022196226	0.0015814922	-0.00072264783
0.4325	0.07719146	0.085524684	0.011176273	0.022195437	0.0015805828	-0.00072262451
0.435	0.077190342	0.085521249	0.011176269	0.022194641	0.0015796708	-0.00072260036
0.4375	0.077189223	0.085517821	0.011176264	0.022193836	0.0015787607	-0.00072257624
0.44	0.077188111	0.085514392	0.011176256	0.022193021	0.0015778489	-0.00072255153
0.4425	0.077187016	0.085510967	0.011176246	0.022192198	0.0015769374	-0.00072252637
0.445	0.077185922	0.08550754	0.011176236	0.022191366	0.0015760281	-0.00072250074
0.4475	0.077184838	0.085504117	0.011176223	0.022190525	0.0015751226	-0.00072247544
0.45	0.077183756	0.085500692	0.011176208	0.022189674	0.001574213	-0.00072245134
0.4525	0.077182679	0.085497278	0.01117619	0.022188816	0.0015733063	-0.00072242765
0.455	0.077181593	0.085493863	0.01117617	0.022187951	0.0015723956	-0.0007224034
0.4575	0.07718051	0.085490449	0.011176146	0.022187078	0.0015714865	-0.00072237984
0.46	0.077179416	0.085487042	0.011176119	0.022186198	0.001570579	-0.00072235638
0.4625	0.077178335	0.08548363	0.011176088	0.022185312	0.0015696715	-0.0007223323
0.465	0.07717724	0.085480225	0.011176051	0.022184422	0.0015687592	-0.00072230776
0.4675	0.077176151	0.085476819	0.011176011	0.022183531	0.0015678465	-0.00072228388
0.47	0.077175071	0.085473421	0.011175965	0.022182636	0.0015669414	-0.00072226045
0.4725	0.077174	0.085470026	0.011175915	0.022181737	0.0015660368	-0.0007222368
0.475	0.077172925	0.085466632	0.011175862	0.022180836	0.0015651248	-0.00072221211
0.4775	0.07717185	0.085463241	0.011175804	0.022179929	0.001564212	-0.00072218737
0.48	0.077170776	0.085459853	0.011175744	0.022179018	0.0015632929	-0.00072216217
0.4825	0.077169692	0.085456473	0.01117568	0.022178103	0.0015623613	-0.00072213723
0.485	0.077168618	0.085453092	0.011175612	0.022177183	0.001561428	-0.00072211199
0.4875	0.077167535	0.085449714	0.011175539	0.02217626	0.0015604955	-0.00072208666
0.49	0.077166463	0.085446341	0.011175461	0.022175336	0.0015595712	-0.00072206264
0.4925	0.077165373	0.085442964	0.011175377	0.022174411	0.0015586447	-0.00072203794
0.495	0.077164298	0.0854396	0.011175289	0.022173484	0.0015577197	-0.00072201271
0.4975	0.077163218	0.085436234	0.011175196	0.022172555	0.0015567938	-0.00072198759
0.5	0.077162146	0.08543287	0.011175098	0.022171626	0.0015558683	-0.00072196281
0.5025	0.077161061	0.085429513	0.011174995	0.022170696	0.0015549457	-0.00072193751
0.505	0.077160003	0.085426158	0.011174886	0.022169766	0.001554024	-0.00072191237
0.5075	0.077158942	0.085422807	0.011174772	0.022168836	0.0015531038	-0.00072188761
0.51	0.077157877	0.085419462	0.011174653	0.022167905	0.0015521831	-0.00072186327
0.5125	0.077156817	0.085416116	0.011174529	0.022166973	0.0015512503	-0.00072183916
0.515	0.077155757	0.085412776	0.011174401	0.022166038	0.0015503148	-0.00072181486
0.5175	0.0771547	0.085409436	0.011174269	0.0221651	0.0015493875	-0.00072179098
0.52	0.077153649	0.085406107	0.011174133	0.022164159	0.0015484568	-0.00072176686
0.5225	0.077152581	0.085402776	0.011173991	0.022163216	0.0015475274	-0.00072174236
0.525	0.077151513	0.085399448	0.011173845	0.022162271	0.0015466048	-0.00072171845
0.5275	0.077150454	0.085396127	0.011173692	0.022161322	0.0015456797	-0.00072169469
0.53	0.077149387	0.085392811	0.011173534	0.022160373	0.0015447549	-0.00072167061
0.5325	0.077148323	0.085389493	0.011173369	0.022159422	0.0015438408	-0.00072164697
0.535	0.077147256	0.085386187	0.011173198	0.022158471	0.0015429157	-0.00072162257
0.5375	0.077146181	0.08538288	0.011173019	0.022157518	0.001541985	-0.00072159794
0.54	0.077145111	0.085379577	0.011172835	0.022156563	0.0015410531	-0.00072157347
0.5425	0.077144052	0.085376282	0.011172646	0.022155607	0.0015401177	-0.00072154897
0.545	0.077142976	0.085372988	0.011172451	0.022154647	0.00153918	-0.0007215244
0.5475	0.07714191	0.085369701	0.011172252	0.022153686	0.0015382391	-0.00072149936
0.55	0.077140833	0.085366414	0.011172047	0.022152721	0.0015373015	-0.00072147446
0.5525	0.077139766	0.085363131	0.011171839	0.022151752	0.0015363685	-0.00072144924
0.555	0.0771387	0.085359857	0.011171627	0.022150778	0.0015354387	-0.00072142437
