0, -6, -39.9241527848980, -3952.49112570491, 10779.5212519225, -6787.10597343267
0, -5, 689.889360123040, 52886.7267110988, -142615.461612102, 88998.9213880948
0, -4, -5928.73668855736, -330047.381691362, 878444.745861667, -541778.738121624
0, -3, 35133.2544507104, 1278630.87916554, -3359617.45684917, 2039924.58654437
0, -2, -177862.100656721, -3432079.79415376, 9024854.73702622, -5379779.58776502
0, -1, 1138317.44420301, 5442580.28009566, -17074761.6630452, 10316001.8380898
0, 0, -1980619.65303157, -4940772.00677616, 22403035.8997855, -14343326.7957747
0, 1, 1138317.44420301, 3164680.59452939, -20626944.4875387, 14343326.7957747
0, 2, -177862.100656721, -2241062.46827468, 13873243.8512242, -10316001.8380898
0, 3, 35133.2544507103, 1521709.08339639, -7114484.02626884, 5379779.58776501
0, 4, -5928.73668855738, -679169.725100293, 2760156.30278393, -2039924.58654437
0, 5, 689.889360123040, 198494.104332901, -746891.468503206, 541778.738121624
0, 6, -39.9241527848982, -34652.5676511802, 124381.302552183, -88998.9213880949
0, 7, 0, 2754.76654215797, -9581.79666837554, 6787.10597343267
