0, -6, -9.98103819622450, -988.122781426228, 2694.88031298062, -1696.77649335817
0, -5, 172.472340030760, 13221.6816777747, -35653.8654030254, 22249.7303470237
0, -4, -1482.18417213934, -82511.8454228406, 219611.186465417, -135444.684530406
0, -3, 8783.31361267759, 319657.719791385, -839904.364212293, 509981.146636092
0, -2, -44465.5251641802, -858019.948538441, 2256213.68425655, -1344944.89694125
0, -1, 284579.361050754, 1360645.07002392, -4268690.41576130, 2579000.45952245
0, 0, -495154.913257892, -1235193.00169404, 5600758.97494637, -3585831.69894368
0, 1, 284579.361050754, 791170.148632347, -5156736.12188467, 3585831.69894368
0, 2, -44465.5251641803, -560265.617068671, 3468310.96280606, -2579000.45952245
0, 3, 8783.31361267758, 380427.270849097, -1778621.00656721, 1344944.89694125
0, 4, -1482.18417213935, -169792.431275073, 690039.075695982, -509981.146636091
0, 5, 172.472340030760, 49623.5260832252, -186722.867125801, 135444.684530406
0, 6, -9.98103819622454, -8663.14191279504, 31095.3256380457, -22249.7303470237
0, 7, 0, 688.691635539492, -2395.44916709389, 1696.77649335817
