0 4 0 8 -3.7195394622296851e+02 1.0387428281906220e+03 -1.6709270602055346e+03 2.0471424096002008e+03 -1.7628352155094551e+03 1.0359165842648506e+03 -3.9617540139367088e+02 8.9020017252209911e+01 -8.9302159762542459e+00
1 3 0 8 -1.8790269667687639e+01 -2.0856975755721470e+02 4.4474067381248295e+02 -4.0867241005915679e+02 3.1282618591943634e+02 -1.7234714059571525e+02 6.3278280747182727e+01 -1.3824104644495804e+01 1.3585420451681873e+00
2 2 0 8 2.8585060945890226e+00 -4.2059441867370523e+01 -1.1714286148671904e+02 2.4870891456310019e+02 -1.4278975188846806e+02 6.9929776497890728e+01 -2.4071360848984948e+01 5.0485987193059145e+00 -4.8237978334327070e-01
3 1 0 8 -1.0149625482595779e+00 1.1200884170728578e+01 -7.2079486457293754e+01 -4.8396237486838359e+01 1.5212330891784521e+02 -5.5877732057743607e+01 1.7097845659074515e+01 -3.3620139913048885e+00 3.0839379379189008e-01
4 0 0 8 6.4887541425705619e-01 -6.3654297055880686e+00 3.0723098292730132e+01 -1.1293886089226569e+02 1.1025497145770538e+01 9.5280059766858315e+01 -2.1866664854630976e+01 3.8221241628936893e+00 -3.2869933002499413e-01
5 0 1 9 6.3519114172150304e-01 -6.2312836753670675e+00 3.0076107784943410e+01 -1.1056228306008690e+02 1.0791559641511588e+01 9.3278169307528870e+01 -2.1407599610871667e+01 3.7419485106052623e+00 -3.2181003998499824e-01
6 0 2 10 6.2179721479450389e-01 -6.0999838936007764e+00 2.9442844881814370e+01 -1.0823613084780779e+02 1.0562585381079831e+01 9.1318755057483230e+01 -2.0958274924457925e+01 3.6634740625429782e+00 -3.1506693184842732e-01
7 0 3 11 6.0868747335780404e-01 -5.9714699729887970e+00 2.8823018333717958e+01 -1.0595933441389165e+02 1.0338469055082079e+01 8.9400915844677257e+01 -2.0518484142428740e+01 3.5866647268050578e+00 -3.0846690433095908e-01
8 0 4 12 5.9585588798568712e-01 -5.8456828075377469e+00 2.8216343070622944e+01 -1.0373084661608631e+02 1.0119107587778382e+01 8.7523769618469970e+01 -2.0088024996591912e+01 3.5114851773142486e+00 -3.0200692195525636e-01
9 0 5 13 5.8329655719106210e-01 -5.7225645453432818e+00 2.7622540071011013e+01 -1.0154964253061478e+02 9.9044000910996086e+00 8.5686453043315325e+01 -1.9666699510578017e+01 3.4379008375715832e+00 -2.9568401365251401e-01
10 0 6 14 5.7100370469856720e-01 -5.6020585619670733e+00 2.7041336233615883e+01 -9.9414718980061508e+01 9.6942478167584891e+00 8.3888121102443151e+01 -1.9254313908830490e+01 3.3658778647387892e+00 -2.8949527139580911e-01
11 0 7 15 5.5897167678932758e-01 -5.4841094344112902e+00 2.6472464251643622e+01 -9.7325094072221347e+01 9.4885541114552776e+00 8.2127946708870894e+01 -1.8850678527329986e+01 3.2953831340696009e+00 -2.8343784886609985e-01
12 0 8 16 5.4719493970536748e-01 -5.3686629156124566e+00 2.5915662490016565e+01 -9.5279806748973485e+01 9.2872243730599369e+00 8.0405120324660231e+01 -1.8455607726418638e+01 3.2263842237000895e+00 -2.7750896013760878e-01
13 0 9 17 5.3566807709985553e-01 -5.2556659095238087e+00 2.5370674865081934e+01 -9.3277916343834107e+01 9.0901660063661343e+00 7.8718849589072619e+01 -1.8068919805569916e+01 3.1588493997099096e+00 -2.7170587840262106e-01
14 0 10 18 5.2438578754911469e-01 -5.1450664466764868e+00 2.4837250726610538e+01 -9.1318502148922789e+01 8.8972883798750324e+00 7.7068358954324353e+01 -1.7690436919602060e+01 3.0927476015564208e+00 -2.6602593471411873e-01
15 0 11 19 5.1334288211466894e-01 -5.0368136602680549e+00 2.4315144742647639e+01 -8.9400662992662134e+01 8.7085027862108788e+00 7.5452889327998960e+01 -1.7319984997049012e+01 3.0280484277631707e+00 -2.6046651675611426e-01
16 0 12 20 5.0253428195264382e-01 -4.9308577627667329e+00 2.3804116786747830e+01 -8.7523516823993290e+01 8.5237223986533373e+00 7.3871697725152188e+01 -1.6957393660038097e+01 2.9647221219399067e+00 -2.5502506764778571e-01
17 0 13 21 4.9195501597989610e-01 -4.8271500230436448e+00 2.3303931827334647e+01 -8.5686200307682114e+01 8.3428622333815330e+00 7.2324056925505772e+01 -1.6602496145831669e+01 2.9027395591187632e+00 -2.4969908476319186e-01
18 0 14 22 4.8160021859329616e-01 -4.7256427439267803e+00 2.2814359819893788e+01 -8.3887868427112934e+01 8.1658391097630787e+00 7.0809255139395262e+01 -1.6255129230368343e+01 2.8420722323439196e+00 -2.4448611858127942e-01
19 0 15 23 4.7146512742127350e-01 -4.6262892402906548e+00 2.2335175600924430e+01 -8.2127694094809868e+01 7.9925716107969951e+00 6.9326595680970271e+01 -1.5915133153005300e+01 2.7826922395517801e+00 -2.3938377155893065e-01
20 0 16 24 4.6154508114356652e-01 -4.5290438175615630e+00 2.1866158784384005e+01 -8.0404867773194624e+01 7.8229800477921456e+00 6.7875396646724980e+01 -1.5582351543000128e+01 2.7245722707415583e+00 -2.3438969702994139e-01
21 0 17 25 4.5183551734174382e-01 -4.4338617507051472e+00 2.1407093660580756e+01 -7.8718597101784539e+01 7.6569864225468756e+00 6.6454990602440844e+01 -1.5256631347737065e+01 2.6676855954408363e+00 -2.2950159812431048e-01
22 0 18 26 4.4233197040105271e-01 -4.3406992636964992e+00 2.0957769096760686e+01 -7.7068106532529114e+01 7.4945143913861774e+00 6.5064724276356060e+01 -1.4937822762353470e+01 2.6120060503884073e+00 -2.2471722671329486e-01
