0 4 0 9 1.1960857167480896e+05 -5.7016435029658617e+05 1.3345365019948706e+06 -2.0278992895459791e+06 2.1454128080107714e+06 -1.5907550648654164e+06 8.1319215420305636e+05 -2.7371493817257404e+05 5.4711586961337380e+04 -4.9279799642891176e+03
1 3 0 9 1.2289739468417290e+04 2.7362542146147607e+03 -8.8186921519787255e+04 1.6733639006942057e+05 -1.7446671917276023e+05 1.2651483196908016e+05 -6.3500467033811867e+04 2.1069197557463456e+04 -4.1639636389621610e+03 3.7165808632528370e+02
2 2 0 9 -9.2686208922322635e+02 2.0216628923887965e+04 -3.1936740449395038e+04 -6.7861860103001209e+02 2.6955971010261510e+04 -2.1679288146863262e+04 1.1060595034394584e+04 -3.6700206172734579e+03 7.2252774808414358e+02 -6.4192812843210362e+01
3 1 0 9 1.6008740542981809e+02 -2.3457888947707138e+03 2.5344068225037099e+04 -4.5087602586044457e+04 2.2392933491337786e+04 6.9891475278381029e+02 -1.7452710350038849e+03 7.2284213257518820e+02 -1.5446066831774647e+02 1.4277176973093887e+01
4 0 0 9 -3.5605744002893438e+01 4.7759531957497825e+02 -3.5757476135227407e+03 2.7509826247787798e+04 -4.8336213113251164e+04 2.7051361529857666e+04 -3.5630691937263960e+03 5.2422097819845908e+02 -5.5170956883294259e+01 2.8025459675915378e+00
5 0 1 10 -3.4123231252393516e+01 4.5771379936731472e+02 -3.4269213341536315e+03 2.6364996885444889e+04 -4.6324797971111177e+04 2.5925707289527232e+04 -3.4147863311203728e+03 5.0239804002461005e+02 -5.2872814058936243e+01 2.6856673324713327e+00
6 0 2 11 -3.2702701215049011e+01 4.3866342574599389e+02 -3.2843161890094270e+03 2.5268019624481462e+04 -4.4397454583007551e+04 2.4847101657445797e+04 -3.2727015556097499e+03 4.8148741691046627e+02 -5.0670774911440574e+01 2.5736791694983348e+00
7 0 3 12 -3.1341557111751090e+01 4.2040937944027633e+02 -3.1476715674265251e+03 2.4216889953587473e+04 -4.2550661255313222e+04 2.3813573823095583e+04 -3.1365552290876208e+03 4.6145088903514375e+02 -4.8560812728234716e+01 2.4663765088768175e+00
8 0 4 13 -3.0037311069480712e+01 4.0291830143291162e+02 -3.0167377879624919e+03 2.3209687422973726e+04 -4.0781043979725997e+04 2.2823235623292199e+04 -3.0060986016684265e+03 4.4225183942932944e+02 -4.6539069680392856e+01 2.3635629786321566e+00
9 0 5 14 -2.8787579551568967e+01 3.8615823167316603e+02 -2.8912756397575458e+03 2.2244572117201584e+04 -3.9085370236459203e+04 2.1874278074371483e+04 -2.8810933549251959e+03 4.2385518674284094e+02 -4.4601849739687964e+01 2.2650504441282955e+00
10 0 6 15 -2.7590078979975818e+01 3.7009855038607509e+02 -2.7710559432581704e+03 2.1319781275984849e+04 -3.7460543057446463e+04 2.0964968049860410e+04 -2.7613111641070486e+03 4.0622732078322093e+02 -4.2745611884976093e+01 2.1706586620811019e+00
11 0 7 16 -2.6442621540682552e+01 3.5470992183187349e+02 -2.6558591292674810e+03 2.0433626056909030e+04 -3.5903595338921063e+04 2.0093645097674394e+04 -2.6465332788319911e+03 3.8933604079639980e+02 -4.0966963599974619e+01 2.0802149494911046e+00
12 0 8 17 -2.5343111165310777e+01 3.3996424042356188e+02 -2.5454748357103977e+03 1.9584488433973220e+04 -3.4411684392513307e+04 1.9258718390835762e+04 -2.5365501214081901e+03 3.7315049634110056e+02 -3.9262654643003380e+01 1.9935538665655883e+00
13 0 9 18 -2.4289539681785513e+01 3.2583457911893197e+02 -2.4397015213487712e+03 1.8770818226261537e+04 -3.2982086725023379e+04 1.8458663806169665e+04 -2.4311609019495863e+03 3.5764113061660152e+02 -3.7629571075805032e+01 1.9105169125898540e+00
14 0 10 19 -2.3279983126862074e+01 3.1229513997379723e+02 -2.3383460956789372e+03 1.7991130251397779e+04 -3.1612193037489378e+04 1.7692021125648640e+04 -2.3301732495955966e+03 3.4277962617816712e+02 -3.6064729542197604e+01 1.8309522345867284e+00
15 0 11 20 -2.2312598211646016e+01 2.9932120675386477e+02 -2.2412235643108575e+03 1.7244001598459599e+04 -3.0299503433994396e+04 1.6957391355205851e+04 -2.2334028594224847e+03 3.2853885296542404e+02 -3.4565271794189940e+01 1.7547143488324455e+00
16 0 12 21 -2.1385618938079222e+01 2.8688909956664884e+02 -2.1481566893812087e+03 1.6528069015280144e+04 -2.9041622831530018e+04 1.6253434155993456e+04 -2.1406731538718072e+03 3.1489281844429269e+02 -3.3128459436443592e+01 1.6816638730199083e+00
17 0 13 22 -2.0497353354899086e+01 2.7497613136884803e+02 -2.0589756640287856e+03 1.5842026405511755e+04 -2.7836256562697603e+04 1.5578865383568676e+04 -2.0518149586508648e+03 3.0181661991456690e+02 -3.1751668902354993e+01 1.6116672706617174e+00
18 0 14 23 -1.9646180451514713e+01 2.6356056631228404e+02 -1.9735178006795270e+03 1.5184622430627473e+04 -2.6681206162672628e+04 1.4932454730248268e+04 -1.9666661921296065e+03 2.8928639877424894e+02 -3.0432386634665875e+01 1.5445966056729814e+00
19 0 15 24 -1.8830547181877787e+01 2.5262157984609206e+02 -1.8916272323728949e+03 1.4554658212618664e+04 -2.5574365333232436e+04 1.4313023466469594e+04 -1.8850715676834675e+03 2.7727929669595528e+02 -2.9168204466769609e+01 1.4803293071375196e+00
20 0 16 25 -1.8048965612317936e+01 2.4213922046973693e+02 -1.8131546265496058e+03 1.3950985133151034e+04 -2.4513716076136487e+04 1.3719442276971582e+04 -1.8068823087225737e+03 2.6577341368999447e+02 -2.7956815205929388e+01 1.4187479445606328e+00
