0 3 0 7 9.7496934366309666e+04 -3.9682754838076490e+05 7.3350667115749512e+05 -8.1883813156114018e+05 5.9163748484593467e+05 -2.6927774547606765e+05 7.0373029699325285e+04 -8.0706946510920134e+03
1 2 0 7 1.4025762457349023e+04 -1.0845077774134192e+04 -4.1204543306410786e+04 7.3079204896767435e+04 -5.3718545840429193e+04 2.4204149555455737e+04 -6.2502940955712065e+03 7.0934410697318128e+02
2 1 0 7 -1.2327417261733178e+03 2.2607258215360358e+04 -4.0197417354042300e+04 1.5872462924601234e+04 5.7858503047485574e+03 -3.7746640021479730e+03 1.0640068682105903e+03 -1.2475523055714201e+02
3 0 0 7 2.1680891532259369e+02 -2.7934038317374361e+03 2.6907899782324406e+04 -4.8260828716047225e+04 2.6511921700786090e+04 -2.8455654300533165e+03 2.7501680305369695e+02 -1.1849223648812679e+01
4 0 1 8 2.0778168158598945e+02 -2.6771162100587144e+03 2.5787903061373421e+04 -4.6252155102919241e+04 2.5408487806362486e+04 -2.7271071326126744e+03 2.6356046457826238e+02 -1.1354568309525501e+01
5 0 2 9 1.9913186952353175e+02 -2.5656900506374541e+03 2.4714724994469500e+04 -4.4327446898486349e+04 2.4351178509798086e+04 -2.6136010241132881e+03 2.5258322025433330e+02 -1.0880620808351752e+01
6 0 3 10 1.9084366697291745e+02 -2.4589216906749016e+03 2.3686404264812623e+04 -4.2483186688188609e+04 2.3338061605545005e+04 -2.5048396413623377e+03 2.4206499591272504e+02 -1.0426513017423076e+01
7 0 4 11 1.8290192491493039e+02 -2.3566160086098566e+03 2.2701061807751124e+04 -4.0716004566976299e+04 2.2367285918582511e+04 -2.4006242217572089e+03 2.3198655932409949e+02 -9.9914132293076960e+00
8 0 5 12 1.7529212965401774e+02 -2.2585860657029771e+03 2.1756897359463688e+04 -3.9022671949893258e+04 2.1437077904394158e+04 -2.3007643381514636e+03 2.2232948486371873e+02 -9.5745246278815443e+00
9 0 6 13 1.6800037615233259e+02 -2.1646527626532343e+03 2.0852186150541114e+04 -3.7400095642361826e+04 2.0545738391656225e+04 -2.2050775491909412e+03 2.1307611968194516e+02 -9.1750838256097236e+00
10 0 7 14 1.6101334249501639e+02 -2.0746445107039253e+03 1.9985275738236567e+04 -3.5845312159238325e+04 1.9691639461566479e+04 -2.1133890641555413e+03 2.0420955125857898e+02 -8.7923594588605951e+00
11 0 8 15 1.5431826542148448e+02 -1.9883969164729303e+03 1.9154582971793963e+04 -3.4355482282531033e+04 1.8873221458249911e+04 -2.0255314219615889e+03 1.9571357634503056e+02 -8.4256508448408898e+00
12 0 9 16 1.4790291688219912e+02 -1.9057524800502053e+03 1.8358591085086067e+04 -3.2927885847347054e+04 1.8088990124570708e+04 -1.9413441836592547e+03 1.8757267121206058e+02 -8.0742866945192002e+00
13 0 10 17 1.4175558158545996e+02 -1.8265603057787487e+03 1.7595846911221412e+04 -3.1559916746641280e+04 1.7337513858144703e+04 -1.8606736377795919e+03 1.7977196312650517e+02 -7.7376238784574998e+00
14 0 11 18 1.3586503548347272e+02 -1.7506758251507204e+03 1.6864958214134254e+04 -3.0249078145816933e+04 1.6617421082567351e+04 -1.7833725180043041e+03 1.7229720303114769e+02 -7.4150462442648983e+00
15 0 12 19 1.3022052515578068e+02 -1.6779605313078666e+03 1.6164591132192927e+04 -2.8992977898058518e+04 1.5927397728985739e+04 -1.7092997328784791e+03 1.6513473939711676e+02 -7.1059634866961021e+00
16 0 13 20 1.2481174806972547e+02 -1.6082817247806015e+03 1.5493467728963447e+04 -2.7789324151989364e+04 1.5266184823265807e+04 -1.6383201065925512e+03 1.5827149312384191e+02 -6.8098100603066438e+00
17 0 14 21 1.1962883365878334e+02 -1.5415122697686670e+03 1.4850363646949058e+04 -2.6635921143928379e+04 1.4632576174569420e+04 -1.5703041308834338e+03 1.5169493354578341e+02 -6.5260441425637596e+00
18 0 15 22 1.1466232519891628e+02 -1.4775303607571141e+03 1.4234105859641204e+04 -2.5530665166417621e+04 1.4025416160806899e+04 -1.5051277272482782e+03 1.4539305541366591e+02 -6.2541466376700150e+00
19 0 16 23 1.0990316245032083e+02 -1.4162192988901920e+03 1.3643570517975011e+04 -2.4471540706188473e+04 1.3443597607099720e+04 -1.4426720190614353e+03 1.3935435683664920e+02 -5.9936202215968981e+00
20 0 17 24 1.0534266501703377e+02 -1.3574672776875657e+03 1.3077680887245377e+04 -2.3456616744217637e+04 1.2886059753318816e+04 -1.3828231134296047e+03 1.3356781818416178e+02 -5.7439884305774935e+00
21 0 18 25 1.0097251641413672e+02 -1.3011671778370212e+03 1.2535405370462846e+04 -2.2484043210839449e+04 1.2351786306809166e+04 -1.3254718920676992e+03 1.2802288184258512e+02 -5.5047947845640355e+00
22 0 19 26 9.6784748801841147e+01 -1.2472163705371447e+03 1.2015755614740327e+04 -2.1552047589817768e+04 1.1839803576924762e+04 -1.2705138109926243e+03 1.2270943282923304e+02 -5.2756019486255674e+00
23 0 20 27 9.2771728356934176e+01 -1.1955165291123838e+03 1.1517784697170948e+04 -2.0658931664947017e+04 1.1349178687844313e+04 -1.2178487086049367e+03 1.1761778022155839e+02 -5.0559909294157732e+00
24 0 21 28 8.8926141259287945e+01 -1.1459734485260849e+03 1.1040585386832508e+04 -1.9803068403126967e+04 1.0879017866384742e+04 -1.1673806218915963e+03 1.1273863937464154e+02 -4.8455603065300359e+00
